study_id,site_id,plot_id,longitude,latitude,position_method,position_notes,elevation,elevation_method,elevation_notes,harvest_or_allometry,genus,species,above_or_belowground,mass,mass_n,allometric_eq_present,plant_measurements_present
Gillen_et_al_2018,SweetHall_Interior,SHI-2,-76.884004016,37.565869434,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.26772,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Sporobolus,cynosuroides,above,7.2,1,no,no
Gillen_et_al_2018,SweetHall_Interior,SHI-3,-76.884004016,37.565869434,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.26772,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Sporobolus,cynosuroides,above,7.4,1,no,no
Gillen_et_al_2018,SweetHall_Interior,SHI-3,-76.884004016,37.565869434,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.26772,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Plantago,virginica,above,17.7,5,no,no
Gillen_et_al_2018,SweetHall_Interior,SHI-3,-76.884004016,37.565869434,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.26772,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Zizania,aquatica,above,47.5,7,no,no
Gillen_et_al_2018,Pamunkey_Edge,PE-1,-77.02036393833333,37.571570941666664,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.05683333333333333,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Plantago,virginica,above,15.1,NA,no,no
Gillen_et_al_2018,Pamunkey_Edge,PE-1,-77.02036393833333,37.571570941666664,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.05683333333333333,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Scirpus,species,above,2.4,NA,no,no
Gillen_et_al_2018,Pamunkey_Edge,PE-1,-77.02036393833333,37.571570941666664,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.05683333333333333,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Schoenoplectus,americanus,above,23,NA,no,no
Gillen_et_al_2018,Pamunkey_Edge,PE-2,-77.02036393833333,37.571570941666664,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.05683333333333333,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Plantago,virginica,above,34.8,NA,no,no
Gillen_et_al_2018,Pamunkey_Edge,PE-2,-77.02036393833333,37.571570941666664,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.05683333333333333,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Zizania,aquatica,above,7.1,NA,no,no
Gillen_et_al_2018,Pamunkey_Edge,PE-2,-77.02036393833333,37.571570941666664,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.05683333333333333,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Polygonum,species,above,11.6,NA,no,no
Gillen_et_al_2018,Pamunkey_Edge,PE-3,-77.02036393833333,37.571570941666664,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.05683333333333333,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Plantago,virginica,above,28.6,NA,no,no
Gillen_et_al_2018,Pamunkey_Edge,PE-3,-77.02036393833333,37.571570941666664,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.05683333333333333,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Polygonum,species,above,0.5,NA,no,no
Gillen_et_al_2018,Pamunkey_Edge,PE-3,-77.02036393833333,37.571570941666664,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.05683333333333333,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Zizania,aquatica,above,12.3,NA,no,no
Gillen_et_al_2018,Pamunkey_Interior,PI-1,-77.02035669166666,37.57145138,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Polygonum,species,above,39.3,NA,no,no
Gillen_et_al_2018,Pamunkey_Interior,PI-1,-77.02035669166666,37.57145138,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Wild Rice,Wild Rice,above,25.6,NA,no,no
Gillen_et_al_2018,Pamunkey_Interior,PI-1,-77.02035669166666,37.57145138,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Peltandra,species,above,13.7,NA,no,no
Gillen_et_al_2018,Pamunkey_Interior,PI-1,-77.02035669166666,37.57145138,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Bidens,laevis,above,21.6,NA,no,no
Gillen_et_al_2018,Pamunkey_Interior,PI-2,-77.02035669166666,37.57145138,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Plantago,virginica,above,8,NA,no,no
Gillen_et_al_2018,Pamunkey_Interior,PI-2,-77.02035669166666,37.57145138,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Schoenoplectus,americanus,above,1.1,NA,no,no
Gillen_et_al_2018,Pamunkey_Interior,PI-2,-77.02035669166666,37.57145138,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Woody Stalk?,Woody Stalk?,above,7.8,NA,no,no
Gillen_et_al_2018,Pamunkey_Interior,PI-2,-77.02035669166666,37.57145138,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Polygonum,species,above,4.4,NA,no,no
Gillen_et_al_2018,Pamunkey_Interior,PI-2,-77.02035669166666,37.57145138,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Zizania,aquatica,above,30.8,NA,no,no
Gillen_et_al_2018,Pamunkey_Interior,PI-2,-77.02035669166666,37.57145138,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Bidens,laevis,above,14,NA,no,no
Gillen_et_al_2018,Pamunkey_Interior,PI-3,-77.02035669166666,37.57145138,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Polygonum,species,above,20.3,NA,no,no
Gillen_et_al_2018,Pamunkey_Interior,PI-3,-77.02035669166666,37.57145138,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Schoenoplectus,americanus,above,2.6,NA,no,no
Gillen_et_al_2018,Pamunkey_Interior,PI-3,-77.02035669166666,37.57145138,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Plantago,virginica,above,3.1,NA,no,no
Gillen_et_al_2018,Pamunkey_Interior,PI-3,-77.02035669166666,37.57145138,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Zizania,aquatica,above,40.8,NA,no,no
Gillen_et_al_2018,Pamunkey_Interior,PI-3,-77.02035669166666,37.57145138,RTK,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,harvest,Bidens,laevis,above,5.1,NA,no,no
