study_id,site_id,plot_id,plot_center_latitude,plot_center_longitude,position_notes,elevation,elevation_method,elevation_notes,habitat,plant_plot_detail_present,soil_core_present
Gillen_et_al_2018,Taskinas_Edge,TCE-1,37.41529597,-76.715459514,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.3267,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Taskinas_Edge,TCE-2,37.41529597,-76.715459514,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.3267,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Taskinas_Edge,TCE-3,37.41529597,-76.715459514,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.3267,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Taskinas_Interior,TCI-1,37.41543054,-76.715440864,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.4705,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Taskinas_Interior,TCI-1,37.41543054,-76.715440864,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.4705,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Taskinas_Interior,TCI-1,37.41543054,-76.715440864,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.4705,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Taskinas_Interior,TCI-2,37.41543054,-76.715440864,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.4705,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Taskinas_Interior,TCI-2,37.41543054,-76.715440864,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.4705,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Taskinas_Interior,TCI-3,37.41543054,-76.715440864,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.4705,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Taskinas_Interior,TCI-3,37.41543054,-76.715440864,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.4705,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,SweetHall_Edge,SHE-1,37.565863588,-76.883882626,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.12626,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,SweetHall_Edge,SHE-1,37.565863588,-76.883882626,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.12626,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,SweetHall_Edge,SHE-1,37.565863588,-76.883882626,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.12626,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,SweetHall_Edge,SHE-2,37.565863588,-76.883882626,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.12626,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,SweetHall_Edge,SHE-2,37.565863588,-76.883882626,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.12626,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,SweetHall_Edge,SHE-3,37.565863588,-76.883882626,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.12626,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,SweetHall_Interior,SHI-1,37.565869434,-76.884004016,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.26772,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,SweetHall_Interior,SHI-2,37.565869434,-76.884004016,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.26772,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,SweetHall_Interior,SHI-2,37.565869434,-76.884004016,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.26772,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,SweetHall_Interior,SHI-2,37.565869434,-76.884004016,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.26772,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,SweetHall_Interior,SHI-3,37.565869434,-76.884004016,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.26772,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,SweetHall_Interior,SHI-3,37.565869434,-76.884004016,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.26772,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,SweetHall_Interior,SHI-3,37.565869434,-76.884004016,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.26772,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Pamunkey_Edge,PE-1,37.571570941666664,-77.02036393833333,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.05683333333333333,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Pamunkey_Edge,PE-1,37.571570941666664,-77.02036393833333,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.05683333333333333,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Pamunkey_Edge,PE-1,37.571570941666664,-77.02036393833333,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.05683333333333333,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Pamunkey_Edge,PE-2,37.571570941666664,-77.02036393833333,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.05683333333333333,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Pamunkey_Edge,PE-2,37.571570941666664,-77.02036393833333,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.05683333333333333,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Pamunkey_Edge,PE-2,37.571570941666664,-77.02036393833333,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.05683333333333333,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Pamunkey_Edge,PE-3,37.571570941666664,-77.02036393833333,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.05683333333333333,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Pamunkey_Edge,PE-3,37.571570941666664,-77.02036393833333,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.05683333333333333,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Pamunkey_Edge,PE-3,37.571570941666664,-77.02036393833333,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.05683333333333333,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Pamunkey_Interior,PI-1,37.57145138,-77.02035669166666,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Pamunkey_Interior,PI-1,37.57145138,-77.02035669166666,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Pamunkey_Interior,PI-1,37.57145138,-77.02035669166666,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Pamunkey_Interior,PI-1,37.57145138,-77.02035669166666,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Pamunkey_Interior,PI-2,37.57145138,-77.02035669166666,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Pamunkey_Interior,PI-2,37.57145138,-77.02035669166666,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Pamunkey_Interior,PI-2,37.57145138,-77.02035669166666,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Pamunkey_Interior,PI-2,37.57145138,-77.02035669166666,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Pamunkey_Interior,PI-2,37.57145138,-77.02035669166666,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Pamunkey_Interior,PI-2,37.57145138,-77.02035669166666,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Pamunkey_Interior,PI-3,37.57145138,-77.02035669166666,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Pamunkey_Interior,PI-3,37.57145138,-77.02035669166666,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Pamunkey_Interior,PI-3,37.57145138,-77.02035669166666,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Pamunkey_Interior,PI-3,37.57145138,-77.02035669166666,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
Gillen_et_al_2018,Pamunkey_Interior,PI-3,37.57145138,-77.02035669166666,coordinates selected as mean of a cluster of 3 to 14 cores taken at each location,0.17233333333333334,RTK,elevation selected as mean of a cluster of 3 to 14 cores taken at each location,marsh,yes,yes
