study_id,method_id,coring_method,roots_flag,sediment_sieved_flag,sediment_sieve_size,compaction_flag,dry_bulk_density_temperature,dry_bulk_density_time,dry_bulk_density_sample_volume,dry_bulk_density_flag,loss_on_ignition_temperature,loss_on_ignition_time,loss_on_ignition_sample_volume,loss_on_ignition_sample_mass,loss_on_ignition_flag,carbon_measured_or_modeled,carbonates_removed,carbonate_removal_method,fraction_carbon_method,fraction_carbon_type,carbon_profile_notes,cs137_counting_method,pb210_counting_method,excess_pb210_rate,excess_pb210_model,ra226_assumption,c14_counting_method,dating_notes,age_depth_model_reference,age_depth_model_notes,ground_or_sieved_flag,pb210_background_assumption
Trettin_et_al_2020,single set of methods,gouge auger,NA,sediment sieved,2,not specified,105,NA,NA,not specified,NA,NA,NA,NA,not specified,NA,NA,NA,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thorne_et_al_2015,single set of methods,none specified,NA,NA,NA,not specified,550,8,NA,to constant mass,550,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thom_1992,single set of methods,PVC tube or thin-walled metal tube,NA,NA,NA,corer limits compaction,90,NA,NA,NA,500,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
StLaurent_et_al_2020,single set of methods,pvc and hammer,roots and rhizomes separated,sediment sieved,1,compaction qualified,50,36,5,time approximate,450,8,NA,NA,NA,measured,FALSE,NA,EA,organic carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snedden_2021,single set of methods,push core,roots and rhizomes included,sediment not sieved,NA,not specified,NA,NA,NA,not specified,550,24,NA,NA,NA,measured,FALSE,not specified,not specified,total carbon,NA,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snedden_2018,single set of methods,push core,roots and rhizomes included,sediment not sieved,NA,not specified,NA,NA,NA,not specified,NA,NA,NA,NA,not specified,measured,FALSE,none specified,not specified,total carbon,NA,gamma,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA
Smith_et_al_2015,single set of methods,other shallow corer,roots and rhizomes included,sediment not sieved,NA,compaction quantified,60,NA,30,NA,650,4,30,NA,NA,NA,NA,NA,NA,NA,NA,gamma,alpha,NA,CRS,at asymptote,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,single set of methods,Eijkelkamp peat core sampler,NA,NA,NA,compaction quantified,50,NA,NA,NA,450,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,gamma,alpha,NA,NA,NA,AMS,NA,CE,Methodology citations: 10.1111/j.1467-9876.2008.00623.x; 10.1016/j.quascirev.2008.07.009,NA,NA
Senger_et_al_2020,single set of methods,gouge auger,roots and rhizomes separated,sediment not sieved,NA,not specified,40,72,NA,time approximate,NA,NA,NA,NA,not specified,measured,TRUE,direct acid treatment,EA,organic carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saunders_2013,single set of methods,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanborn_and_Coxson_2020,single set of methods,soil pit,roots and rhizomes included,sediment not sieved,NA,NA,105,24,550,NA,NA,NA,NA,NA,NA,measured,FALSE,NA,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rovai_et_al_2022,single set of methods,gouge auger,roots and rhizomes included,sediment not sieved,NA,NA,60,NA,NA,air dried to constant mass,550,NA,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,ECS 4010 elemental analyser (Costech Analytical Technologies),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodriguez_et_al_2022,single set of methods,vibracore,NA,sediment sieved,0.063,not specified,105,16,NA,time approximate,550,4,NA,NA,time approximate,modeled,FALSE,none specified,Craft regression,organic carbon,NA,NA,NA,NA,NA,NA,AMS,CALIB 7.1 or CALIBomb used to calibrate ages. Dates were chosen base on highest certainty unless stratigraphic position or aerial photography provided a better estimate.,core collection date,NA,NA,NA
Poppe_Rybczyk_2018,single set of methods,pvc and hammer,roots and rhizomes included,sediment sieved,0.5,no obvious compaction,NA,72,NA,to constant mass,500,24,NA,NA,NA,NA,FALSE,NA,not specified,not specified,Modeled fraction carbon values available in https://doi.org/10.25573/data.10005248,gamma,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_Rybczyk_2019,single set of methods,pvc and hammer,roots and rhizomes included,sediment sieved,0.5,no obvious compaction,60,96,NA,to constant mass,500,8,NA,NA,NA,NA,FALSE,NA,local regression,organic carbon,Modeled fraction carbon values available in https://doi.org/10.25573/data.10005248,gamma,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2019,single set of methods,pvc and hammer,roots and rhizomes included,sediment sieved,0.5,no obvious compaction,60,96,NA,to constant mass,500,8,NA,NA,NA,NA,FALSE,NA,local regression,organic carbon,Modeled fraction carbon values available in https://doi.org/10.25573/data.10005248,gamma,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piazza_et_al_2020,single set of methods,push core,roots and rhizomes included,sediment sieved,2,corer limits compaction,60,NA,157.07963267948966,not specified,550,2,NA,1,NA,measured,FALSE,carbonates not removed,EA,total carbon,NA,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,single set of methods,pvc and hammer,roots and rhizomes separated,sediment sieved,NA,compaction quantified,60,24,NA,time approximate,550,4,NA,1,NA,measured,TRUE,direct acid treatment,EA,organic carbon,NA,gamma,gamma,mass accumulation,CIC,NA,NA,activities collected to the detection limit,NA,NA,NA,NA
Okeefe-Suttles_et_al_2021_FL,pvc_and_hammer,pvc and hammer,roots and rhizomes included,sediment not sieved,NA,compaction quantified,NA,NA,NA,NA,450,4,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,gamma,gamma,mass accumulation,CRS,each sample,NA,NA,core collection date,NA,NA,NA
Okeefe-Suttles_et_al_2021_FL,salt_barren,shovel,NA,sediment not sieved,NA,not specified,NA,NA,NA,NA,450,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,gamma,gamma,mass accumulation,CRS,each sample,NA,NA,core collection date,NA,NA,NA
Okeefe-Suttles_et_al_2021_RI,single set of methods,piston corer,roots and rhizomes included,sediment not sieved,NA,compaction qualified,NA,NA,NA,freeze dried,NA,NA,NA,NA,NA,measured,FALSE,NA,EA,total carbon,NA,gamma,gamma,mass accumulation,CRS,each sample,NA,NA,core collection date,NA,NA,NA
Okeefe-Suttles_et_al_2021_Cape,total_carbon,piston corer,roots and rhizomes included,sediment not sieved,NA,compaction qualified,NA,NA,NA,freeze dried,NA,NA,NA,NA,NA,measured,FALSE,NA,EA,total carbon,NA,gamma,gamma,mass accumulation,CRS,each sample,NA,NA,core collection date,NA,NA,NA
Okeefe-Suttles_et_al_2021_Cape,organic_carbon,piston corer,roots and rhizomes included,sediment not sieved,NA,compaction qualified,NA,NA,NA,freeze dried,NA,NA,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,gamma,gamma,mass accumulation,CRS,each sample,NA,NA,core collection date,NA,NA,NA
Okeefe-Suttles_et_al_2021_Cape,no_fraction_carbon,piston corer,roots and rhizomes included,sediment not sieved,NA,compaction qualified,NA,NA,NA,freeze dried,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gamma,gamma,mass accumulation,CRS,each sample,NA,NA,core collection date,NA,NA,NA
Okeefe-Suttles_et_al_2021_Wellfleet,single set of methods,piston corer,roots and rhizomes included,sediment not sieved,NA,compaction qualified,NA,NA,NA,freeze dried,NA,NA,NA,NA,NA,measured,FALSE,NA,EA,total carbon,NA,gamma,gamma,mass accumulation,CRS,each sample,NA,NA,core collection date,NA,NA,NA
Nolte_2020,single set of methods,pvc and hammer,roots and rhizomes included,sediment not sieved,NA,compaction quantified,105,52,NA,to constant mass,550,4,NA,5,NA,NA,FALSE,NA,NA,NA,NA,gamma,gamma,NA,NA,each sample,NA,NA,core collection date,NA,NA,NA
Noe_et_al_2016,single set of methods,NA,roots and rhizomes separated,NA,NA,NA,60,NA,NA,air dried to constant mass,NA,NA,NA,NA,NA,measured,NA,NA,EA,organic carbon,NA,NA,alpha,NA,CRS,NA,NA,NA,core collection date,NA,NA,NA
Nahlik_and_Fennessy_2016,single set of methods,soil pit,NA,sediment sieved,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured,TRUE,direct acid treatment,EA,organic carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morrissette_et_al_2023,single set of methods,gouge auger,roots and rhizomes included,NA,NA,corer limits compaction,70,NA,NA,to constant mass,450,6,NA,NA,NA,measured,TRUE,total carbon difference after LOI,EA,organic carbon,"Samples dried over 36-48hrs for DBD. LOI determined from a 3-5g subsample of each original dry, ground, sample. If no carbonates were present in original soil sample, 2-3mg were sent for EA. If carbonates were present, 15-20mg were sent for EA to allow for total carbon and post-LOI EA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,sediment ground,NA
Messerschmidt_and_Kirwan_2020,single set of methods,push core,NA,NA,NA,no obvious compaction,60,72,NA,to constant mass,550,6,NA,5,NA,NA,NA,NA,NA,NA,NA,gamma,gamma,NA,CRS,NA,NA,NA,CE,NA,NA,NA
McTigue_et_al_2020,single set of methods,russian corer,roots and rhizomes included,sediment not sieved,NA,corer limits compaction,60,NA,NA,to constant mass,450,6,NA,NA,time approximate,NA,TRUE,direct acid treatment,EA,organic carbon,NA,NA,alpha,mass accumulation,CFCS,NA,AMS,NA,core collection date,NA,NA,NA
McGlathery_et_al_2018,single set of methods,pvc and hammer,NA,sediment not sieved,NA,not specified,60,NA,NA,to constant mass,500,6,NA,NA,not specified,measured,FALSE,carbonates not removed,EA,organic carbon,NA,NA,alpha,NA,NA,NA,NA,NA,NA,NA,NA,NA
McClellan_et_al_2021,single set of methods,none specified,roots and rhizomes separated,sediment not sieved,NA,NA,60,NA,NA,air dried to constant mass,550,4,NA,1,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marot_et_al_2020,vibracore_alpha_spectroscopy,vibracore,NA,sediment sieved,1,compaction quantified,60,48,NA,time approximate,550,6,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,alpha,alpha,NA,NA,selected samples,AMS,NA,YBP,NA,NA,NA
Marot_et_al_2020,vibracore_gamma_spectroscopy,vibracore,NA,sediment sieved,1,compaction quantified,60,48,NA,time approximate,550,6,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,gamma,gamma,NA,NA,selected samples,AMS,NA,YBP,NA,NA,NA
Marot_et_al_2020,vibracore_no_spectroscopy,vibracore,NA,sediment sieved,1,compaction quantified,60,48,NA,time approximate,550,6,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,NA,NA,NA,NA,selected samples,AMS,NA,YBP,NA,NA,NA
Marot_et_al_2020,push_core_alpha_spectroscopy,push core,NA,sediment sieved,1,compaction quantified,60,48,NA,time approximate,550,6,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,alpha,alpha,NA,NA,selected samples,AMS,NA,YBP,NA,NA,NA
Marot_et_al_2020,push_core_gamma_spectroscopy,push core,NA,sediment sieved,1,compaction quantified,60,48,NA,time approximate,550,6,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,gamma,gamma,NA,NA,selected samples,AMS,NA,YBP,NA,NA,NA
Marot_et_al_2020,push_core_no_spectroscopy,push core,NA,sediment sieved,1,compaction quantified,60,48,NA,time approximate,550,6,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,NA,NA,NA,NA,selected samples,AMS,NA,YBP,NA,NA,NA
Marot_et_al_2020,shovel_corer_alpha_spectroscopy,shovel core,NA,sediment sieved,1,not specified,60,48,NA,time approximate,550,6,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,alpha,alpha,NA,NA,selected samples,AMS,NA,YBP,NA,NA,NA
Marot_et_al_2020,shovel_corer_gamma_spectroscopy,shovel core,NA,sediment sieved,1,not specified,60,48,NA,time approximate,550,6,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,gamma,gamma,NA,NA,selected samples,AMS,NA,YBP,NA,NA,NA
Marot_et_al_2020,shovel_corer_no_spectroscopy,shovel core,NA,sediment sieved,1,not specified,60,48,NA,time approximate,550,6,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,NA,NA,NA,NA,selected samples,AMS,NA,YBP,NA,NA,NA
Marot_et_al_2020,russian_corer_alpha_spectroscopy,russian corer,NA,sediment sieved,1,not specified,60,48,NA,time approximate,550,6,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,alpha,alpha,NA,NA,selected samples,AMS,NA,YBP,NA,NA,NA
Marot_et_al_2020,russian_corer_gamma_spectroscopy,russian corer,NA,sediment sieved,1,not specified,60,48,NA,time approximate,550,6,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,gamma,gamma,NA,NA,selected samples,AMS,NA,YBP,NA,NA,NA
Marot_et_al_2020,russian_corer_no_spectroscopy,russian corer,NA,sediment sieved,1,not specified,60,48,NA,time approximate,550,6,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,NA,NA,NA,NA,selected samples,AMS,NA,YBP,NA,NA,NA
Marot_et_al_2020,surface_sample_alpha_spectroscopy,surface sample,NA,sediment sieved,1,not specified,60,48,NA,time approximate,550,6,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,alpha,alpha,NA,NA,selected samples,AMS,NA,YBP,NA,NA,NA
Marot_et_al_2020,surface_sample_gamma_spectroscopy,surface sample,NA,sediment sieved,1,not specified,60,48,NA,time approximate,550,6,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,gamma,gamma,NA,NA,selected samples,AMS,NA,YBP,NA,NA,NA
Marot_et_al_2020,surface_sample_no_spectroscopy,surface sample,NA,sediment sieved,1,not specified,60,48,NA,time approximate,550,6,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,NA,NA,NA,NA,selected samples,AMS,NA,YBP,NA,NA,NA
Luk_et_al_2020,soil carbon measured,piston corer,roots and rhizomes separated,sediment sieved,1,no obvious compaction,60,NA,NA,air dried to constant mass,NA,NA,NA,NA,NA,measured,TRUE,acid fumigation,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,radioisotopes measured,piston corer,NA,NA,NA,no obvious compaction,NA,168,NA,freeze dried,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gamma,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lagomasino_et_al_2019,single set of methods,none specified,NA,NA,NA,NA,NA,NA,NA,modeled,550,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,gamma,alpha,accretion,CFCS,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,single set of methods,none specified,roots and rhizomes included,sediment not sieved,NA,compaction quantified,60,NA,NA,to constant mass,NA,NA,NA,NA,not specified,measured,TRUE,direct acid treatment,EA,organic carbon,NA,NA,alpha,depth,CFCS,selected samples,AMS,NA,NA,NA,NA,NA
Kusumaningtyas_et_al_2018,single set of methods,gouge auger,roots and rhizomes separated,sediment not sieved,NA,not specified,60,NA,NA,time approximate,NA,NA,NA,NA,not specified,measured,TRUE,direct acid treatment,EA,organic carbon,dry bulk density time from 48-72 hours,gamma,gamma,cumulative mass,CFCS,NA,NA,NA,NA,NA,NA,NA
Krauss_et_al_2018,piston corer used,piston corer,NA,NA,NA,compaction quantified,NA,NA,NA,modeled,550,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMS,NA,core collection date,NA,NA,NA
Krauss_et_al_2018,vibracore used,vibracore,NA,NA,NA,compaction quantified,NA,NA,NA,modeled,550,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMS,NA,core collection date,NA,NA,NA
Krauss_et_al_2018,russian corer used,russian corer,NA,NA,NA,corer limits compaction,NA,NA,NA,modeled,550,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMS,NA,core collection date,NA,NA,NA
Keshta_et_al_2020,wetland cores,russian corer,roots and rhizomes separated,sediment sieved,2,corer limits compaction,105,72,45.2389,air dried to constant mass,550,2,NA,NA,time approximate,modeled,TRUE,direct acid treatment,local regression,total carbon,"a peat sampler was used for all wetland habitats, except the adjacent uplands where regular soil core was used for soil sampling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keshta_et_al_2020,upland cores,push core,roots and rhizomes separated,sediment sieved,2,corer limits compaction,105,72,171.0597,air dried to constant mass,550,2,NA,NA,time approximate,modeled,TRUE,direct acid treatment,local regression,total carbon,"a peat sampler was used for all wetland habitats, except the adjacent uplands where regular soil core was used for soil sampling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kemp_et_al_2020,single set of methods,piston corer,NA,NA,NA,corer limits compaction,110,24,NA,NA,550,4,NA,4,NA,NA,NA,NA,NA,NA,NA,gamma,gamma,NA,NA,NA,NA,NA,CE,NA,NA,NA
Kauffman_et_al_2020,single set of methods,gouge auger,roots and rhizomes included,sediment not sieved,NA,NA,60,96,NA,time approximate,NA,NA,NA,NA,NA,measured,FALSE,NA,EA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Johnson_et_al_2007,single set of methods,vibracore,NA,NA,NA,NA,100,NA,NA,to constant mass,NA,NA,NA,NA,NA,measured,TRUE,direct acid treatment,NA,organic carbon,NA,NA,NA,NA,NA,NA,AMS,NA,YBP,NA,NA,NA
Howard_and_Fourqurean_2020,single set of methods,piston corer,roots and rhizomes separated,sediment not sieved,NA,corer limits compaction,60,NA,5,not specified,500,4,NA,NA,not specified,measured,TRUE,acid fumigation,EA,organic carbon,organic C was calculated as the difference between inorganic C and total C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Breithaupt_et_al_2017,single set of methods,piston corer,NA,NA,NA,corer limits compaction,NA,NA,NA,not specified,550,3,NA,NA,NA,NA,NA,NA,NA,NA,modeled carbon values removed from depthseries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cochran_et_al_1998,single set of methods,mccaffrey peat cutter,NA,NA,NA,NA,60,48,NA,duplicate measurements,450,12,NA,NA,duplicate measurements,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRMS_Database,single set of methods,push core,NA,NA,NA,compaction quantified,NA,NA,NA,not specified,NA,NA,NA,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drake_et_al_2015,single set of methods,none specified,NA,sediment sieved,2,NA,105,NA,NA,not specified,NA,NA,NA,NA,NA,measured,NA,none specified,EA,organic carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elsey_Quirk_et_al_2011,single set of methods,piston corer,roots and rhizomes separated,sediment sieved,0.42,compaction quantified,60,12,NA,time approximate,460,8,NA,NA,NA,modeled,TRUE,acid fumigation,Craft regression,organic carbon,modeled carbon values removed from depthseries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hill_and_Anisfeld_2015,single set of methods,push core,NA,NA,NA,corer limits compaction,60,NA,NA,not specified,550,NA,NA,NA,not specified,measured,TRUE,acid fumigation,EA,organic carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kulawardhana_et_al_2015,single set of methods,other shallow corer,roots and rhizomes separated,NA,NA,no obvious compaction,105,48,NA,NA,440,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Merrill_1999,single set of methods,mcauley corer,NA,NA,NA,corer limits compaction,NA,NA,NA,not specified,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neubauer_2002,single set of methods,push core,NA,NA,NA,NA,50,NA,NA,not specified,500,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noe_et_al_2013,single set of methods,push core,NA,sediment sieved,2,NA,NA,NA,NA,not specified,550,4,NA,NA,ground and sieved,measured,FALSE,NA,EA,total carbon,fumigated to remove microbeal biomass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nuttle_1996,single set of methods,none specified,NA,NA,NA,NA,NA,NA,NA,not specified,NA,NA,NA,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nyman_et_al_1993,single set of methods,other shallow corer,NA,NA,NA,NA,80,NA,NA,removed non structural water,400,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orson_1990,single set of methods,russian corer,NA,NA,NA,corer limits compaction,NA,NA,NA,not specified,475,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pastore_et_al_2017,single set of methods,gouge auger,NA,NA,NA,NA,60,336,NA,time approximate,NA,NA,NA,NA,NA,measured,FALSE,low carbonate soil,NA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Radabaugh_et_al_2018,single set of methods,russian corer,roots and rhizomes included,sediment not sieved,NA,NA,105,24,NA,NA,550,3,NA,NA,NA,modeled,FALSE,NA,NA,total carbon,modeled carbon values removed from depthseries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Windham_Meyers_et_al_2010,single set of methods,piston corer,NA,NA,NA,NA,105,12,NA,time approximate,450,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hamzeh_and_lahijani_2022,single set of methods,gouge auger,NA,sediment not sieved,NA,corer limits compaction,60,NA,NA,to constant mass,NA,NA,NA,NA,not specified,modeled,FALSE,carbonates not removed,not specified,organic carbon,fraction carbon was modeled using the Kauffman 2011 equation,NA,NA,NA,NA,NA,AMS,one core (QM 81) was dated and total core age (1850) was listed,core collection date,NA,NA,NA
Gonneea_et_al_2018,single set of methods,piston corer,roots and rhizomes included,sediment not sieved,NA,no obvious compaction,NA,NA,NA,freeze dried,NA,NA,NA,NA,NA,measured,FALSE,carbonates not removed,EA,total carbon,NA,gamma,gamma,NA,CRS,NA,NA,NA,core collection date,NA,NA,NA
Githaiga_et_al_2017,single set of methods,russian corer,roots and rhizomes included,sediment sieved,0.5,NA,60,72,98.125,to constant mass,450,6,NA,NA,not specified,modeled,FALSE,none specified,local regression,organic carbon,%LOI < 0.2: %Corg = 0.40 x %LOI - 0.21; %LOI > 0.2: %Corg = 0.43 x %LOI - 0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
