study_id,bibliography_id,publication_type,bibtype,title,author,school,doi,url,year,month,publisher,volume,number,pages,journal,copyright,editor,booktitle,institution,language,day,issn,eprint,article-number
van_Ardenne_et_al_2018,van_Ardenne_et_al_2018_dataset,primary dataset,Misc,High resolution carbon stock and soil data for three salt marshes along the northeastern coast of North America,"Lee B. van Ardenne, Serge Jolicoeur, Dominique Bérubé, David Burdick, Gail L. Chmura",NA,https://doi.org/10.1016/j.dib.2018.07.037,https://www.sciencedirect.com/science/article/pii/S2352340918308102#ec0010,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
van_Ardenne_et_al_2018,van_Ardenne_et_al_2018_article,associated source,Article,The importance of geomorphic context for estimating the carbon stock of salt marshes,"Lee B. van Ardenne, Serge Jolicoeur, Dominique Bérubé, David Burdick, Gail L. Chmura",NA,https://doi.org/10.1016/j.geoderma.2018.06.003,https://www.sciencedirect.com/science/article/pii/S0016706117317172,2018,NA,NA,NA,NA,NA,Geoderma,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turck_2014,Turck_2014_data,primary dataset,Misc,"Vibracore and Tree Stump Data from the Marsh Near Mary Hammock, McIntosh County, GA","Turck, John A",NA,10.6073/pasta/4541ae084d807962b8c331eea61908bd,https://doi.org/10.6073/pasta/4541ae084d807962b8c331eea61908bd,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trettin_et_al_2017,Trettin_et_al_2017_data,primary dataset,Misc,"Mangrove carbon stocks in Zambezi River Delta, Mozambique",Carl C. Trettin and Christina E. Stringer and Stanley J. Zarnoch and Wenwu Tang and Zhaohua Dai,NA,10.2737/rds-2017-0053,https://doi.org/10.2737/rds-2017-0053,2017,NA,Forest Service Research Data Archive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thorne_et_al_2015,Thorne_et_al_2015_data,primary dataset,Misc,Marshes to Mudflats: Climate Change Effects Along a Latitudinal Gradient in the Pacific Northwest,U.S. Geological Survey {Karen Thorne},NA,10.5066/F7SJ1HNC,https://www.sciencebase.gov/catalog/item/5006e99ee4b0abf7ce733f58,2015,NA,U.S. Geological Survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thorne_et_al_2015,Thorne_et_al_2015_article,associated source,Article,U.S. Pacific coastal wetland resilience and vulnerability to sea-level rise,Karen Thorne and Glen MacDonald and Glenn Guntenspergen and Richard Ambrose and Kevin Buffington and Bruce Dugger and Chase Freeman and Christopher Janousek and Lauren Brown and Jordan Rosencranz and James Holmquist and John Smol and Kathryn Hargan and John Takekawa,NA,10.1126/sciadv.aao3270,https://doi.org/10.1126/sciadv.aao3270,2018,feb,American Association for the Advancement of Science ({AAAS}),4,2,eaao3270,Science Advances,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thom_1992,Thom_1992_data,primary dataset,Misc,Dataset: Accretion rates of low intertidal salt marshes in the Pacific Northwest,Ronald M. Thom,NA,10.25573/DATA.10046189,https://smithsonian.figshare.com/articles/Dataset_Accretion_rates_of_low_intertidal_salt_marshes_in_the_Pacific_Northwest/10046189,2019,NA,The Smithsonian Institution,NA,NA,NA,NA,CC BY 4.0,NA,NA,NA,NA,NA,NA,NA,NA
Thom_1992,Thom_1992_article,associated source,Article,Accretion rates of low intertidal salt marshes in the Pacific Northwest,Ronald M. Thom,NA,10.1007/bf03160603,https://doi.org/10.1007/bf03160603,1992,dec,Springer Science and Business Media {LLC},12,3,147--156,Wetlands,NA,NA,NA,NA,NA,NA,NA,NA,NA
StLaurent_et_al_2020,StLaurent_et_al_2020_data,primary dataset,Misc,Dataset: Assessing coastal carbon variability in two Delaware tidal marshes,Kari A. St. Laurent and Daniel J. Hribar and Annette J. Carlson and {Calyn M. Crawford} and {Drexel Siok},NA,10.25573/SERC.13315472,https://smithsonian.figshare.com/articles/dataset/Dataset_Assessing_coastal_carbon_variability_in_two_Delaware_tidal_marshes/13315472,2020,dec,The Smithsonian Institution,NA,NA,NA,NA,Creative Commons Attribution 4.0 International,NA,NA,NA,NA,NA,NA,NA,NA
StLaurent_et_al_2020,StLaurent_et_al_2020_article,associated source,Article,Assessing coastal carbon variability in two Delaware tidal marshes,Kari A. St. Laurent and Daniel J. Hribar and Annette J. Carlson and Calyn M. Crawford and Drexel Siok,NA,10.1007/s11852-020-00783-3,https://doi.org/10.1007/s11852-020-00783-3,2020,oct,Springer Science and Business Media {LLC},24,6,NA,Journal of Coastal Conservation,NA,NA,NA,NA,NA,NA,NA,NA,NA
Smith_et_al_2015,Smith_et_al_2015_data,primary dataset,Misc,Wetland paleoecological study of southwest coastal Louisiana: sediment cores and diatom calibration dataset,Kathryn E. L. Smith and James G. Flocks and Gregory D. Steyer and Sarai C. Piazza,NA,10.3133/ds877,https://doi.org/10.3133/ds877,2015,NA,{US} Geological Survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Smith_et_al_2015,Smith_2012_phdthesis,associated source,PhdThesis,"PALEOECOLOGICAL STUDY OF COASTAL MARSH IN THE CHENIER PLAIN, LOUISIANA: INVESTIGATING THE DIATOM COMPOSITION OF HURRICANE-DEPOSITED SEDIMENTS AND A DIATOM-BASED QUANTITATIVE RECONSTRUCTION OF SEA-LEVEL CHARACTERISTICS",Kathryn E.L. Smith,University of Florida,NA,https://ufdc.ufl.edu/UFE0044969/00001/pdf,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2021,Shaw_et_al_2021_data,primary dataset,Misc,"Dataset: Relative sea-level change and driving processes during the past ~4000 years in the Chesapeake Bay, U.S. Atlantic Coast",Timothy Shaw and Niamh Cahill and G Barbieri and E Ashe and Nicole {S. Khan} and M Brain and Michael E. Mann and Jennifer Clear and D. Reide Corbett and Daria Nikitina and Jennifer Walker and J Pilarczyk and Andrew {C. Kemp} and Simon E. Engelhart and R Kopp and S Culver and Benjamin {P. Horton},NA,10.25573/SERC.24526066.V1,https://smithsonian.figshare.com/articles/dataset/Dataset_Relative_sea-level_change_and_driving_processes_during_the_past_4000_years_in_the_Chesapeake_Bay_U_S_Atlantic_Coast/24526066/1,2023,NA,Smithsonian Environmental Research Center,NA,NA,NA,NA,Creative Commons Attribution 4.0 International,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2021,Christie_et_al_2021_article,associated source,Article,Pollen Geochronology from the Atlantic Coast of the United States during the Last 500 Years,Margaret A. Christie and Christopher E. Bernhardt and Andrew C. Parnell and Timothy A. Shaw and Nicole S. Khan and D. Reide Corbett and Ane Garc\'\ia-Artola and Jennifer Clear and Jennifer S. Walker and Jeffrey P. Donnelly and Tobias R. Hasse and Benjamin P. Horton,NA,10.3390/w13030362,https://doi.org/10.3390/w13030362,2021,jan,{MDPI} {AG},13,3,362,Water,NA,NA,NA,NA,NA,NA,NA,NA,NA
Senger_et_al_2020,Senger_et_al_2020,primary dataset,Misc,"Sediment characteristics of the mangrove forest of Bonaire, Dutch Caribbean","Senger, Florian; Gillis, Lucy Gwen; Engel, Sabine",NA,https://doi.org/10.1594/PANGAEA.910431,https://doi.pangaea.de/10.1594/PANGAEA.910431,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Senger_et_al_2020,Senger_et_al_2021_paper,associated source,Article,Impacts of wetland dieback on carbon dynamics: A comparison between intact and degraded mangroves,"D.F. Senger, D.A. Saavedra Hortua, S. Engel, M. Schnurawa, N. Moosdorf, L.G. Gillis",NA,https://doi.org/10.1016/j.scitotenv.2020.141817,https://www.sciencedirect.com/science/article/pii/S0048969720353468,2021,NA,NA,NA,NA,NA,Science of the Total Environment,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell_et_al_2015,Campbell_et_al_2014_article,synthesis source,Article,"Carbon Storage in Seagrass Beds of Abu Dhabi, United Arab Emirates",J. E. Campbell and E. A. Lacey and R. A. Decker and S. Crooks and J. W. Fourqurean,NA,10.1007/s12237-014-9802-9,https://doi.org/10.1007/s12237-014-9802-9,2014,mar,Springer Science and Business Media {LLC},38,1,242--251,Estuaries and Coasts,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schile-Beers_and_Megonigal_2017,Schile-Beers_et_al_2017_data,synthesis dataset,Misc,Abu Dhabi Blue Carbon Demonstration Project,Lisa M. Schile and J. Patrick Megonigal,NA,10.5479/data_serc/10088/31949,https://repository.si.edu/handle/10088/31949,2017,NA,Smithsonian Environmental Research Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell_et_al_2015,Schile-Beers_et_al_2017_data,synthesis dataset,Misc,Abu Dhabi Blue Carbon Demonstration Project,Lisa M. Schile and J. Patrick Megonigal,NA,10.5479/data_serc/10088/31949,https://repository.si.edu/handle/10088/31949,2017,NA,Smithsonian Environmental Research Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saunders_2013,Saunders_2013_data,primary dataset,Misc,"Radiometric Characteristics of Soil Sediments from Shark River Slough, Everglades National Park (FCE) from 2005 and 2006","Saunders, Colin",NA,10.6073/pasta/c0cb8ff0f150e429674ecf0db15bedc5,https://doi.org/10.6073/pasta/c0cb8ff0f150e429674ecf0db15bedc5,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abino_et_al_2014,Abino_et_al_2014_article,synthesis source,Article,"Species diversity, biomass, and carbon stock assessments of a natural mangrove forest in Palawan, Philippines","Abino, Azyleah C and CaPak. J. Botstillo, Jose Alan A and Lee, Young Jin",NA,NA,NA,2014,NA,NA,46,6,NA,Pak. J. Bot,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abino_et_al_2014,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,Adame_et_al_2013_article,synthesis source,Article,Carbon Stocks of Tropical Coastal Wetlands within the Karstic Landscape of the Mexican Caribbean,Maria Fernanda Adame and J. Boone Kauffman and Israel Medina and Julieta N. Gamboa and Olmo Torres and Juan P. Caamal and Miriam Reza and Jorge A. Herrera-Silveira,NA,10.1371/journal.pone.0056569,https://doi.org/10.1371/journal.pone.0056569,2013,feb,Public Library of Science ({PLoS}),8,2,e56569,{PLoS} {ONE},NA,Han Y. H. Chen,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2015,Adame_et_al_2015_article,synthesis source,Article,Carbon stocks and soil sequestration rates of tropical riverine wetlands,M. F. Adame and N. S. Santini and C. Tovilla and A. VÃ¡zquez-Lule and L. Castro and M. Guevara,NA,10.5194/bg-12-3805-2015,https://doi.org/10.5194/bg-12-3805-2015,2015,jun,Copernicus {GmbH},12,12,3805--3818,Biogeosciences,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2015,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSIS_Sentinel_Sites,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AfSPDB,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ajonina_et_al_2014,Ajonina_et_al_2014_article,synthesis source,InCollection,"Carbon Budget as a Tool for Assessing Mangrove Forests Degradation in the Western, Coastal Wetlands Complex (Ramsar Site 1017) of Southern Benin, West Africa",Gordon N. Ajonina and Expedit Evariste Ago and Gautier Amoussou and Eugene Diyouke Mibog and Is Deen Akambi and Eunice Dossa,NA,10.1007/978-3-319-06388-1_12,https://doi.org/10.1007/978-3-319-06388-1_12,2014,NA,Springer International Publishing,NA,NA,139--149,NA,NA,NA,Estuaries of the World,NA,NA,NA,NA,NA,NA
Ajonina_et_al_2014,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allen_et_al_2007,Allen_et_al_2007_article,synthesis source,Article,Spatial and temporal variation of nitrous oxide and methane flux between subtropical mangrove sediments and the atmosphere,Diane E. Allen and Ram C. Dalal and Heinz Rennenberg and Rikke Louise Meyer and Steven Reeves and Susanne Schmidt,NA,10.1016/j.soilbio.2006.09.013,https://doi.org/10.1016/j.soilbio.2006.09.013,2007,feb,Elsevier {BV},39,2,622--631,Soil Biology and Biochemistry,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allen_et_al_2007,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Along_et_al_2000_MEPS,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_1996,Alongi_1996_article,synthesis source,Article,The dynamics of benthic nutrient pools and fluxes in tropical mangrove forests,Daniel M. Alongi,NA,10.1357/0022240963213475,https://doi.org/10.1357/0022240963213475,1996,jan,Journal of Marine Research/Yale,54,1,123--148,Journal of Marine Research,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_1996,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_1999,Alongi_et_al_1999_article,synthesis source,Article,Mineralization of Organic Matter in Intertidal Sediments of a Tropical Semi-enclosed Delta,D.M. Alongi and F. Tirendi and P. Dixon and L.A. Trott and G.J. Brunskill,NA,10.1006/ecss.1998.0465,https://doi.org/10.1006/ecss.1998.0465,1999,apr,Elsevier {BV},48,4,451--467,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_1999,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,Alongi_et_al_2000_article_oct,synthesis source,Article,Below-ground decomposition of organic matter in forests of the mangroves Rhizophora stylosa and Avicennia marina along the arid coast of Western Australia,D.M Alongi and F Tirendi and B.F Clough,NA,10.1016/s0304-3770(00)00110-8,https://doi.org/10.1016/s0304-3770(00)00110-8,2000,oct,Elsevier {BV},68,2,97--122,Aquatic Botany,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,Alongi_et_al_2000_article,synthesis source,Article,"Benthic decomposition rates and pathways in plantations of the mangrove Rhizophora apiculata in the Mekong delta, Vietnam",DM Alongi and F Tirendi and LA Trott and TT Xuan,NA,10.3354/meps194087,https://doi.org/10.3354/meps194087,2000,NA,Inter-Research Science Center,194,NA,87--101,Marine Ecology Progress Series,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2000,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2001,Alongi_et_al_2001_article,synthesis source,Article,Organic carbon accumulation and metabolic pathways in sediments of mangrove forests in southern Thailand,D.M Alongi and G Wattayakorn and J Pfitzner and F Tirendi and I Zagorskis and G.J Brunskill and A Davidson and B.F Clough,NA,10.1016/s0025-3227(01)00195-5,https://doi.org/10.1016/s0025-3227(01)00195-5,2001,sep,Elsevier {BV},179,NA,85--103,Marine Geology,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2001,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2004,Alongi_et_al_2004_article,synthesis source,Article,Sediment accumulation and organic material flux in a managed mangrove ecosystem: estimates of land{\textendash}ocean{\textendash}atmosphere exchange in peninsular Malaysia,D.M Alongi and A Sasekumar and V.C Chong and J Pfitzner and L.A Trott and F Tirendi and P Dixon and G.J Brunskill,NA,10.1016/j.margeo.2004.04.016,https://doi.org/10.1016/j.margeo.2004.04.016,2004,aug,Elsevier {BV},208,NA,383--402,Marine Geology,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2004,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2005,Alongi_et_al_2005_article,synthesis source,Article,"Rapid sediment accumulation and microbial mineralization in forests of the mangrove Kandelia candel in the Jiulongjiang Estuary, China",D.M. Alongi and J. Pfitzner and L.A. Trott and F. Tirendi and P. Dixon and D.W. Klumpp,NA,10.1016/j.ecss.2005.01.004,https://doi.org/10.1016/j.ecss.2005.01.004,2005,jun,Elsevier {BV},63,4,605--618,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2005,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2008,Alongi_et_al_2008_article_oct,synthesis source,Article,"Growth and development of mangrove forests overlying smothered coral reefs, Sulawesi and Sumatra, Indonesia",DM Alongi and LA Trott and {Rachmansyah} and F Tirendi and AD McKinnon and MC Undu,NA,10.3354/meps07661,https://doi.org/10.3354/meps07661,2008,oct,Inter-Research Science Center,375,NA,97--109,Marine Ecology Progress Series,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2008,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andreetta_et_al_2014,Andreetta_et_al_2014_article,synthesis source,Article,Mangrove carbon sink. Do burrowing crabs contribute to sediment carbon storage? Evidence from a Kenyan mangrove system,Anna Andreetta and Marco Fusi and Irene Cameldi and Filippo Ci ò and Stefano Carnicelli and Stefano Cannicci,NA,10.1016/j.seares.2013.08.010,https://doi.org/10.1016/j.seares.2013.08.010,2014,jan,Elsevier {BV},85,NA,524--533,Journal of Sea Research,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andreetta_et_al_2014,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andreetta_et_al_2016,Andreetta_et_al_2016_article,synthesis source,Article,Land use changes affecting soil organic carbon storage along a mangrove swamp rice chronosequence in the Cacheu and Oio regions (northern Guinea-Bissau),Anna Andreetta and Antonio Delgado Huertas and Matteo Lotti and Streng Cerise,NA,10.1016/j.agee.2015.10.017,https://doi.org/10.1016/j.agee.2015.10.017,2016,jan,Elsevier {BV},216,NA,314--321,"Agriculture, Ecosystems {\&} Environment",NA,NA,NA,NA,NA,NA,NA,NA,NA
Andreetta_et_al_2016,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashton_and_Macintosh_2002,Ashton_and_Macintosh_2002_article,synthesis source,Article,"Preliminary assessment of the plant diversity and community ecology of the Sematan mangrove forest, Sarawak, Malaysia","Ashton, Elizabeth C and Macintosh, Donald J",NA,NA,NA,2002,NA,NA,166,NA,NA,Forest Ecology and Management,NA,NA,NA,NA,NA,NA,NA,NA,NA
