Study ID,Reference,Remarks
Alongi et al. (2005),"Alongi, D. et al. Rapid sediment accumulation and microbial mineralization in forests of the mangrove Kandelia candel in the Jiulongjiang Estuary, China. Estuar. Coast. Shelf Sci. 63, 605-618 (2005).",
Alongi et al. (2008),"Alongi, D. M. et al. Growth and development of mangrove forests overlying smothered coral reefs, Sulawesi and Sumatra, Indonesia. Mar. Ecol. Prog. Ser. 370, 97-109 (2008).",
Alongi et al. (2012),"Alongi, D. M. et al. Uncoupled surface and below-ground soil respiration in mangroves: implications for estimates of dissolved inorganic carbon export. Biogeochemistry 109, 151-162 (2012).",
Rovai et al. (2018),"Rovai, A. S., Twilley, R. R., Castañeda-Moya, E., Riul, P., Cifuentes-Jara, M., Manrow-Villalobos, M., ... & Pagliosa, P. R. Global controls on carbon storage in mangrove soils. Nat. Clim. Chang., 8(6), 534 (2018.",
Andreetta et al. (2014),"Andreetta, A. et al. Mangrove carbon sink. Do burrowing crabs contribute to sediment carbon storage? Evidence from a Kenyan mangrove system. J. Sea Res. 85, 524-533 (2014).",
Andreetta et al. (2016),"Andreetta, A. et al. Land use changes affecting soil organic carbon storage along a mangrove swamp rice chronosequence in the Cacheu and Oio regions (northern Guinea-Bissau). Agric. Ecosyst. Environ. 216, 314-321 (2016).",
Arianto et al. (2015),"Arianto, C. I. et al. Soil carbon storage in dominant species of Mangrove Forest of Sarawak, Malaysia. J. Phys. Sci. 10, 210-214 (2015).",
Ashton & Macintosh (2002),"Ashton, E. C. & Macintosh, D. J. Preliminary assessment of the plant diversity and community ecology of the Sematan mangrove forest, Sarawak, Malaysia. For. Ecol. Manag. 166, 111-129, doi:10.1016/S0378-1127(01)00673-9 (2002).",
Bai unpublished,"Bai, L. The colour of mud: blue carbon storage in Darwin Harbour. Charles Darwin University: Darwin, Australia, (2012).",
Balk et al. (2015),"Balk, M. et al. Nitrate ammonification in mangrove soils: a hidden source of nitrite? Front. Microbiol. 6, 1-10, doi:10.3389/fmicb.2015.00166 (2015).",
Bao et al. (2013),"Bao, H. et al. Impact of the conversion of mangroves into aquaculture ponds on the sedimentary organic matter composition in a tidal flat estuary (Hainan Island, China). Cont. Shelf Res. 57, 82-91, doi:10.1016/j.csr.2012.06.016 (2013).",
Barreto et al. (2016),"Barreto, M. B. et al. Soil organic carbon of mangrove forests (Rhizophora and Avicennia) of the Venezuelan Caribbean coast. Org. Geochem. 100, 51-61, doi:10.1016/j.orggeochem.2016.08.002 (2016).",
Bharathkumar et al. (2008),"Bharathkumar, S. et al. Characterization of the predominant bacterial population of different mangrove rhizosphere soils using 16S rRNA gene-based single-strand conformation polymorphism (SSCP). World J. Microbiol. Biotechnol. 24, 387-394, doi:10.1007/s11274-007-9487-3 (2008).",
Bhomia et al. (2016),"Bhomia, R. K. et al. Ecosystem carbon stocks of mangrove forests along the Pacific and Caribbean coasts of Honduras. Wetl. Ecol. Manag. 24, 187-201, doi:10.1007/s11273-016-9483-1 (2016).",
Bianchi et al. (2013),"Bianchi, T. S. et al. Historical reconstruction of mangrove expansion in the Gulf of Mexico: Linking climate change with carbon sequestration in coastal wetlands. Estuar. Coast. Shelf Sci. 119, 7-16, doi:10.1016/j.ecss.2012.12.007 (2013).",
Bouillon and Boschker (2006),"Bouillon, S. & Boschker, H. T. S. Bacterial carbon sources in coastal sediments: a cross-system analysis based on stable isotope data of biomarkers. Biogeosciences 3, 175-185, doi:10.5194/bg-3-175-2006 (2006).",
Bouillon et al. (2003) in Jardine and Siikamaki (2014),"Bouillon, S. et al. Sources of organic carbon in mangrove sediments: variability and possible ecological implications. Hydrobiologia 495, 33-39, doi:10.1023/a:1025411506526 (2003).",
Breithaupt et al. (2014),"Breithaupt, J. L. et al. Temporal variability of carbon and nutrient burial, sediment accretion, and mass accumulation over the past century in a carbonate platform mangrove forest of the Florida Everglades. J. Geophys. Res. Biogeosci. 119, 2032-2048, doi:10.1002/2014jg002715 (2014).",
Brunskill et al. (2001),"Brunskill, G. J. et al. Geochemistry and particle size of surface sediments of Exmouth Gulf, Northwest Shelf, Australia. Cont. Shelf Res. 21, 157-201, doi:10.1016/S0278-4343(00)00076-5 (2001).",
Brunskill et al. (2002),"Brunskill, G. J. et al. Carbon burial rates in sediments and a carbon mass balance for the Herbert River region of the Great Barrier Reef continental shelf, North Queensland, Australia. Estuar. Coast. Shelf Sci. 54, 677-700, doi:10.1006/ecss.2001.0852 (2002).",
Brunskill et al. (2004),"Brunskill, G. J. et al. Sediment and trace element depositional history from the Ajkwa River estuarine mangroves of Irian Jaya (West Papua), Indonesia. Cont. Shelf Res. 24, 2535-2551, doi:10.1016/j.csr.2004.07.024 (2004).",
Bulmer et al (2015),"Bulmer, R. H. et al. Sediment CO2 efflux from cleared and intact temperate mangroves and tidal flats. Biogeosciences 12, 6169–6180 (2015).",
Cahoon & Lynch (1997),"Cahoon, D. R. & Lynch, J. C. Vertical accretion and shallow subsidence in a mangrove forest of southwestern Florida, U.S.A. Mangroves Salt Marshes 1, 173-186, doi:10.1023/A:1009904816246 (1997).",
Callaway et al. (1997),"Callaway, J. C. et al. Sediment Accretion Rates from Four Coastal Wetlands along the Gulf of Mexico. J. Coast. Res. 13, 181-191 (1997).",
Cardona and Botero (1998),"Cardona, P. & Botero, L. Soil characteristics and vegetation structure in a heavily deteriorated mangrove forest in the Caribbean coast of Colombia. Biotropica 30, 24-34, doi:10.1111/j.1744-7429.1998.tb00366.x (1998).",
Castaneda-Moya et al. (2013),"Castañeda-Moya, E. et al. Allocation of biomass and net primary productivity of mangrove forests along environmental gradients in the Florida Coastal Everglades, USA. For. Ecol. Manag. 307, 226-241, doi:10.1016/j.foreco.2013.07.011 (2013).",
Chakraborty et al. (2014),"Chakraborty, P. et al. Kinetic speciation and bioavailability of copper and nickel in mangrove sediments. Mar. Pollut. Bull. 88, 224-230, doi:10.1016/j.marpolbul.2014.08.040 (2014).",
Chambers et al. (2014),"Chambers, L. G. et al. Biogeochemical effects of simulated sea level rise on carbon loss in an Everglades mangrove peat soil. Hydrobiologia 726, 195-211, doi:10.1007/s10750-013-1764-6 (2014).",
Chanda et al. (2014),"Chanda, A. et al. Measuring daytime CO2 fluxes from the inter-tidal mangrove soils of Indian Sundarbans. Environ. Earth Sci. 72, 417-427, doi:10.1007/s12665-013-2962-2 (2014).",
Chatterjee et al. (2009),"Chatterjee, M. et al. An assessment of trace element contamination in intertidal sediment cores of Sunderban mangrove wetland, India for evaluating sediment quality guidelines. Environ. Monit. Assess. 150, 307-322, doi:10.1007/s10661-008-0232-7 (2008).",
Chen et al. (2012),"Chen, G. C. et al. Spatial and seasonal variations of atmospheric N2O and CO2 fluxes from a subtropical mangrove swamp and their relationships with soil characteristics. Soil Biol. Biochem. 48, 175-181, doi:10.1016/j.soilbio.2012.01.029 (2012).",
Chen et al. (2014),"Chen, G. C. et al. Rich soil carbon and nitrogen but low atmospheric greenhouse gas fluxes from North Sulawesi mangrove swamps in Indonesia. Sci. Total Environ. 487, 91-96, doi:10.1016/j.scitotenv.2014.03.140 (2014).",
Chen et al. (2018),"Chen, S. et al. Ecosystem carbon stock of a tropical mangrove forest in North Sulawesi, Indonesia. Acta Oceanologica Sinica 37, 85-91, doi:10.1007/s13131-018-1290-5 (2018).",
Cormier et al. (2015),"Cormier, N. et al. Fine root productivity varies along nitrogen and phosphorus gradients in high-rainfall mangrove forests of Micronesia. Hydrobiologia 750, 69-87, doi:10.1007/s10750-015-2178-4 (2015).",
Coronado-Molina et al. 2012,"Coronado-Molina, C. et al. Litterfall dynamics in carbonate and deltaic mangrove ecosystems in the Gulf of Mexico. Wetland Ecology and Management 20, 123-136, doi:10.1007/s11273-012-9249-3 (2012).",
Day et al. 1996,"Day, J. W. et al. A 7 year record of above-ground net primary production in a southeastern Mexican mangrove forest. Aquat. Bot. 55, 39-60, doi:10.1016/0304-3770(96)01063-7 (1996).",
Deborde et al. (2015),"Deborde, J. et al. Concentrations and fractionation of carbon, iron, sulfur, nitrogen and phosphorus in mangrove sediments along an intertidal gradient (semi-arid climate, New Caledonia). J. Mar. Sci. Eng. 3, 52-72 (2015).",
Delvecchia et al. (2014),"DelVecchia, A. G. et al. Organic carbon inventories in natural and restored Ecuadorian mangrove forests. Peer J 2, e388, doi:10.7717/peerj.388 (2014).",
Dominguez et al. (2010),"Domínguez, C. et al. Quantification and Source Identification of Polycyclic Aromatic Hydrocarbons in Core Sediments from Sundarban Mangrove Wetland, India. Arch. Environ. Contam. Toxicol. 59, 49-61, doi:10.1007/s00244-009-9444-2 (2010).",
Donato et al. (2011),"Donato, D. C. et al. Mangroves among the most carbon-rich forests in the tropics. Nat. Geosci. 4, 293-297, doi:10.1038/ngeo1123 (2011).",
Donato et al. (2012),"Donato, D. C. et al. Whole-island carbon stocks in the tropical Pacific: Implications for mangrove conservation and upland restoration. J. Environ. Manag. 97, 89-96, doi:10.1016/j.jenvman.2011.12.004 (2012).",
Doughty et al. (2015),"Doughty, C. L. et al. Mangrove range expansion rapidly increases coastal wetland carbon storage. Estuar. Coast. 39, 385-396, doi:10.1007/s12237-015-9993-8 (2016).",
Dung et al. 2016,"Dung, L. V. et al. Carbon storage in a restored mangrove forest in Can Gio Mangrove Forest Park, Mekong Delta, Vietnam. For. Ecol. Manag. 380, 31-40, doi:10.1016/j.foreco.2016.08.032 (2016).",
Eid & Shaltout (2015),"Eid, E. M. & Shaltout, K. H. Distribution of soil organic carbon in the mangrove Avicennia marina (Forssk.) Vierh. along the Egyptian Red Sea Coast. Reg. Stud. Mar. Sci. 3, 76-82, doi:10.1016/j.rsma.2015.05.006 (2016).",
Ezcurra et al. 2016,"Ezcurra, P. et al. Coastal landforms and accumulation of mangrove peat increase carbon sequestration and storage. Proc. Natl. Acad. Sci. 113, 4404-4409, doi:10.1073/pnas.1519774113 (2016).",
Fan et al. (2012),"Fan, L.-F. et al. Effect of sulfate availability on the isotopic signature of reduced sulfurous compounds in the sediments of a subtropical estuary. Wetlands 32, 907-917, doi:10.1007/s13157-012-0323-7 (2012).",
Fernandes et al. (2014),"Fernandes, M. C. et al. Depositional environment of mudflats and mangroves and bioavailability of selected metals within mudflats in a tropical estuary. Environ. Earth Sci. 72, 1861-1875, doi:10.1007/s12665-014-3095-y (2014).",
Fernandes et al. 2011,"Fernandes, L. et al. Accumulation of sediment, organic matter and trace metals with space and time, in a creek along Mumbai coast, India. Estuar. Coast. Shelf Sci. 91, 388-399, doi:10.1016/j.ecss.2010.11.002 (2011).",
Ferreira et al. (2010),"Ferreira, T. O. et al. Spatial patterns of soil attributes and components in a mangrove system in Southeast Brazil (São Paulo). J. Soils Sediments 10, 995-1006, doi:10.1007/s11368-010-0224-4 (2010).",
Fujimoto et al. (1999),"Fujimoto, K. et al. Belowground carbon storage of Micronesian mangrove forests. Ecol. Res. 14, 409-413, doi:10.1046/j.1440-1703.1999.00313.x (1999).",
Genthner et al. (2013),"Genthner, F. J. et al. Relationships among habitat quality and measured condition variables in Gulf of Mexico mangroves. Wetl. Ecol. Manag. 21, 173-191, doi:10.1007/s11273-013-9289-3 (2013).",
Giani et al. (1996),"Giani, L. et al. Characteristics and methanogenesis of the Balandra lagoon mangrove soils, Baja California Sur, Mexico. Geoderma 72, 149-160, doi:10.1016/0016-7061(96)00023-7 (1996).",
Gonnea et al. (2004),"Gonneea, M. E. et al. Tracing organic matter sources and carbon burial in mangrove sediments over the past 160 years. Estuar. Coast. Shelf Sci. 61, 211-227, doi:10.1016/j.ecss.2004.04.015 (2004).",
Grellier et al. 2017,"Grellier, S. et al. Changes in soil characteristics and C dynamics after mangrove clearing (Vietnam). Sci. Total Environ. 593-594, 654-663, doi:10.1016/j.scitotenv.2017.03.204 (2017).",
Gress et al. (2016),"Gress, S. K. et al. Evaluating, predicting and mapping belowground carbon stores in Kenyan mangroves. Glob. Change Biol. 23, 224-234, doi:10.1111/gcb.13438 (2017).",
Gutierrez et al. 2016,"Gutierrez, J. C. S. et al. Comparison of the mangrove soil with different levels of disturbance in tropical Agua Brava Lagoon, Mexican pacific. Appl. Ecol. Environ. Res. 14, 45-57 (2016).",
He et al. 2017 ,"He, Q. et al. Carbon storage and distribution of mangroves at Qinzhou bay. Journal of Central South University of Forestry & Technology 11, 121-126 (2017).",
Hemati et al. (2015),"Hemati, Z. et al. Rate of carbon storage in soil of natural and degraded mangrove forest in Peninsular Malaysia. Clean Soil Air Water 43, 614-619, doi:10.1002/clen.201400034 (2015).",
Hemminga et al. (1994),"Hemminga, M. A. et al. Carbon outwelling from a mangrove forest with adjacent seagrass beds and coral reefs (Gazi Bay, Kenya). Mar. Ecol. Prog. Ser. 106, 291-301 (1994).",
Henry and Twilley (2013),"Henry, K. M. & Twilley, R. R. Soil development in a coastal Louisiana wetland during a climate-induced vegetation shift from salt marsh to mangrove. J. Coast. Res. 29, 1273-1283, doi:10.2112/jcoastres-d-12-00184.1 (2013).",
Higashi & Shinagawa (1985),"Higashi, T. & Shinagawa, A. Soils of a mangrove forest composed of Rhizophora mucronata and Bruguiera gymnorrhiza from Ishigaki Island, Japan. Soil Sci. Plant Nutr. 31, 427-435, doi:10.1080/00380768.1985.10557450 (1985).",
Holmboe et al. (2001),"Holmboe, N. et al. Anoxic decomposition in sediments from a tropical mangrove forest and the temperate Wadden Sea: Implications of N and P addition experiments. Estuar. Coast. Shelf Sci. 53, 125-140, doi:10.1006/ecss.2000.0794 (2001).",
Hoppe-Speer & Adams (2015),"Hoppe-Speer, S. C. L. & Adams, J. B. Cattle browsing impacts on stunted Avicennia marina mangrove trees. Aquat. Bot. 121, 9-15, doi:10.1016/j.aquabot.2014.10.010 (2015).",
Hoppe-Speer et al. (2013),"Hoppe-Speer, S. C. L. et al. Response of mangroves to drought and non-tidal conditions in St Lucia Estuary, South Africa. African J. Aquat. Sciences 38, 153-162, doi:10.2989/16085914.2012.759095 (2013).",
Hossain (2014),"Hossain, M. Carbon pools and fluxes in Bruguiera parviflora dominated naturally growing mangrove forest of Peninsular Malaysia. Wetl. Ecol. Manag. 22, 15-23, doi:10.1007/s11273-013-9318-2 (2014).",
Howe et al. (2009),"Howe, A. J. et al. Surface evolution and carbon sequestration in disturbed and undisturbed wetland soils of the Hunter estuary, southeast Australia. Estuar. Coast. Shelf Sci. 84, 75-83, doi:10.1016/j.ecss.2009.06.006 (2009).",
Jardine et al. (2014),"Jardine, S. L. & Siikamäki, J. V. A global predictive model of carbon in mangrove soils. Environ. Res. Lett. 9, 104013, doi:10.1088/1748-9326/9/10/104013 (2014).",
Jennerjahn et al (2002) in Kristensen et al (2008),"Jennerjahn, T. C. & Ittekkot, V. Relevance of mangroves for the production and deposition of organic matter along tropical continental margins. Naturwissenschaften 89, 23-30, doi:10.1007/s00114-001-0283-x (2002).",
Jennerjahn et al. (2004),"Jennerjahn, T. C. et al. Biogeochemistry of a tropical river affected by human activities in its catchment: Brantas River estuary and coastal waters of Madura Strait, Java, Indonesia. Estuar. Coast. Shelf Sci. 60, 503-514, doi:10.1016/j.ecss.2004.02.008 (2004).",
Jones et al. (2014),"Jones, T. G. et al. Ecological variability and carbon stock estimates of mangrove ecosystems in Northwestern Madagascar. Forests 5, 177-205 (2014).",
Kao et al. (2002),"Kao, W. Y. et al. Nutrient contents, d13C and d15N during leaf senescence in the mangrove, Kandelia candel (L.) Druce. Bot. Bull. Acad. Sin. 43, 277-282 (2002).",
Kathiresan et al. (2014),"Kathiresan, K. et al. Impact of mangrove vegetation on seasonal carbon burial and other sediment characteristics in the Vellar-Coleroon estuary, India. J. For. Res. 25, 787-794, doi:10.1007/s11676-014-0526-2 (2014).",
Kauffman et al (2014),"Kauffman, J. B. et al. Carbon stocks of intact mangroves and carbon emissions arising from their conversion in the Dominican Republic. Ecol. Appl. 24, 518-527, doi:10.1890/13-0640.1 (2014).",
Kauffman et al. (2011),"Kauffman, J. B. et al. Ecosystem carbon stocks of Micronesian mangrove forests. Wetlands 31, 343-352, doi:10.1007/s13157-011-0148-9 (2011).",
Kauffman et al. (2016),"Kauffman, J. B. et al. Carbon stocks of mangroves and losses arising from their conversion to cattle pastures in the Pantanos de Centla, Mexico. Wetl. Ecol. Manag. 24, 203-216, doi:10.1007/s11273-015-9453-z (2016).",
Kelleway unpublished data,,data from Atwood et al. (2017)
Kennedy et al. (2004),"Kennedy, H. et al. Organic carbon sources to SE Asian coastal sediments. Estuar. Coast. Shelf Sci. 60, 59-68, doi:10.1016/j.ecss.2003.11.019 (2004).",
Keuskamp et al. (2015),"Keuskamp, J. A. et al. Short- and long-term effects of nutrient enrichment on microbial exoenzyme activity in mangrove peat. Soil Biol. Biochem. 81, 38-47, doi:10.1016/j.soilbio.2014.11.003 (2015).",
Khan et al. (2007),"Khan, M. N. I. et al. Carbon and nitrogen pools in a mangrove stand of Kandelia obovata (S., L.) Yong: vertical distribution in the soil–vegetation system. Wetl. Ecol. Manag. 15, 141-153, doi:10.1007/s11273-006-9020-8 (2007).",
Koch and Madden (2001),"Koch, M. S. & Madden, C. J. Patterns of primary production and nutrient availability in a Bahamas lagoon with fringing mangroves. Mar. Ecol. Prog. Ser. 219, 109-119 (2001).",
Koch et al. (2005),"Koch, B. P. et al. The effect of selective microbial degradation on the composition of mangrove derived pentacyclic triterpenols in surface sediments. Org. Geochem. 36, 273-285, doi:10.1016/j.orggeochem.2004.07.019 (2005).",
Kristensen et al. (1992),"Kristensen, E. et al. Preliminary study of benthic metabolism and sulfate reduction in a mangrove swamp of the Indus Delta, Pakistan. Mar. Ecol. Prog. Ser. 90, 287-297 (1992).",
Kristensen et al. (2000),"Kristensen, E. et al. Carbon and nitrogen mineralization in sediments of the Bangrong mangrove area, Phuket, Thailand. Aquat. Microb. Ecol. 22, 199-213 (2000).",
Kristensen et al. (2008a),"Kristensen, E. et al. Organic carbon dynamics in mangrove ecosystems: A review. Aquat. Bot. 89, 201-219, doi:10.1016/j.aquabot.2007.12.005 (2008a).",
Kristensen et al. (2008),"Kristensen, E. et al. Emission of CO2 and CH4 to the atmosphere by sediments and open waters in two Tanzanian mangrove forests. Mar. Ecol. Prog. Ser.",
Kusumaningtyas et al. (2019),"Kusumaningtyas, M. A. et al. Variability in the organic carbon stocks, sources, and accumulation rates of Indonesian mangrove ecosystems. Estuar. Coast. Shelf Sci. 218, 310-323, doi:10.1016/j.ecss.2018.12.007 (2019).",
Lacerda et al.( 1995),"Lacerda, L. D. et al. Biogeochemistry of mangrove soil organic matter: a comparison between Rhizophora and Avicennia soils in south-eastern Brazil. Estuar. Coast. Shelf Sci. 40, 713-720, doi:10.1006/ecss.1995.0048 (1995).",
Lallier-Verges et al. (1998),"Lallier-Verges, E. et al. Relationships between environmental conditions and the diagenetic evolution of organic matter derived from higher plants in a modern mangrove swamp system (Guadeloupe, French West Indies). Org. Geochem. 29, 1663-1686, doi:10.1016/S0146-6380(98)00179-X (1998).",
Leopold et al. (2015),"Leopold, A. et al. Temporal variability of CO2 fluxes at the sediment-air interface in mangroves (New Caledonia). Sci. Total Environ. 502, 617-626, doi:10.1016/j.scitotenv.2014.09.066 (2015).",
Liao et al. 2013 ,"Liao, X. et al. Distribution pattern of soil organic carbon contents in the coastal wetlands in eastern Fujian. Wet. Sci. 11, 192-197 (2013).",
Liu et al. 2014 ,"Liu, H. et al. Carbon stocks and potential carbon storage in the mangrove forests of China. J. Environ. Manag. 133, 86-93, doi:10.1016/j.jenvman.2013.11.037 (2014).",
Livesly & Andrusiak (2012),"Livesley, S. J. & Andrusiak, S. M. Temperate mangrove and salt marsh sediments are a small methane and nitrous oxide source but important carbon store. Estuar. Coast. Shelf Sci. 97, 19-27, doi:10.1016/j.ecss.2011.11.002 (2012).",
Lovelock et al. (2005),"Lovelock, C. E. et al. Variation in mangrove forest structure and sediment characteristics in Bocas del Toro, Panama. Caribb. J. Sci. 41, 456-464 (2005).",
Lovelock et al. (2010),"Lovelock, C. E. et al. Mangrove forest and soil development on a rapidly accreting shore in New Zealand. Ecosystems 13, 437-451, doi:10.1007/s10021-010-9329-2 (2010).",
Lovelock et al. unpublished data,,data from Atwood et al. (2017)
Lu et al. (2014),"Lu, W. et al. Changes in Carbon Pool and Stand Structure of a Native Subtropical Mangrove Forest after Inter-Planting with Exotic Species Sonneratia apetala. PLoS One 9, e91238, doi:10.1371/journal.pone.0091238 (2014).",
Lunstrum & Chen (2014),"Lunstrum, A. & Chen, L. Soil carbon stocks and accumulation in young mangrove forests. Soil Biol. Biochem. 75, 223-232, doi:10.1016/j.soilbio.2014.04.008 (2014).",
Luo & Gu (2015),"Luo, L. & Gu, J.-D. Seasonal variability of extracellular enzymes involved in carbon mineralization in sediment of a subtropical mangrove wetland. Geomicrobiol. J. 32, 68-76, doi:10.1080/01490451.2014.925012 (2015).",
Lupembe 2014,"Lupembe, I. N. Carbon stocks in the mangrove ecosystem of Rufiji river delta, Rufiji District, Tanzania. , Sokoine University of Agriculture, (2014).",
Lyimo et al. (2002),"Lyimo, T. J. et al. Methane emission, sulphide concentration and redox potential profiles in Mtoni mangrove sediment, Tanzania. West. Indian Ocean J. Mar. Sci. 1, 71–80 (2002).",
Machiwa (1998),"Machiwa, J. F. Distribution and remineralization of organic carbon in sediments of a mangroves stand partly contaminated with sewage waste. Ambio 27, 740–744 (1998).",
MacKenzie et al. 2016,"MacKenzie, R. A. et al. Sedimentation and belowground carbon accumulation rates in mangrove forests that differ in diversity and land use: a tale of two mangroves. Wetl. Ecol. Manag. 24, 245-261, doi:10.1007/s11273-016-9481-3 (2016).",
Macreadie et al. unpublished data,,data from Atwood et al. (2017)
Madkour et al. (2014),"Madkour, H. A. et al. Environmental texture and geochemistry of the sediments of a subtropical mangrove ecosystem and surrounding areas, Red Sea Coast, Egypt. Arab J. Geosci. 7, 3427-3440, doi:10.1007/s12517-013-0977-3 (2014).",
Mao et al. 2011 ,"Mao, Z. et al. Effect of invasion plants (Mikania micrantha H.B.K.) on carbon stock of mangrove ecosystem in Shenzhen bay. Ecology and Environmental Sciences 20, 1813-1818 (2011).",
Marchand 2017,"Marchand, C. Soil carbon stocks and burial rates along a mangrove forest chronosequence (French Guiana). For. Ecol. Manag. 384, 92-99, doi:10.1016/j.foreco.2016.10.030 (2017).",
Marchand et al. (2003),"Marchand, C. et al. The composition of sedimentary organic matter in relation to the dynamic features of a mangrove-fringed coast in French Guiana. Estuar. Coast. Shelf Sci. 56, 119-130, doi:10.1016/S0272-7714(02)00134-8 (2003).",
Marchand et al. (2004),"Marchand, C. et al. Pore-water chemistry in mangrove sediments: relationship with species composition and developmental stages (French Guiana). Mar. Geol. 208, 361-381, doi:10.1016/j.margeo.2004.04.015 (2004).",
Marchand et al. (2005),"Marchand, C. et al. Early diagenesis of carbohydrates and lignin in mangrove sediments subject to variable redox conditions (French Guiana). Geochim. Cosmochim. Acta 69, 131-142, doi:10.1016/j.gca.2004.06.016 (2005).",
Marchand et al. (2008),"Marchand, C. et al. Organic carbon sources and transformations in mangrove sediments: A Rock-Eval pyrolysis approach. Org. Geochem. 39, 408-421, doi:10.1016/j.orggeochem.2008.01.018 (2008).",
Marchio et al. 2016,"Marchio, D. A. et al. Carbon sequestration and sedimentation in mangrove swamps influenced by hydrogeomorphic conditions and urbanization in Southwest Florida. Forests 7, 1-18 (2016).",
Marchland et al. (2011),"Marchand, C. et al. Relationships between heavy metals distribution and organic matter cycling in mangrove sediments (Conception Bay, New Caledonia). Geoderma 160, 444-456, doi:10.1016/j.geoderma.2010.10.015 (2011).",
Matsui (1998),"Matsui, N. J. M. & Marshes, S. Estimated stocks of organic carbon in mangrove roots and sediments in Hinchinbrook Channel, Australia. Mangroves Salt Marshes 2, 199-204, doi:10.1023/a:1009959909208 (1998).",
Mchenga et al. (2008),"McHenga, I. S. S. & Tsuchiya, M. Nutrient dynamics in mangrove crab burrow sediments subjected to anthropogenic input. J. Sea Res. 59, 103-113, doi:10.1016/j.seares.2007.06.005 (2008).",
McKee et al. (2002),"McKee, K. L. Mangrove isotopic (d15N and d13C) fractionation across a nitrogen vs. phosphorus limitation gradient. Ecology 83, 1065-1075 (2002).",
Mehlig et al. 2010,"Mehlig, U., Menezes, M. P. M., Reise, A., Schories, D. & Medina, E. . in Mangrove Dynamics and Management in North Brazil",
Meng et al. 2019,"Meng, W. et al. The spatial distribution of blue carbon in the coastal wetlands of China. Estuar. Coast. Shelf Sci. 222, 13-20, doi:10.1016/j.ecss.2019.03.010 (2019).",
Mfilinge et al. (2002),"Mfilinge, P. et al. Nutrient dynamics and leaf litter decomposition in a subtropical mangrove forest at Oura Bay, Okinawa, Japan. Trees 16, 172-180, doi:10.1007/s00468-001-0156-0 (2002).",
