study_id,core_id,country,core_latitude,core_longitude,latitude_precision,longitude_precision,core_elevation,salinity_code,vegetation_code,inundation_class,core_length_flag,depth_min,depth_max,Holocene_RSLR,carbon_stock (Mg ha-1),corrected_carbon_stock_using_estimated_conversion_factor (Mg ha-1),carbon_stock_final  (Mg ha-1)?,Included_in_previous_compilations?
Arifanti et al. (2019),Muara Berau,Indonesia,-0.351,117.5,3,1,NA,mesohaline,NA,NA,3,0,3,III~V,275,,275,No
Arifanti et al. (2019),Lerong,Indonesia,-0.351,117.52,3,2,NA,mesohaline,NA,NA,3,0,3,III~V,229,,229,No
Arifanti et al. (2019),Rinding,Indonesia,-0.808,117.51,3,2,NA,polyhaline,NA,NA,3,0,3,III~V,311,,311,No
Arifanti et al. (2019),Kanyuran,Indonesia,-0.813,117.52,3,2,NA,polyhaline,NA,NA,3,0,3,III~V,253,,253,No
Arifanti et al. (2019),Banjar,Indonesia,-0.764,117.62,3,2,NA,polyhaline,NA,NA,3,0,3,III~V,518,,518,No
Jacotot et al. (2018),LF2,New Caledonia,-21.7333,165.7833,3,4,0.52-0.69,NA,scrub shrub,dwarf,1.4,0,1.4,III~V,255.48,,255.48,No
Jacotot et al. (2018),LF3,New Caledonia,-21.7333,165.7833,3,4,0.16,NA,forested to shrub,riverine,1.25,0,1.25,III~V,314.57,,314.57,No
Chen et al. (2018)_FEM,12yr forest,China,24.4,117.9016,1,4,NA,mesohaline to polyhaline,NA,fringe,1,0,1,III~V,130,,130,No
Chen et al. (2018)_FEM,24yr forest,China,24.4,117.9016,1,4,NA,mesohaline to polyhaline,NA,fringe,1,0,1,III~V,151,,151,No
Chen et al. (2018)_FEM,48yr forest,China,24.4,117.9016,1,4,NA,mesohaline to polyhaline,NA,fringe,1,0,1,III~V,170,,170,No
Hieu et al. (2017),sc-2 yr forest,Vietnam,19.9269,105.8877,4,4,NA,NA,scrub shrub,dwarf,1.5,0,1.5,III~V,124.2,,124.2,No
Hieu et al. (2017),sc-3 yr forest,Vietnam,19.9269,105.8877,4,4,NA,NA,scrub shrub,dwarf,1.5,0,1.5,III~V,132.2,,132.2,No
Hieu et al. (2017),kb-9 yr forest,Vietnam,19.9269,105.8877,4,4,NA,NA,scrub shrub,interior,1.7,0,1.7,III~V,137.4,,137.4,No
Hieu et al. (2017),kb-19 yr forest,Vietnam,19.9269,105.8877,4,4,NA,NA,scrub shrub,interior,2,0,2,III~V,155.4,,155.4,No
Hieu et al. (2017),kb-27 yr forest,Vietnam,19.9269,105.8877,4,4,NA,NA,scrub shrub,interior,2.3,0,2.3,III~V,161.4,,161.4,No
Adame et al. (2012),Bald Hills,Australia,-27,153,0,0,NA,mixoeuhaline,forested,fringe,0.15,0,0.15,III~V,754.16,,754.16,Yes
Adame et al. (2012),Caboolture,Australia,-27,153,0,0,NA,mixoeuhaline,forested,riverine,0.15,0,0.15,III~V,341.32,,341.32,Yes
Adame et al. (2012),Eprapah,Australia,-27,153,0,0,NA,mixoeuhaline,forested,fringe,0.15,0,0.15,III~V,997.05,,997.05,Yes
Adame et al. (2012),Mooloolah,Australia,-27,153,0,0,NA,mixoeuhaline,forested,riverine,0.15,0,0.15,III~V,601.92,,601.92,Yes
Adame et al. (2012),Nudgee,Australia,-27,153,0,0,NA,mixoeuhaline,forested,fringe,0.15,0,0.15,III~V,973.84,,973.84,Yes
Adame et al. (2012),Tingalpa,Australia,-27,153,0,0,NA,polyhaline,forested,riverine,0.15,0,0.15,III~V,890.4,,890.4,Yes
Allen et al. (2010),Brisbane river-summer,Australia,-27.55,152.9833,2,4,NA,NA,NA,riverine,0.05,0,0.05,III~V,250.88,,250.88,Yes
Allen et al. (2010),Brisbane river-Winter,Australia,-27.55,152.9833,2,4,NA,NA,NA,riverine,0.05,0,0.05,III~V,199.36,,199.36,Yes
Allen et al. (2010),Eastern Bay-summer,Australia,-27.55,152.9833,2,4,NA,NA,NA,fringe,0.05,0,0.05,III~V,233.2,,233.2,Yes
Allen et al. (2010),Eastern Bay-winter,Australia,-27.55,152.9833,2,4,NA,NA,NA,fringe,0.05,0,0.05,III~V,108.64,,108.64,Yes
Allen et al. (2010),Logan River-summer,Australia,-27.55,152.9833,2,4,NA,NA,NA,riverine,0.05,0,0.05,III~V,514.08,,514.08,Yes
Allen et al. (2010),Logan River-winter,Australia,-27.55,152.9833,2,4,NA,NA,NA,riverine,0.05,0,0.05,III~V,515.1,,515.1,Yes
Allen et al. (2010),Western Bay-Winter,Australia,-27.55,152.9833,2,4,NA,NA,NA,fringe,0.05,0,0.05,III~V,339.12,,339.12,Yes
Alongi (1996),Creek bank1,Australia,-18.2167,146.1833,4,4,0,NA,NA,riverine,0.2,0,0.2,III~V,250.2509269,,250.250927,Yes
Alongi (1996),Creek bank3,Australia,-18.2167,146.1833,4,4,0,NA,NA,riverine,0.2,0,0.2,III~V,266.9478329,,266.947833,Yes
Alongi (1996),high1,Australia,-18.2167,146.1833,4,4,1.2,NA,NA,fringe,0.2,0,0.2,III~V,415.8244117,,415.824412,Yes
Alongi (1996),high2,Australia,-18.2167,146.1833,4,4,1.2,NA,NA,fringe,0.2,0,0.2,III~V,438.6221951,,438.622195,Yes
Alongi (1996),high3,Australia,-18.2167,146.1833,4,4,1.2,NA,NA,fringe,0.2,0,0.2,III~V,424.1167124,,424.116712,Yes
Alongi (1996),low1,Australia,-18.2167,146.1833,4,4,0.2,NA,NA,fringe,0.2,0,0.2,III~V,302.127233,,302.127233,Yes
Alongi (1996),low2,Australia,-18.2167,146.1833,4,4,0.2,NA,NA,fringe,0.2,0,0.2,III~V,292.5365488,,292.536549,Yes
Alongi (1996),low3,Australia,-18.2167,146.1833,4,4,0.2,NA,NA,fringe,0.2,0,0.2,III~V,313.6767973,,313.676797,Yes
Alongi (1996),mid1,Australia,-18.2167,146.1833,4,4,0.9,NA,NA,fringe,0.2,0,0.2,III~V,438.6221951,,438.622195,Yes
Alongi (1996),mid2,Australia,-18.2167,146.1833,4,4,0.9,NA,NA,fringe,0.2,0,0.2,III~V,433.8445426,,433.844543,Yes
Alongi (1996),mid3,Australia,-18.2167,146.1833,4,4,0.9,NA,NA,fringe,0.2,0,0.2,III~V,400.4356527,,400.435653,Yes
Alongi et al. (2000),BR1,Australia,-21.967,113.95,3,2,NA,NA,NA,fringe,0.8,0,0.8,III~V,335.73,,335.73,Yes
Alongi et al. (2000),D1,Australia,-20.717,116.617,3,3,NA,NA,NA,fringe,1,0,1,III~V,234.02,,234.02,Yes
Alongi et al. (2000),D2,Australia,-20.717,116.617,3,3,NA,NA,NA,fringe,1,0,1,III~V,123.857,,123.857,Yes
Alongi et al. (2000),MB1,Australia,-21.967,113.95,3,2,NA,NA,NA,fringe,0.8,0,0.8,III~V,307.97,,307.97,Yes
Alongi et al. (2000),PH1,Australia,-20.3833,118.617,4,3,NA,NA,NA,fringe,0.7,0,0.7,III~V,178.55,,178.55,Yes
Alongi et al. (2000),PH2,Australia,-20.3833,118.617,4,3,NA,NA,NA,interior,0.7,0,0.7,III~V,193.47,,193.47,Yes
Bai unpublished,Darwin Harbour2,Australia,-12.5167,130.8333,4,4,NA,NA,NA,NA,NA,NA,NA,III~V,263.9,,263.9,Yes
Bai unpublished,Darwin Harbour4,Australia,-12.5167,130.8333,4,4,NA,NA,NA,NA,NA,NA,NA,III~V,229.5,,229.5,Yes
Bai unpublished,Darwin Harbour6,Australia,-12.5167,130.8333,4,4,NA,NA,NA,NA,NA,NA,NA,III~V,149.9,,149.9,Yes
Bai unpublished,Darwin Harbour8,Australia,-12.5167,130.8333,4,4,NA,NA,NA,NA,NA,NA,NA,III~V,175.7,,175.7,Yes
Brunskill et al. (2001),1140,Australia,-22.07,114.55,2,2,NA,NA,NA,fringe,NA,0,NA,III~V,152.6719366,,152.671937,Yes
Brunskill et al. (2001),1141,Australia,-22.06,114.55,2,2,NA,NA,NA,fringe,NA,0,NA,III~V,126.9190704,,126.91907,Yes
Brunskill et al. (2001),1142,Australia,-22.06,114.55,2,2,NA,NA,NA,fringe,NA,0,NA,III~V,65.63565634,,65.6356563,Yes
Brunskill et al. (2001),1143,Australia,-22.06,114.54,2,2,NA,NA,NA,fringe,NA,0,NA,III~V,64.17523307,,64.1752331,Yes
Brunskill et al. (2001),1144,Australia,-22.06,114.54,2,2,NA,NA,NA,fringe,NA,0,NA,III~V,123.2946367,,123.294637,Yes
Brunskill et al. (2001),1145,Australia,-22.06,114.54,2,2,NA,NA,NA,fringe,NA,0,NA,III~V,146.0728582,,146.072858,Yes
Brunskill et al. (2001),1147,Australia,-22.32,114.31,2,2,NA,NA,NA,fringe,NA,0,NA,III~V,122.5560086,,122.556009,Yes
Brunskill et al. (2001),1148,Australia,-22.43,114.31,2,2,NA,NA,NA,fringe,NA,0,NA,III~V,57.93995119,,57.9399512,Yes
Brunskill et al. (2001),1151,Australia,-22.5,114.43,1,2,NA,NA,NA,fringe,NA,0,NA,III~V,88.69793994,,88.6979399,Yes
Brunskill et al. (2001),1153,Australia,-22.24,114.14,2,2,NA,NA,NA,fringe,NA,0,NA,III~V,78.67758598,,78.677586,Yes
Brunskill et al. (2001),1160,Australia,-22.12,114.52,2,2,NA,NA,NA,fringe,NA,0,NA,III~V,99.50405947,,99.5040595,Yes
Brunskill et al. (2002),582,Australia,-18.5,146.25,1,2,NA,NA,NA,NA,>0.2,0,>0.2,III~V,220.54,,220.54,Yes
Brunskill et al. (2002),584,Australia,-18.5,146.25,1,2,NA,NA,NA,NA,>0.2,0,>0.2,III~V,354.63,,354.63,Yes
Brunskill et al. (2002),586,Australia,-18.5,146.25,1,2,NA,NA,NA,NA,>0.2,0,>0.2,III~V,241.59,,241.59,Yes
Howe et al. (2009),ma1-05,Australia,-32.8644,151.7042,4,4,NA,NA,NA,NA,0.2,0,0.2,III~V,230.48,,230.48,Yes
Howe et al. (2009),ma1-06,Australia,-32.8644,151.7042,4,4,NA,NA,NA,NA,0.2,0,0.2,III~V,213,,213,Yes
Howe et al. (2009),ma1-08,Australia,-32.8644,151.7042,4,4,NA,NA,NA,NA,0.2,0,0.2,III~V,361.05,,361.05,Yes
Howe et al. (2009),ma2-05,Australia,-32.8644,151.7042,4,4,NA,NA,NA,NA,0.2,0,0.2,III~V,207.2,,207.2,Yes
Howe et al. (2009),ma2-06,Australia,-32.8644,151.7042,4,4,NA,NA,NA,NA,0.2,0,0.2,III~V,206.51,,206.51,Yes
Howe et al. (2009),ma2-08,Australia,-32.8644,151.7042,4,4,NA,NA,NA,NA,0.2,0,0.2,III~V,201,,201,Yes
Howe et al. (2009),ma3-05,Australia,-32.8644,151.7042,4,4,NA,NA,NA,NA,0.2,0,0.2,III~V,432.96,,432.96,Yes
Howe et al. (2009),ma3-06,Australia,-32.8644,151.7042,4,4,NA,NA,NA,NA,0.2,0,0.2,III~V,375.84,,375.84,Yes
Howe et al. (2009),ma3-08,Australia,-32.8644,151.7042,4,4,NA,NA,NA,NA,0.2,0,0.2,III~V,347,,347,Yes
Howe et al. (2009),ma4-08,Australia,-32.8644,151.7042,4,4,NA,NA,NA,NA,0.2,0,0.2,III~V,441.18,,441.18,Yes
Howe et al. (2009),ma5-08,Australia,-32.8644,151.7042,4,4,NA,NA,NA,NA,0.2,0,0.2,III~V,467.6,,467.6,Yes
Howe et al. (2009),ma6-08,Australia,-32.8644,151.7042,4,4,NA,NA,NA,NA,0.2,0,0.2,III~V,503.5,,503.5,Yes
Kelleway unpublished data,GR1A,Australia,-33.98323,151.009012,5,6,NA,NA,NA,NA,NA,NA,NA,III~V,392.8067701,,392.80677,Yes
Kelleway unpublished data,GR1B,Australia,-33.98335,151.008662,5,6,NA,NA,NA,NA,NA,NA,NA,III~V,254.4289505,,254.428951,Yes
Kelleway unpublished data,GR1C,Australia,-33.98309,151.008512,5,6,NA,NA,NA,NA,NA,NA,NA,III~V,326.8729477,,326.872948,Yes
Kelleway unpublished data,GR2A,Australia,-33.9848,151.008282,4,6,NA,NA,NA,NA,NA,NA,NA,III~V,301.6879037,,301.687904,Yes
Kelleway unpublished data,GR2B,Australia,-33.98443,151.008642,5,6,NA,NA,NA,NA,NA,NA,NA,III~V,322.2986983,,322.298698,Yes
Kelleway unpublished data,GR2C,Australia,-33.98416,151.008602,5,6,NA,NA,NA,NA,NA,NA,NA,III~V,263.8562606,,263.856261,Yes
Kelleway unpublished data,GR3A,Australia,-33.98414,151.009322,5,6,NA,NA,NA,NA,NA,NA,NA,III~V,206.7051928,,206.705193,Yes
Kelleway unpublished data,GR3B,Australia,-33.98405,151.009052,5,6,NA,NA,NA,NA,NA,NA,NA,III~V,180.6893698,,180.68937,Yes
Kelleway unpublished data,GR3C,Australia,-33.983964,151.008804,6,6,NA,NA,NA,NA,NA,NA,NA,III~V,297.0965553,,297.096555,Yes
Kelleway unpublished data,GR4A,Australia,-33.98453,151.010182,5,6,NA,NA,NA,NA,NA,NA,NA,III~V,122.4939725,,122.493973,Yes
Kelleway unpublished data,GR4B,Australia,-33.98449,151.009732,5,6,NA,NA,NA,NA,NA,NA,NA,III~V,165.9006377,,165.900638,Yes
Kelleway unpublished data,GR4C,Australia,-33.98402,151.009472,5,6,NA,NA,NA,NA,NA,NA,NA,III~V,208.5550421,,208.555042,Yes
Kelleway unpublished data,TP1A,Australia,-34.01758,151.150859,5,6,NA,NA,NA,NA,NA,NA,NA,III~V,195.9398398,,195.93984,Yes
Kelleway unpublished data,TP1B,Australia,-34.017388,151.151084,6,6,NA,NA,NA,NA,NA,NA,NA,III~V,336.4830625,,336.483063,Yes
Kelleway unpublished data,TP1C,Australia,-34.017179,151.150425,6,6,NA,NA,NA,NA,NA,NA,NA,III~V,269.8315248,,269.831525,Yes
Kelleway unpublished data,TP2A,Australia,-34.018197,151.152118,6,6,NA,NA,NA,NA,NA,NA,NA,III~V,139.5989343,,139.598934,Yes
Kelleway unpublished data,TP2B,Australia,-34.018014,151.152284,6,6,NA,NA,NA,NA,NA,NA,NA,III~V,237.2388485,,237.238849,Yes
Kelleway unpublished data,TP2C,Australia,-34.017396,151.15221,6,5,NA,NA,NA,NA,NA,NA,NA,III~V,184.1249984,,184.124998,Yes
Kelleway unpublished data,TP3B,Australia,-34.019499,151.149488,6,6,NA,NA,NA,NA,NA,NA,NA,III~V,158.0134018,,158.013402,Yes
Kelleway unpublished data,TP3C,Australia,-34.019265,151.147628,6,6,NA,NA,NA,NA,NA,NA,NA,III~V,271.4115069,,271.411507,Yes
Kelleway unpublished data,TP3E,Australia,-34.019882,151.15011,6,5,NA,NA,NA,NA,NA,NA,NA,III~V,101.3561649,,101.356165,Yes
Kelleway unpublished data,TP4A,Australia,-34.020201,151.152524,5,5,NA,NA,NA,NA,NA,NA,NA,III~V,70.76376843,,70.7637684,Yes
Kelleway unpublished data,TP4B,Australia,-34.021042,151.151427,6,6,NA,NA,NA,NA,NA,NA,NA,III~V,79.34000035,,79.3400004,Yes
Kelleway unpublished data,TP4C,Australia,-34.020932,151.151121,6,6,NA,NA,NA,NA,NA,NA,NA,III~V,186.4884961,,186.488496,Yes
Livesley & Andrusiak (2012),Jacks Beach,Australia,-38.3667,145.3333,4,4,NA,NA,NA,fringe,0.1,0,0.1,III~V,138.55,,138.55,Yes
Livesley & Andrusiak (2012),Stony point,Australia,-38.3667,145.3333,4,4,NA,NA,NA,fringe,0.1,0,0.1,III~V,146.4,,146.4,Yes
Livesley & Andrusiak (2012),Yaringa NP,Australia,-38.3667,145.3333,4,4,NA,NA,NA,fringe,0.1,0,0.1,III~V,144.01,,144.01,Yes
Lovelock et al. unpublished data,lovelock-4,Australia,-27.25,153.25,2,2,NA,NA,NA,NA,NA,NA,NA,III~V,479.3647359,,479.364736,Yes
Lovelock et al. unpublished data,lovelock-5,Australia,-27.25,153.25,2,2,NA,NA,NA,NA,NA,NA,NA,III~V,309.3975044,,309.397504,Yes
Lovelock et al. unpublished data,lovelock-10,Australia,-27.25,153.25,2,2,NA,NA,NA,NA,NA,NA,NA,III~V,580.3942737,,580.394274,Yes
Lovelock et al. unpublished data,lovelock-11,Australia,-27.25,153.25,2,2,NA,NA,NA,NA,NA,NA,NA,III~V,312.6864711,,312.686471,Yes
Lovelock et al. unpublished data,lovelock-12,Australia,-27.25,153.25,2,2,NA,NA,NA,NA,NA,NA,NA,III~V,437.0704744,,437.070474,Yes
Lovelock et al. unpublished data,lovelock-16,Australia,-27.25,153.25,2,2,NA,NA,NA,NA,NA,NA,NA,III~V,382.2,,382.2,Yes
Lovelock et al. unpublished data,lovelock-17,Australia,-27.25,153.25,2,2,NA,NA,NA,NA,NA,NA,NA,III~V,475.8738462,,475.873846,Yes
Lovelock et al. unpublished data,lovelock-18,Australia,-27.25,153.25,2,2,NA,NA,NA,NA,NA,NA,NA,III~V,427.5495067,,427.549507,Yes
Lovelock et al. unpublished data,lovelock-22,Australia,-27.25,153.25,2,2,NA,NA,NA,NA,NA,NA,NA,III~V,205.0587293,,205.058729,Yes
Lovelock et al. unpublished data,lovelock-23,Australia,-27.25,153.25,2,2,NA,NA,NA,NA,NA,NA,NA,III~V,136.6161409,,136.616141,Yes
Lovelock et al. unpublished data,lovelock-24,Australia,-27.25,153.25,2,2,NA,NA,NA,NA,NA,NA,NA,III~V,121.5059741,,121.505974,Yes
Lovelock et al. unpublished data,lovelock-28,Australia,-27.25,153.25,2,2,NA,NA,NA,NA,NA,NA,NA,III~V,132.5997855,,132.599786,Yes
Lovelock et al. unpublished data,lovelock-29,Australia,-27.25,153.25,2,2,NA,NA,NA,NA,NA,NA,NA,III~V,177.8960659,,177.896066,Yes
Lovelock et al. unpublished data,lovelock-30,Australia,-27.25,153.25,2,2,NA,NA,NA,NA,NA,NA,NA,III~V,37.07959228,,37.0795923,Yes
Lovelock et al. unpublished data,lovelock-31,Australia,-27.25,153.25,2,2,NA,NA,NA,NA,NA,NA,NA,III~V,101.9600906,,101.960091,Yes
Lovelock et al. unpublished data,lovelock-32,Australia,-27.25,153.25,2,2,NA,NA,NA,NA,NA,NA,NA,III~V,138.654724,,138.654724,Yes
Lovelock et al. unpublished data,lovelock-33,Australia,-27.25,153.25,2,2,NA,NA,NA,NA,NA,NA,NA,III~V,83.6964232,,83.6964232,Yes
Lovelock et al. unpublished data,lovelock-2,Australia,-27.25,153.25,2,2,NA,NA,NA,NA,NA,NA,NA,III~V,321.7877433,,321.787743,Yes
Lovelock et al. unpublished data,aims C12,Australia,-19.27668,147.04298,5,5,NA,NA,NA,NA,NA,NA,NA,III~V,62.89139789,,62.8913979,Yes
Lovelock et al. unpublished data,aims-20C,Australia,-19.27668,147.04298,5,5,NA,NA,NA,NA,NA,NA,NA,III~V,107.7905254,,107.790525,Yes
Lovelock et al. unpublished data,aims-6C,Australia,-19.27668,147.04298,5,5,NA,NA,NA,NA,NA,NA,NA,III~V,88.42466777,,88.4246678,Yes
Lovelock et al. unpublished data,aims-8,Australia,-19.27668,147.04298,5,5,NA,NA,NA,NA,NA,NA,NA,III~V,72.50885014,,72.5088501,Yes
Lovelock et al. unpublished data,aims-9C,Australia,-19.27668,147.04298,5,5,NA,NA,NA,NA,NA,NA,NA,III~V,56.8442176,,56.8442176,Yes
Lovelock et al. unpublished data,aims-C1,Australia,-19.27668,147.04298,5,5,NA,NA,NA,NA,NA,NA,NA,III~V,58.17706332,,58.1770633,Yes
Lovelock et al. unpublished data,aims-C15,Australia,-19.27668,147.04298,5,5,NA,NA,NA,NA,NA,NA,NA,III~V,259.8392957,,259.839296,Yes
Lovelock et al. unpublished data,aims-C16,Australia,-19.27668,147.04298,5,5,NA,NA,NA,NA,NA,NA,NA,III~V,72.95872981,,72.9587298,Yes
Lovelock et al. unpublished data,aims-C18,Australia,-19.27668,147.04298,5,5,NA,NA,NA,NA,NA,NA,NA,III~V,71.2057131,,71.2057131,Yes
Lovelock et al. unpublished data,aims-C7,Australia,-19.27668,147.04298,5,5,NA,NA,NA,NA,NA,NA,NA,III~V,75.79038161,,75.7903816,Yes
Lovelock et al. unpublished data,aims-Rhizo-1,Australia,-19.27668,147.04298,5,5,NA,NA,NA,NA,NA,NA,NA,III~V,280.9104673,,280.910467,Yes
Lovelock et al. unpublished data,aims-Rhizo-2,Australia,-19.27668,147.04298,5,5,NA,NA,NA,NA,NA,NA,NA,III~V,180.4061988,,180.406199,Yes
Lovelock et al. unpublished data,aims-Rhizo-3,Australia,-19.27668,147.04298,5,5,NA,NA,NA,NA,NA,NA,NA,III~V,236.0913614,,236.091361,Yes
Lovelock et al. unpublished data,Daintree-Chizo,Australia,-16.280166,145.412693,6,6,NA,NA,NA,NA,NA,NA,NA,III~V,284.44,,284.44,Yes
Lovelock et al. unpublished data,dry scrub-1,Australia,-16.314264,145.419471,6,6,NA,NA,NA,NA,NA,NA,NA,III~V,238.13,,238.13,Yes
Lovelock et al. unpublished data,dry scrub-2,Australia,-16.314264,145.419471,6,6,NA,NA,NA,NA,NA,NA,NA,III~V,283.14,,283.14,Yes
Lovelock et al. unpublished data,dry scrub-3,Australia,-16.314264,145.419471,6,6,NA,NA,NA,NA,NA,NA,NA,III~V,250.5,,250.5,Yes
Lovelock et al. unpublished data,dry scrub-C1,Australia,-16.315,145.419475,3,6,NA,NA,NA,NA,NA,NA,NA,III~V,48.24629815,,48.2462982,Yes
Lovelock et al. unpublished data,dry scrub-C16,Australia,-16.315,145.419475,3,6,NA,NA,NA,NA,NA,NA,NA,III~V,42.94794879,,42.9479488,Yes
Lovelock et al. unpublished data,dry scrub-C2,Australia,-16.315,145.419475,3,6,NA,NA,NA,NA,NA,NA,NA,III~V,57.61638763,,57.6163876,Yes
Lovelock et al. unpublished data,dry scrub-C4,Australia,-16.315,145.419475,3,6,NA,NA,NA,NA,NA,NA,NA,III~V,45.09307074,,45.0930707,Yes
Lovelock et al. unpublished data,dry scrub-C5,Australia,-16.315,145.419475,3,6,NA,NA,NA,NA,NA,NA,NA,III~V,43.62726667,,43.6272667,Yes
Lovelock et al. unpublished data,dry scrub-C9,Australia,-16.315,145.419475,3,6,NA,NA,NA,NA,NA,NA,NA,III~V,40.41455395,,40.414554,Yes
Lovelock et al. unpublished data,hinch 2CDC,Australia,-18.47418,146.16452,4,5,NA,NA,NA,NA,NA,NA,NA,III~V,36.31435058,,36.3143506,Yes
Lovelock et al. unpublished data,hinch -2CFC,Australia,-18.47418,146.16452,4,5,NA,NA,NA,NA,NA,NA,NA,III~V,205.558686,,205.558686,Yes
Lovelock et al. unpublished data,hinch-1CDA,Australia,-18.47418,146.16452,4,5,NA,NA,NA,NA,NA,NA,NA,III~V,33.85550688,,33.8555069,Yes
Lovelock et al. unpublished data,hinch-1CDB,Australia,-18.47418,146.16452,4,5,NA,NA,NA,NA,NA,NA,NA,III~V,39.02094891,,39.0209489,Yes
Lovelock et al. unpublished data,hinch-1CDC,Australia,-18.47418,146.16452,4,5,NA,NA,NA,NA,NA,NA,NA,III~V,71.7521669,,71.7521669,Yes
Lovelock et al. unpublished data,hinch-1CFA,Australia,-18.47418,146.16452,4,5,NA,NA,NA,NA,NA,NA,NA,III~V,185.2010274,,185.201027,Yes
Lovelock et al. unpublished data,hinch-1CFB,Australia,-18.47418,146.16452,4,5,NA,NA,NA,NA,NA,NA,NA,III~V,135.8410327,,135.841033,Yes
Lovelock et al. unpublished data,hinch-1CFC,Australia,-18.47418,146.16452,4,5,NA,NA,NA,NA,NA,NA,NA,III~V,301.3121007,,301.312101,Yes
Lovelock et al. unpublished data,hinch-2CDA,Australia,-18.47418,146.16452,4,5,NA,NA,NA,NA,NA,NA,NA,III~V,71.73667654,,71.7366765,Yes
Lovelock et al. unpublished data,hinch-2CDB,Australia,-18.47418,146.16452,4,5,NA,NA,NA,NA,NA,NA,NA,III~V,44.8599316,,44.8599316,Yes
Lovelock et al. unpublished data,hinch-2CFA,Australia,-18.47418,146.16452,4,5,NA,NA,NA,NA,NA,NA,NA,III~V,224.7599944,,224.759994,Yes
Lovelock et al. unpublished data,hinch-2CFB,Australia,-18.47418,146.16452,4,5,NA,NA,NA,NA,NA,NA,NA,III~V,270.141829,,270.141829,Yes
Lovelock et al. unpublished data,Hinch-3CDA,Australia,-18.47418,146.16452,4,5,NA,NA,NA,NA,NA,NA,NA,III~V,43.00877601,,43.008776,Yes
Lovelock et al. unpublished data,Hinch-3CDB,Australia,-18.47418,146.16452,4,5,NA,NA,NA,NA,NA,NA,NA,III~V,71.38542484,,71.3854248,Yes
Lovelock et al. unpublished data,hinch-3CDC,Australia,-18.47418,146.16452,4,5,NA,NA,NA,NA,NA,NA,NA,III~V,64.92099768,,64.9209977,Yes
Lovelock et al. unpublished data,hinch-3CFA,Australia,-18.47418,146.16452,4,5,NA,NA,NA,NA,NA,NA,NA,III~V,174.8277376,,174.827738,Yes
