study_id,bibliography_id,publication_type,bibtype,title,author,school,doi,url,year,month,publisher,journal
Drexler_et_al_2013,Drexler_et_al_2013_combined,combined dataset and manuscript,Article,"A Long-Term Comparison of Carbon Sequestration Rates in Impounded and Naturally Tidal Freshwater Marshes Along the Lower Waccamaw River, South Carolina",Judith Z. Drexler and Ken W. Krauss and M. Craig Sasser and Christopher C. Fuller and Christopher M. Swarzenski and Amber Powell and Kathleen M. Swanson and James Orlando,NA,10.1007/s13157-013-0456-3,https://doi.org/10.1007/s13157-013-0456-3,2013,jul,Springer Science and Business Media {LLC},Wetlands
Drexler_et_al_2019,Drexler_et_al_2019_article,associated source,Article,"Carbon accumulation and vertical accretion in a restored versus historic salt marsh in southern Puget Sound, Washington, United States",Judith Z. Drexler and Isa Woo and Christopher C. Fuller and Glynnis Nakai,NA,10.1111/rec.12941,https://doi.org/10.1111/rec.12941,2019,mar,Wiley,Restoration Ecology
Eagle_et_al_2021,Wigand_et_al_2021_article,associated source,Article,"Recent Carbon Storage and Burial Exceed Historic Rates in the San Juan Bay Estuary Peri-Urban Mangrove Forests (Puerto Rico, United States)",Cathleen Wigand and Meagan Eagle and Benjamin L. Branoff and Stephen Balogh and Kenneth M. Miller and Rose M. Martin and Alana Hanson and Autumn J. Oczkowski and Evelyn Huertas and Joseph Loffredo and Elizabeth B. Watson,NA,10.3389/ffgc.2021.676691,https://www.frontiersin.org/article/10.3389/ffgc.2021.676691,2021,NA,NA,Frontiers in Forests and Global Change
Ensign_et_al_2020,Ensign_et_al_2015_article,associated source,Article,Head-of-tide bottleneck of particulate material transport from watersheds to estuaries,Scott H. Ensign and Gregory B. Noe and Cliff R. Hupp and Katherine J. Skalak,NA,10.1002/2015gl066830,https://doi.org/10.1002/2015gl066830,2015,dec,American Geophysical Union ({AGU}),Geophysical Research Letters
Gerlach_et_al_2017,Gerlach_et_al_2017_article,associated source,Article,Reconstructing Common Era relative sea-level change on the Gulf Coast of Florida,Matthew J. Gerlach and Simon E. Engelhart and Andrew C. Kemp and Ryan P. Moyer and Joseph M. Smoak and Christopher E. Bernhardt and Niamh Cahill,NA,10.1016/j.margeo.2017.07.001,https://doi.org/10.1016/j.margeo.2017.07.001,2017,aug,Elsevier {BV},Marine Geology
Johnson_et_al_2007,Johnson_et_al_2007_article,associated source,Article,"Middle to late Holocene fluctuations of C3 and C4 vegetation in a Northern New England Salt Marsh, Sprague Marsh, Phippsburg Maine",Beverly J. Johnson and Karen A. Moore and Charlotte Lehmann and Curtis Bohlen and Thomas A. Brown,NA,10.1016/j.orggeochem.2006.06.006,https://doi.org/10.1016/j.orggeochem.2006.06.006,2007,mar,Elsevier {BV},Organic Geochemistry
Kemp_et_al_2020,Kemp_et_al_2012_article,associated source,Article,Use of lead isotopes for developing chronologies in recent salt-marsh sediments,Andrew C. Kemp and Christopher K. Sommerfield and Christopher H. Vane and Benjamin P. Horton and Simon Chenery and Shimon Anisfeld and Daria Nikitina,NA,10.1016/j.quageo.2012.05.004,https://doi.org/10.1016/j.quageo.2012.05.004,2012,oct,Elsevier {BV},Quaternary Geochronology
Krauss_et_al_2018,Krauss_et_al_2018_article,associated source,Article,The Role of the Upper Tidal Estuary in Wetland Blue Carbon Storage and Flux,Ken W. Krauss and Gregory B. Noe and Jamie A. Duberstein and William H. Conner and Camille L. Stagg and Nicole Cormier and Miriam C. Jones and Christopher E. Bernhardt and B. Graeme Lockaby and Andrew S. From and Thomas W. Doyle and Richard H. Day and Scott H. Ensign and Katherine N. Pierfelice and Cliff R. Hupp and Alex T. Chow and Julie L. Whitbeck,NA,10.1029/2018gb005897,https://doi.org/10.1029/2018gb005897,2018,may,American Geophysical Union ({AGU}),Global Biogeochemical Cycles
Krauss_et_al_2018,Jones_et_al_2017_article,associated source,Article,"The Impact of Late Holocene Land Use Change, Climate Variability, and Sea Level Rise on Carbon Storage in Tidal Freshwater Wetlands on the Southeastern United States Coastal Plain",Miriam C. Jones and Christopher E. Bernhardt and Ken W. Krauss and Gregory B. Noe,NA,10.1002/2017jg004015,https://doi.org/10.1002/2017jg004015,2017,dec,American Geophysical Union ({AGU}),Journal of Geophysical Research: Biogeosciences
Lagomasino_et_al_2020,Lagomasino_et_al_2013_article,associated source,Article,"Influence of wind-driven inundation and coastal geomorphology on sedimentation in two microtidal marshes, Pamlico River Estuary, NC",David Lagomasino and D Reide Corbett and JP Walsh,NA,10.1007/s12237-013-9625-0,NA,2013,NA,Springer,Estuaries and coasts
Luk_et_al_2020,Luk_et_al_2021_article,associated source,Article,Soil Organic Carbon Development and Turnover in Natural and Disturbed Salt Marsh Environments,Sheron Y. Luk and Katherine Todd-Brown and Meagan Eagle and Ann P. McNichol and Jonathan Sanderman and Kelsey Gosselin and Amanda C. Spivak,NA,10.1029/2020gl090287,https://doi.org/10.1029/2020gl090287,2021,jan,American Geophysical Union ({AGU}),Geophysical Research Letters
McTigue_et_al_2020,McTigue_et_al_2019_article,associated source,Article,Sea-level rise explains changing carbon accumulation rates in a salt marsh over the past two millennia,Nathan McTigue and Jenny Davis and Tony Rodriguez and Brent McKee and Anna Atencio and Carolyn Currin,NA,NA,NA,2019,NA,Wiley Online Library,Journal of Geophysical Research: Biogeosciences
Noe_et_al_2016,Noe_et_al_2016_combined,combined dataset and manuscript,Article,Contemporary Deposition and Long-Term Accumulation of Sediment and Nutrients by Tidal Freshwater Forested Wetlands Impacted by Sea Level Rise,Gregory B. Noe and Cliff R. Hupp and Christopher E. Bernhardt and Ken W. Krauss,NA,10.1007/s12237-016-0066-4,https://doi.org/10.1007/s12237-016-0066-4,2016,jan,Springer Science and Business Media {LLC},Estuaries and Coasts
Nolte_2020,Nolte_et_al_2013_article,associated source,Article,Does livestock grazing affect sediment deposition and accretion rates in salt marshes?,Stefanie Nolte and Frauke Müller and Mark Schuerch and Antonia Wanner and Peter Esselink and Jan P. Bakker and Kai Jensen,NA,10.1016/j.ecss.2013.10.026,https://doi.org/10.1016/j.ecss.2013.10.026,2013,dec,Elsevier {BV},"Estuarine, Coastal and Shelf Science"
Peck_et_al_2020,Peck_et_al_2020_article,associated source,Article,"Controls on Sediment Accretion and Blue Carbon Burial in Tidal Saline Wetlands: Insights From the Oregon Coast, {USA}",Erin K. Peck and Robert A. Wheatcroft and Laura S. Brophy,NA,10.1029/2019jg005464,https://doi.org/10.1029/2019jg005464,2020,feb,American Geophysical Union ({AGU}),Journal of Geophysical Research: Biogeosciences
Poppe_and_Rybczyk_2018,Poppe_and_Rybczyk_2018_article,synthesis source,Article,Carbon Sequestration in a Pacific Northwest Eelgrass (Zostera marina) Meadow,KL Poppe and JM Rybczyk,NA,10.3955/046.092.0202,NA,2018,NA,NA,Northwest Science
Poppe_and_Rybczyk_2018,Poppe_and_Rybczyk_2018_mastersthesis,synthesis source,MastersThesis,An Ecogeomorphic Model to Assess the Response of Padilla Bay's Eelgrass Habitat to Sea Level Rise,KL Poppe,Western Washington University,NA,NA,2015,NA,NA,NA
Poppe_and_Rybczyk_2019,Poppe_and_Rybczyk_2019_techreport,synthesis source,TechReport,A Blue Carbon Assessment for the Stillaguamish River Estuary: Quantifying the Climate Benefits of Tidal Marsh Restoration,KL Poppe and JM Rybczyk,NA,NA,NA,2019,NA,NA,NA
Poppe_et_al_2019,Poppe_et_al_2019_techreport,synthesis source,TechReport,Coastal Blue Carbon Opportunity Assessment for the Snohomish Estuary: The Climate Benefits of Estuary Restoration,S Crooks and J Rybczyk and K O`Connell and D L Devier and K Poppe and S Emmett-Mattox,NA,NA,NA,2014,NA,NA,NA
Smith_et_al_2015,Smith_2012_phdthesis,associated source,PhdThesis,"PALEOECOLOGICAL STUDY OF COASTAL MARSH IN THE CHENIER PLAIN, LOUISIANA: INVESTIGATING THE DIATOM COMPOSITION OF HURRICANE-DEPOSITED SEDIMENTS AND A DIATOM-BASED QUANTITATIVE RECONSTRUCTION OF SEA-LEVEL CHARACTERISTICS",Kathryn E.L. Smith,University of Florida,NA,https://ufdc.ufl.edu/UFE0044969/00001/pdf,2012,NA,NA,NA
Thom_1992,Thom_1992_article,associated source,Article,Accretion rates of low intertidal salt marshes in the Pacific Northwest,Ronald M. Thom,NA,10.1007/bf03160603,https://doi.org/10.1007/bf03160603,1992,dec,Springer Science and Business Media {LLC},Wetlands
Watson_and_Byrne_2013,Watson_and_Byrne_2013_article,associated source,Article,"Late Holocene Marsh Expansion in Southern San Francisco Bay, California",Elizabeth Burke Watson and Roger Byrne,NA,10.1007/s12237-013-9598-z,https://doi.org/10.1007/s12237-013-9598-z,2013,feb,Springer Science and Business Media {LLC},Estuaries and Coasts
Weis_et_al_2001,Weis_et_al_2001_thesis,associated source,Mastersthesis,Vertical accretion rates and heavy metal chronologies in wetland sediments of Tijuana Estuary,"Weis, Daniel Anthony",San Diego State University,NA,NA,1999,NA,NA,NA
Weis_et_al_2001,Weis_et_al_2001_article,associated source,Article,Vertical Accretion Rates and Heavy Metal Chronologies in Wetland Sediments of the Tijuana Estuary,Daniel A. Weis and John C. Callaway and Richard M. Gersberg,NA,10.2307/1353175,https://doi.org/10.2307/1353175,2001,dec,Springer Science and Business Media {LLC},Estuaries
