study_id,site_id,core_id,year,month,day,core_notes,latitude,longitude,position_accuracy,position_method,position_notes,elevation,elevation_datum,elevation_accuracy,elevation_method,elevation_notes,salinity_class,salinity_method,salinity_notes,vegetation_class,vegetation_method,vegetation_notes,inundation_class,inundation_method,inundation_notes,core_length_flag,habitat,habitat_assignment_method,stocks_qual_code,dates_qual_code,elevation_qual_code,max_depth
Trettin_et_al_2017,1113,1113_1,NA,NA,NA,NA,-18.845148,36.213549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,1113,1113_2,NA,NA,NA,NA,-18.845148,36.213549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,150
Trettin_et_al_2017,1113,1113_3,NA,NA,NA,NA,-18.845148,36.213549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,180
Trettin_et_al_2017,1113,1113_4,NA,NA,NA,NA,-18.845148,36.213549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,150
Trettin_et_al_2017,1130,1130_1,NA,NA,NA,NA,-18.845914,36.306805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,150
Trettin_et_al_2017,1130,1130_2,NA,NA,NA,NA,-18.845914,36.306805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,1130,1130_3,NA,NA,NA,NA,-18.845914,36.306805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,187
Trettin_et_al_2017,1130,1130_4,NA,NA,NA,NA,-18.845914,36.306805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,1130,1130_5,NA,NA,NA,NA,-18.845914,36.306805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,190
Trettin_et_al_2017,1216,1216_1,NA,NA,NA,NA,-18.854252,36.123515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,187
Trettin_et_al_2017,1216,1216_2,NA,NA,NA,NA,-18.854252,36.123515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,1216,1216_3,NA,NA,NA,NA,-18.854252,36.123515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,188
Trettin_et_al_2017,1216,1216_4,NA,NA,NA,NA,-18.854252,36.123515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,150
Trettin_et_al_2017,1216,1216_5,NA,NA,NA,NA,-18.854252,36.123515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,1219,1219_1,NA,NA,NA,NA,-18.854268,36.237751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,150
Trettin_et_al_2017,1219,1219_2,NA,NA,NA,NA,-18.854268,36.237751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,173
Trettin_et_al_2017,1219,1219_3,NA,NA,NA,NA,-18.854268,36.237751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,193
Trettin_et_al_2017,1219,1219_4,NA,NA,NA,NA,-18.854268,36.237751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,135
Trettin_et_al_2017,1219,1219_5,NA,NA,NA,NA,-18.854268,36.237751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,68
Trettin_et_al_2017,1254,1254_1,NA,NA,NA,NA,-18.860066,36.269428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,183
Trettin_et_al_2017,1254,1254_2,NA,NA,NA,NA,-18.860066,36.269428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,1254,1254_3,NA,NA,NA,NA,-18.860066,36.269428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,175
Trettin_et_al_2017,1254,1254_4,NA,NA,NA,NA,-18.860066,36.269428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,190
Trettin_et_al_2017,1254,1254_5,NA,NA,NA,NA,-18.860066,36.269428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,190
Trettin_et_al_2017,1285,1285_1,NA,NA,NA,NA,-18.86529,36.141464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,1285,1285_2,NA,NA,NA,NA,-18.86529,36.141464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,184
Trettin_et_al_2017,1285,1285_3,NA,NA,NA,NA,-18.86529,36.141464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,1285,1285_4,NA,NA,NA,NA,-18.86529,36.141464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,150
Trettin_et_al_2017,1285,1285_5,NA,NA,NA,NA,-18.86529,36.141464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,75
Trettin_et_al_2017,13,13_1,NA,NA,NA,NA,-18.744,36.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,65
Trettin_et_al_2017,13,13_2,NA,NA,NA,NA,-18.744,36.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,150
Trettin_et_al_2017,13,13_3,NA,NA,NA,NA,-18.744,36.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,13,13_4,NA,NA,NA,NA,-18.744,36.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,175
Trettin_et_al_2017,13,13_5,NA,NA,NA,NA,-18.744,36.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,75
Trettin_et_al_2017,13,13_6,NA,NA,NA,NA,-18.744,36.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,75
Trettin_et_al_2017,1305,1305_1,NA,NA,NA,NA,-18.868526,36.282128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,75
Trettin_et_al_2017,1305,1305_4,NA,NA,NA,NA,-18.868526,36.282128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,40
Trettin_et_al_2017,1314,1314_1,NA,NA,NA,NA,-18.870943,36.20356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,1314,1314_2,NA,NA,NA,NA,-18.870943,36.20356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,186
Trettin_et_al_2017,1314,1314_3,NA,NA,NA,NA,-18.870943,36.20356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,1314,1314_4,NA,NA,NA,NA,-18.870943,36.20356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,184
Trettin_et_al_2017,1314,1314_5,NA,NA,NA,NA,-18.870943,36.20356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,1317,1317_1,NA,NA,NA,NA,-18.871772,36.280204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,75
Trettin_et_al_2017,1317,1317_2,NA,NA,NA,NA,-18.871772,36.280204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,75
Trettin_et_al_2017,1317,1317_3,NA,NA,NA,NA,-18.871772,36.280204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,65
Trettin_et_al_2017,1317,1317_4,NA,NA,NA,NA,-18.871772,36.280204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,50
Trettin_et_al_2017,1317,1317_5,NA,NA,NA,NA,-18.871772,36.280204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,66
Trettin_et_al_2017,1359,1359_1,NA,NA,NA,NA,-18.87926,36.152707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,1359,1359_2,NA,NA,NA,NA,-18.87926,36.152707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,175
Trettin_et_al_2017,1359,1359_3,NA,NA,NA,NA,-18.87926,36.152707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,150
Trettin_et_al_2017,1359,1359_4,NA,NA,NA,NA,-18.87926,36.152707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,1359,1359_5,NA,NA,NA,NA,-18.87926,36.152707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,155
Trettin_et_al_2017,1361,1361_1,NA,NA,NA,NA,-18.881442,36.168942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,1361,1361_2,NA,NA,NA,NA,-18.881442,36.168942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,75
Trettin_et_al_2017,1361,1361_3,NA,NA,NA,NA,-18.881442,36.168942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,156
Trettin_et_al_2017,1361,1361_4,NA,NA,NA,NA,-18.881442,36.168942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,1361,1361_5,NA,NA,NA,NA,-18.881442,36.168942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,1382,1382_1,NA,NA,NA,NA,-18.88302,36.174246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,150
Trettin_et_al_2017,1382,1382_2,NA,NA,NA,NA,-18.88302,36.174246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,1382,1382_3,NA,NA,NA,NA,-18.88302,36.174246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,65
Trettin_et_al_2017,1382,1382_4,NA,NA,NA,NA,-18.88302,36.174246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,165
Trettin_et_al_2017,1382,1382_5,NA,NA,NA,NA,-18.88302,36.174246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,15,15_1,NA,NA,NA,NA,-18.743,36.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,175
Trettin_et_al_2017,15,15_2,NA,NA,NA,NA,-18.743,36.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,150
Trettin_et_al_2017,15,15_6,NA,NA,NA,NA,-18.743,36.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,120
Trettin_et_al_2017,16,16_1,NA,NA,NA,NA,-18.743,36.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,170
Trettin_et_al_2017,16,16_2,NA,NA,NA,NA,-18.743,36.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,40
Trettin_et_al_2017,16,16_3,NA,NA,NA,NA,-18.743,36.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,174
Trettin_et_al_2017,16,16_4,NA,NA,NA,NA,-18.743,36.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,166
Trettin_et_al_2017,16,16_5,NA,NA,NA,NA,-18.743,36.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,16,16_6,NA,NA,NA,NA,-18.743,36.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,145
Trettin_et_al_2017,17,17_1,NA,NA,NA,NA,-18.75,36.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,17,17_2,NA,NA,NA,NA,-18.75,36.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,40
Trettin_et_al_2017,17,17_3,NA,NA,NA,NA,-18.75,36.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,17,17_4,NA,NA,NA,NA,-18.75,36.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,190
Trettin_et_al_2017,17,17_5,NA,NA,NA,NA,-18.75,36.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,150
Trettin_et_al_2017,17,17_6,NA,NA,NA,NA,-18.75,36.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,75
Trettin_et_al_2017,25,25_2,NA,NA,NA,NA,-18.76,36.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,25,25_3,NA,NA,NA,NA,-18.76,36.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,25,25_4,NA,NA,NA,NA,-18.76,36.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,150
Trettin_et_al_2017,25,25_5,NA,NA,NA,NA,-18.76,36.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,190
Trettin_et_al_2017,25,25_6,NA,NA,NA,NA,-18.76,36.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,190
Trettin_et_al_2017,26,26_1,NA,NA,NA,NA,-18.762,36.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,75
Trettin_et_al_2017,26,26_2,NA,NA,NA,NA,-18.762,36.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,190
Trettin_et_al_2017,26,26_3,NA,NA,NA,NA,-18.762,36.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,26,26_4,NA,NA,NA,NA,-18.762,36.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,75
Trettin_et_al_2017,26,26_5,NA,NA,NA,NA,-18.762,36.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,40
Trettin_et_al_2017,26,26_6,NA,NA,NA,NA,-18.762,36.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,150
Trettin_et_al_2017,27,27_1,NA,NA,NA,NA,-18.766,36.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,27,27_2,NA,NA,NA,NA,-18.766,36.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,180
Trettin_et_al_2017,27,27_3,NA,NA,NA,NA,-18.766,36.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,75
Trettin_et_al_2017,27,27_5,NA,NA,NA,NA,-18.766,36.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,75
Trettin_et_al_2017,27,27_6,NA,NA,NA,NA,-18.766,36.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,195
Trettin_et_al_2017,29,29_1,NA,NA,NA,NA,-18.767,36.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,190
Trettin_et_al_2017,29,29_2,NA,NA,NA,NA,-18.767,36.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,190
Trettin_et_al_2017,29,29_3,NA,NA,NA,NA,-18.767,36.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,75
Trettin_et_al_2017,29,29_4,NA,NA,NA,NA,-18.767,36.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not specified,mangrove,study-level habitat manually coded by manager,C2,NA,NA,180
