Authors,title,Year,Source Title,Included
"Esteban, N; Mortimer, JA; Stokes, HJ; Laloe, JO; Unsworth, RKF; Hays, GC",A global review of green turtle diet: sea surface temperature as a potential driver of omnivory levels,2020,MARINE BIOLOGY,N
"Zhang, YS; Cioffi, WR; Cope, R; Daleo, P; Heywood, E; Hoyt, C; Smith, CS; Silliman, BR",A Global Synthesis Reveals Gaps in Coastal Habitat Restoration Research,2018,SUSTAINABILITY,N
"Franco, A; Torricelli, P; Franzoi, P",A habitat-specific fish-based approach to assess the ecological status of Mediterranean coastal lagoons,2009,MARINE POLLUTION BULLETIN,N
"Clark, RD; Christensen, JD; Monaco, ME; Caldwell, PA; Matthews, GA; Minello, TJ","A habitat-use model to determine essential fish habitat for juvenile brown shrimp (Farfantepenaeus aztecus) in Galveston Bay, Texas",2004,FISHERY BULLETIN,N
"Weinberg, I; Bahlmann, E; Eckhardt, T; Michaelis, W; Seifert, R","A halocarbon survey from a seagrass dominated subtropical lagoon, Ria Formosa (Portugal): flux pattern and isotopic composition",2015,BIOGEOSCIENCES,N
"Butler, JD; Purkis, SJ; Yousif, R; Al-Shaikh, I; Warren, C",A high-resolution remotely sensed benthic habitat map of the Qatari coastal zone,2020,MARINE POLLUTION BULLETIN,N
"W Prarikeslan, D Hermon, E Barlian, I Dewata, I Umar","A Land Cover Changes Model Based on Carbon Stock in the Mount Patah Region of, Bengkulu-Indonesia",2019,NA,N
"Buzzelli, CP; Wetzel, RL; Meyers, MB",A linked physical and biological framework to assess biogeochemical dynamics in a shallow estuarine ecosystem,1999,ESTUARINE COASTAL AND SHELF SCIENCE,N
"Hattam, C; Broszeit, S; Langmead, O; Praptiwi, RA; Lim, VC; Creencia, LA; Hau, TD; Maharja, C; Wulandari, P; Setia, TM; Sugardjito, J; Javier, J; Jose, E; Gajardo, LJ; Then, AYH; Amri, AY; Johari, S; Justine, EV; Hussein, MAS; Goh, HC; Hung, NP; Quyen, NV; Thao, LN; Tri, NH; Edwards-Jones, A; Clewley, D; Austen, M",A matrix approach to tropical marine ecosystem service assessments in South east Asia,2021,ECOSYSTEM SERVICES,N
"Aumann, CA",A methodology for developing simulation models of complex systems,2007,ECOLOGICAL MODELLING,N
"Nepf, HM; Sullivan, JA; Zavistoski, RA",A model for diffusion within emergent vegetation,1997,LIMNOLOGY AND OCEANOGRAPHY,N
"Xu, YP; Mead, RN; Jaffe, R",A molecular marker-based assessment of sedimentary organic matter sources and distributions in Florida Bay,2006,HYDROBIOLOGIA,Y
"Oskars, TR; Malaquias, MAE","A molecular phylogeny of the Indo-West Pacific species of Haloa sensu lato gastropods (Cephalaspidea: Haminoeidae): Tethyan vicariance, generic diversity, and ecological specialization",2019,MOLECULAR PHYLOGENETICS AND EVOLUTION,N
"Foster, NR; Gillanders, BM; Jones, AR; Young, JM; Waycott, M",A muddy time capsule: using sediment environmental DNA for the long-term monitoring of coastal vegetated ecosystems,2020,MARINE AND FRESHWATER RESEARCH,N
"Milbrandt, EC; Thompson, M; Coen, LD; Grizzle, RE; Ward, K","A multiple habitat restoration strategy in a semi-enclosed Florida embayment, combining hydrologic restoration, mangrove propagule plantings and oyster substrate additions",2015,ECOLOGICAL ENGINEERING,N
"Kelleway, JJ; Serrano, O; Baldock, JA; Burgess, R; Cannard, T; Lavery, PS; Lovelock, CE; Macreadie, PI; Masque, P; Newnham, M; Saintilan, N; Steven, ADL",A national approach to greenhouse gas abatement through blue carbon management,2020,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,N
"Perera-Valderrama, S; Cerdeira-Estrada, S; Martell-Dubois, R; de la Cruz, LR; Caballero-Aragon, H; Valdez-Chavarin, J; Lopez-Perea, J; Ressl, R",A New Long-Term Marine Biodiversity Monitoring Program for the Knowledge and Management in Marine Protected Areas of the Mexican Caribbean,2020,SUSTAINABILITY,N
"Lin, FJ; Komai, T; Chan, TY","A new mud lobster of the genus Thalassina Latreille, 1806 (Crustacea: Decapoda: Gebiidea: Thalassinidae) from marine seagrass beds in Dongsha (Pratas) Island, South China Sea",2016,RAFFLES BULLETIN OF ZOOLOGY,N
"Reid, AL; Strugnell, JM","A new pygmy squid, Idiosepius hallami n. sp (Cephalopoda: Idiosepiidae) from eastern Australia and elevation of the southern endemic 'notoides' clade to a new genus, Xipholeptos n. gen.",2018,ZOOTAXA,N
"Hamid, SK; Teniwut, WA; Renhoran, M; Teniwut, RMK",A novel framework for marine protected areas in small island regions using integrated local wisdom,2021,REGIONAL STUDIES IN MARINE SCIENCE,N
"J Hedley, B Russell, K Randolph, H Dierssen",A physics-based method for the remote sensing of seagrasses,2016,Remote Sensing of …,N
"Niza, H; Bento, M; Lopes, LF; Cartaxana, A; Correia, AM",A picture is worth a thousand words: using digital tools to visualise marine invertebrate diversity data along the coasts of Mozambique and Sao Tome & Principe,2021,BIODIVERSITY DATA JOURNAL,N
"Bishop, MJ",A posteriori evaluation of strategies of management: The effectiveness of no-wash zones in minimizing the impacts of boat-wash on macrobenthic infauna,2004,ENVIRONMENTAL MANAGEMENT,N
J Barclay,A Potential Tool to Support the Prioritization of Blue Carbon Ecosystems in Canada,2021,NA,N
"S Chang, A Green, E Kelley","A preliminary assessment of the blue carbon capacity of Belizean mangroves with ecological, economic, and policy perspectives",2015,NA,N
"DA Sani, M Hashim",A preliminary work on blue carbon stock mapping in mangrove habitat using satellite-based approach,2018,IOP Conference Series: Earth and …,N
B Eleanor,A Proposed Framework for the Development of Purpose-Driven Strategies,NA,spiral.imperial.ac.uk,N
"Cawley, JJ; Manama, G; Carnevale, G; Kriwet, J","A quantitative approach to determine the taxonomic identity and ontogeny of the pycnodontiform fish Pycnodus (Neopterygii, Actinopterygii) from the Eocene of Bolca Lagerstatte, Italy",2018,PEERJ,N
"Kuenen, MMCE; Debrot, AO","A quantitative study of the seagrass and algal meadows of the Spaanse Water, Curacao, the Netherlands Antilles",1995,AQUATIC BOTANY,N
"Avila, E; Briceno-Vera, AE",A Reciprocal Inter-habitat Transplant Reveals Changes in the Assemblage Structure of Macroinvertebrates Associated with the Sponge Halichondria melanadocia,2018,ESTUARIES AND COASTS,N
"Ramesh, CH; Koushik, S; Shunmugaraj, T; Murthy, MVR","A red alga Portieria hornemannii (Lyngb.) P. C. Silva 1987 (Gigartinales, Rhizophyllidaceae): A source of fragrance ingredient for perfume industry",2020,INDIAN JOURNAL OF GEO-MARINE SCIENCES,N
"Gallagher, JB; Zhang, K; Chuan, CH",A Re-evaluation of Wetland Carbon Sink Mitigation Concepts and Measurements: A Diagenetic Solution,2022,WETLANDS,N
"S Lincoln, P Buckley, EL Howes, KM Maltby…",A regional review of marine and coastal impacts of climate change on the ROPME sea area,2021,Sustainability,N
"Pawlik, JR; Loh, TL; McMurray, SE","A review of bottom-up vs. top-down control of sponges on Caribbean fore-reefs: what's old, what's new, and future directions",2018,PEERJ,N
"Campbell, AD; Fatoyinbo, T; Charles, SP; Bourgeau-Chavez, LL; Goes, J; Gomes, H; Halabisky, M; Holmquist, J; Lohrenz, S; Mitchell, C; Moskal, LM; Poulter, B; Qiu, H; De Sousa, CHR; Sayers, M; Simard, M; Stewart, AJ; Singh, D; Trettin, C; Wu, JH; Zhang, XS; Lagomasino, D",A review of carbon monitoring in wet carbon systems using remote sensing,2022,ENVIRONMENTAL RESEARCH LETTERS,N
"EJ Powell, MC Tyrrell, A Milliken, JM Tirpak…",A review of coastal management approaches to support the integration of ecological and human community planning for climate change,2019,Journal of coastal …,N
"B Poulter, E Fluet‐Chouinard…",A review of global wetland carbon stocks and management challenges,2021,Wetland Carbon and …,N
"Logan, JM; Boeri, A; Carr, J; Evans, T; Feeney, EM; Frew, K; Schenck, F; Ford, KH",A Review of Habitat Impacts from Residential Docks and Recommended Best Management Practices with an Emphasis on the Northeastern United States,NA,ESTUARIES AND COASTS,N
"Reid, DJ","A review of intensified land use effects on the ecosystems of Botany Bay and its rivers, Georges River and Cooks River, in southern Sydney, Australia",2020,REGIONAL STUDIES IN MARINE SCIENCE,N
"Pham, TD; Xia, JS; Ha, NT; Bui, DT; Le, NN; Takeuchi, W","A Review of Remote Sensing Approaches for Monitoring Blue Carbon Ecosystems: Mangroves, Seagrasses and Salt Marshes during 2010-2018",2019,SENSORS,N
"BM Dewsbury, M Bhat, JW Fourqurean",A review of seagrass economic valuations: gaps and progress in valuation approaches,2016,Ecosystem Services,N
"BJ Fest, SE Swearer, SK Arndt",A review of sediment carbon sampling methods in mangroves and their broader impacts on stock estimates for blue carbon ecosystems,2021,Science of The Total Environment,N
"Kathiresan, K","A review of studies on Pichavaram mangrove, southeast India",2000,HYDROBIOLOGIA,N
"Reid, DJ","A review of the 'natural' ecological features of waterways in the Botany Bay catchment, in southern Sydney, Australia",2021,REGIONAL STUDIES IN MARINE SCIENCE,N
"AP Onyena, K Sam","A review of the threat of oil exploitation to mangrove ecosystem: Insights from Niger Delta, Nigeria",2020,Global ecology and conservation,N
"AM Dencer-Brown, AC Alfaro, S Milne, J Perrott","A review on biodiversity, ecosystem services, and perceptions of New Zealand's mangroves: can we make informed decisions about their removal?",2018,Resources,N
"Alam, SMR; Hossain, MS",A Rule-Based Classification Method for Mapping Saltmarsh Land-Cover in South-Eastern Bangladesh from Landsat-8 OLI,2021,CANADIAN JOURNAL OF REMOTE SENSING,N
MD Lutz,A Search for Blue Carbon in Central Salish Sea Eelgrass Meadows,2018,NA,N
"Carlier, A; Riera, P; Amouroux, JM; Bodiou, JY; Escoubeyrou, K; Desmalades, M; Caparros, J; Gremare, A",A seasonal survey of the food web in the Lapalme Lagoon (northwestern Mediterranean) assessed by carbon and nitrogen stable isotope analysis,2007,ESTUARINE COASTAL AND SHELF SCIENCE,N
"Guzman, HM; Barnes, PAG; Lovelock, CE; Feller, IC","A site description of the CARICOMP mangrove, seagrass and coral reef sites in Bocas del Toro, Panama",2005,CARIBBEAN JOURNAL OF SCIENCE,N
"Temino-Boes, R; Romero-Lopez, R; Romero, I",A Spatiotemporal Analysis of Nitrogen Pollution in a Coastal Region with Mangroves of the Southern Gulf of Mexico,2019,WATER,N
"Paterson, AW; Whitfield, AK","A stable carbon isotope study of the food-web in a freshwater-deprived South African estuary, with particular emphasis on the ichthyofauna",1997,ESTUARINE COASTAL AND SHELF SCIENCE,N
PJ Devi,A study of Mangrove Ecosystem in East and South East coast of Mauritius with focus on above ground biomass and organic carbon.,2014,NA,N
N Slamet,A study of the greenhouse gas emissions from land reclamation activities in Jakarta Indonesia,2020,NA,N
"PREMNATHAN, M; CHANDRA, K; BAJPAI, SK; KATHIRESAN, K",A SURVEY OF SOME INDIAN MARINE PLANTS FOR ANTIVIRAL ACTIVITY,1992,BOTANICA MARINA,N
"Prentice, C; Poppe, KL; Lutz, M; Murray, E; Stephens, TA; Spooner, A; Hessing-Lewis, M; Sanders-Smith, R; Rybczyk, JM; Apple, J; Short, FT; Gaeckle, J; Helms, A; Mattson, C; Raymond, WW; Klinger, T","A Synthesis of Blue Carbon Stocks, Sources, and Accumulation Rates in Eelgrass (Zostera marina) Meadows in the Northeast Pacific",2020,GLOBAL BIOGEOCHEMICAL CYCLES,N
"Childers, DL",A synthesis of long-term research by the Florida Coastal Everglades LTER Program,2006,HYDROBIOLOGIA,N
"Al-Haj, AN; Fulweiler, RW",A synthesis of methane emissions from shallow vegetated coastal ecosystems,2020,GLOBAL CHANGE BIOLOGY,N
"GM Wilkinson, A Besterman, C Buelo, J Gephart…",A synthesis of modern organic carbon accumulation rates in coastal and aquatic inland ecosystems,2018,Scientific reports,N
"Patrick, CJ; Yeager, L; Armitage, AR; Carvallo, F; Congdon, VM; Dunton, KH; Fisher, M; Hardison, AK; Hogan, JD; Hosen, J; Hu, X; Reese, BK; Kinard, S; Kominoski, JS; Lin, X; Liu, Z; Montagna, PA; Pennings, SC; Walker, L; Weaver, CA; Wetz, M",A System Level Analysis of Coastal Ecosystem Responses to Hurricane Impacts,2020,ESTUARIES AND COASTS,N
"Keur, R; James, N; Rajkaran, A","A tale of two habitats: preliminary comparison of fish abundance and diversity between saltmarsh- and mangrove-dominated creeks in the Nahoon Estuary, South Africa",2019,AFRICAN JOURNAL OF MARINE SCIENCE,N
"Huijbers, CM; Nagelkerken, I; Lossbroek, PAC; Schulten, IE; Siegenthaler, A; Holderied, MW; Simpson, SD",A test of the senses: Fish select novel habitats by responding to multiple cues,2012,ECOLOGY,N
"Lord-Boring, C; Zelo, IJ; Nixon, ZJ","Abandoned vessels: Impacts to coral reefs, seagrass, and mangroves in the US Caribbean and Pacific territories with implications for removal",2004,MARINE TECHNOLOGY SOCIETY JOURNAL,N
"Duarte, B; Couto, T; Freitas, J; Valentim, J; Silva, H; Marques, JC; Dias, JM; Cacador, I",Abiotic modulation of Spartina maritima photobiology in different latitudinal populations,2013,ESTUARINE COASTAL AND SHELF SCIENCE,N
"HH Nguyen, TTH Nguyen",Above-ground biomass estimation models of mangrove forests based on remote sensing and field-surveyed data: Implications for C-PFES implementation in Quang …,2021,Regional Studies in Marine Science,N
"J Gao, CJ Lundquist, L Schwendenmann",Aboveground Carbon Stocks in Rapidly Expanding Mangroves in New Zealand: Regional Assessment and Economic Valuation of Blue Carbon,2020,Estuaries and Coasts,N
"Webb, SR; Kneib, RT",Abundance and distribution of juvenile white shrimp Litopenaeus setiferus within a tidal marsh landscape,2002,MARINE ECOLOGY PROGRESS SERIES,N
"RUTLEDGE, PA; FLEEGER, JW","ABUNDANCE AND SEASONALITY OF MEIOFAUNA, INCLUDING HARPACTICOID COPEPOD SPECIES, ASSOCIATED WITH STEMS OF THE SALT-MARSH CORD GRASS, SPARTINA-ALTERNIFLORA",1993,ESTUARIES,N
"BLUM, LK; MILLS, AL; ZIEMAN, JC; ZIEMAN, RT",ABUNDANCE OF BACTERIA AND FUNGI IN SEAGRASS AND MANGROVE DETRITUS,1988,MARINE ECOLOGY PROGRESS SERIES,N
"SG Sandi, JF Rodriguez, PM Saco, N Saintilan…",Accelerated Sea‐Level Rise Limits Vegetation Capacity to Sequester Soil Carbon in Coastal Wetlands: A Study Case in Southeastern Australia,2021,Earth's …,N
"Waycott, M; Duarte, CM; Carruthers, TJB; Orth, RJ; Dennison, WC; Olyarnik, S; Calladine, A; Fourqurean, JW; Heck, KL; Hughes, AR; Kendrick, GA; Kenworthy, WJ; Short, FT; Williams, SL",Accelerating loss of seagrasses across the globe threatens coastal ecosystems,2009,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,N
"de los Santos, CB; Brun, FG; Bouma, TJ; Vergara, JJ; Perez-Llorens, JL",Acclimation of seagrass Zostera noltii to co-occurring hydrodynamic and light stresses,2010,MARINE ECOLOGY PROGRESS SERIES,N
"Chew, ST; Gallagher, JB",Accounting for black carbon lowers estimates of blue carbon storage services,2018,SCIENTIFIC REPORTS,Y
"Yona, D; Sari, SHJ; Safitri, RH","Accumulation and Phytoextraction Potential of Heavy Metals of Enhalus acoroides in The Coastal Waters of Lamongan, Java, Indonesia",2020,SAINS MALAYSIANA,N
"Saderne, V; Cusack, M; Almahasheer, H; Serrano, O; Masque, P; Arias-Ortiz, A; Krishnakumar, PK; Rabaoui, L; Qurban, MA; Duarte, CM",Accumulation of Carbonates Contributes to Coastal Vegetated Ecosystems Keeping Pace With Sea Level Rise in an Arid Region (Arabian Peninsula),2018,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,N
"JR Holmquist, L Windham-Myers, N Bliss, S Crooks…",Accuracy and precision of tidal wetland soil carbon mapping in the conterminous United States,2018,Scientific reports,N
"Collard, M; Eeckhaut, I; Dehairs, F; Dubois, P","Acid-base physiology response to ocean acidification of two ecologically and economically important holothuroids from contrasting habitats, Holothuria scabra and Holothuria parva",2014,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,N
"YJ Shin, GF Midgley, ERM Archer…",Actions to halt biodiversity loss generally benefit the climate,2022,Global Change …,N
"Eme, J; Bennett, WA","Acute temperature quotient responses of fishes reflect their divergent thermal habitats in the Banda Sea, Sulawesi, Indonesia",2009,AUSTRALIAN JOURNAL OF ZOOLOGY,N
"L Hansen, R Beavers, J Benoit, D Bowen…",Adaptation and Mitigation,2012,"… Impacts, Adaptation, and …",N
"Underwood, GJC","Adaptations of tropical marine microphytobenthic assemblages along a gradient of light and nutrient availability in Suva Lagoon, Fiji",2002,EUROPEAN JOURNAL OF PHYCOLOGY,N
"Thom, RM",Adaptive management of coastal ecosystem restoration projects,2000,ECOLOGICAL ENGINEERING,N
"Silver, JM; Arkema, KK; Griffin, RM; Lashley, B; Lemay, M; Maldonado, S; Moultrie, SH; Ruckelshaus, M; Schill, S; Thomas, A; Wyatt, K; Verutes, G","Advancing Coastal Risk Reduction Science and Implementation by Accounting for Climate, Ecosystems, and People",2019,FRONTIERS IN MARINE SCIENCE,N
"Marsh, H; Lawler, IR; Kwan, D; Delean, S; Pollock, K; Alldredge, M",Aerial surveys and the potential biological removal technique indicate that the Torres Strait dugong fishery is unsustainable,2004,ANIMAL CONSERVATION,N
"Kadison, E; D'Alessandro, EK; Davis, GO; Hood, PB","AGE, GROWTH, AND REPRODUCTIVE PATTERNS OF THE GREAT BARRACUDA, SPHYRAENA BARRACUDA, FROM THE FLORIDA KEYS",2010,BULLETIN OF MARINE SCIENCE,N
"BM Campbell, DJ Beare, EM Bennett…",Agriculture production as a major driver of the Earth system exceeding planetary boundaries,2017,Ecology and …,N
"Jaxion-Harm, J; Speight, MR",Algal cover in mangroves affects distribution and predation rates by carnivorous fishes,2012,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,N
"Reithmaier, GMS; Johnston, SG; Junginger, T; Goddard, MM; Sanders, CJ; Hutley, LB; Ho, DT; Maher, DT",Alkalinity Production Coupled to Pyrite Formation Represents an Unaccounted Blue Carbon Sink,2021,GLOBAL BIOGEOCHEMICAL CYCLES,Y
"SM Morales-Ojeda, JA Herrera-Silveira…",Almacenes de carbono en un paisaje de humedal cárstico a lo largo de un corredor transversal costero de la Península de Yucatán,2021,Madera y …,Y
"Olinger, LK; Heidmann, SL; Durdall, AN; Howe, C; Ramseyer, T; Thomas, SG; Lasseigne, DN; Brown, EJ; Cassell, JS; Donihe, MM; Romero, MDD; Duke, MA; Green, D; Hillbrand, P; Grimes, KRW; Nemeth, RS; Smith, TB; Brandt, M",Altered juvenile fish communities associated with invasive Halophila stipulacea seagrass habitats in the US Virgin Islands,2017,PLOS ONE,N
"Gillis, LG; Paul, M; Bouma, T",Ammonium Uptake Rates in a Seagrass Bed under Combined Waves and Currents,2017,FRONTIERS IN MARINE SCIENCE,N
"NELSON, WG",AMPHIPOD CRUSTACEANS OF THE INDIAN-RIVER LAGOON - CURRENT STATUS AND THREATS TO BIODIVERSITY,1995,BULLETIN OF MARINE SCIENCE,N
"Oderiz, I; Mendoza, E; Leo, C; Santoyo, G; Silva, R; Martinez, R; Grey, E; Lopez, R","An Alternative Solution to Erosion Problems at Punta Bete-Punta Maroma, Quintana Roo, Mexico: Conciliating Tourism and Nature",2014,JOURNAL OF COASTAL RESEARCH,N
"Garcia, P; Zapico, E; Colubi, A",An angiosperm quality index (AQI) for Cantabrian estuaries,2009,ECOLOGICAL INDICATORS,N
"Turner, IM; Xing, FW; Corlett, RT",An annotated check-list of the vascular plants of the South China Sea and its shores,2000,RAFFLES BULLETIN OF ZOOLOGY,N
"Pait, AS; Hartwell, SI; Mason, AL; Warner, RA; Jeffrey, CFG; Hoffman, AM; Apeti, DA; Pittman, SJ","An assessment of chemical contaminants in sediments from the St. Thomas East End Reserves, St. Thomas, USVI",2014,ENVIRONMENTAL MONITORING AND ASSESSMENT,N
"HAVENS, KJ; VARNELL, LM; BRADSHAW, JG",AN ASSESSMENT OF ECOLOGICAL CONDITIONS IN A CONSTRUCTED TIDAL MARSH AND 2 NATURAL REFERENCE TIDAL MARSHES IN COASTAL VIRGINIA,1995,ECOLOGICAL ENGINEERING,N
"Hu, XP; Cai, WJ",An assessment of ocean margin anaerobic processes on oceanic alkalinity budget,2011,GLOBAL BIOGEOCHEMICAL CYCLES,N
"Lin, JH; Huang, YQ; Arbi, UY; Lin, HS; Azkab, MH; Wang, JJ; He, XB; Mou, JF; Liu, K; Zhang, SY",An ecological survey of the abundance and diversity of benthic macrofauna in Indonesian multispecific seagrass beds,2018,ACTA OCEANOLOGICA SINICA,N
"Grech, A; Coles, RG",An ecosystem-scale predictive model of coastal seagrass distribution,2010,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,N
"Schaap, I; Slijkerman, DME","An environmental risk assessment of three organic UV-filters at Lac Bay, Bonaire, Southern Caribbean",2018,MARINE POLLUTION BULLETIN,N
"van Niekerk, L; Adams, JB; James, NC; Lamberth, SJ; MacKay, CF; Turpie, JK; Rajkaran, A; Weerts, SP; Whitfield, AK","An Estuary Ecosystem Classification encompassing biogeography, size and types of diversity that supports estuarine protection, conservation and management",2020,AFRICAN JOURNAL OF AQUATIC SCIENCE,N
SM Jarossy,"An evaluation of the seagrass habitat in north Biscayne Bay, Florida, in relation to a changing environment and urbanization in the Port of Miami Harbor basin 2005 …",2016,NA,N
"Cruz-Garcia, LM; Arreola-Lizarraga, JA; Cesena-Beltran, GE; Mendoza-Salgado, RA; Galina-Tessaro, P; Beltran-Morales, LF; Ortega-Rubio, A","An examination of coastal conservation by remote sensing in Baja California Sur, M,xico",2015,JOURNAL OF COASTAL CONSERVATION,N
"Liversage, K",An example of multi-habitat restoration: Conceptual assessment of benefits from merging shellfish-reef and boulder-reef restorations,2020,ECOLOGICAL ENGINEERING,N
"OJ Kalokora, AS Buriyo, ME Asplund, M Gullström…",An experimental assessment of algal calcification as a potential source of atmospheric CO2,2020,PloS one,N
"Price, ARG; Jobbins, G; Shepherd, ARD; Ormond, RFG",An integrated environmental assessment of the Red Sea coast of Saudi Arabia,1998,ENVIRONMENTAL CONSERVATION,N
"Roelfsema, CM; Phinn, SR; Udy, N; Maxwell, P","An Integrated Field and Remote Sensing Approach for Mapping Seagrass Cover, Moreton Bay, Australia",2009,JOURNAL OF SPATIAL SCIENCE,N
"Yan, JG; Sui, HC; Huang, HH; Wang, XY; Qiu, DD; Cui, BS",An integrative perspective to understand the impact of co-occurring ecosystem engineers on macroinvertebrates,2020,MARINE POLLUTION BULLETIN,N
"Kanai, H; Sakai, A","An obligate-halophytic mangrove, Rhizophora mucronate, does not require Na+ for the uptake of nutrient ions in their roots",2021,AQUATIC BOTANY,N
RE Van Allen,"An Organic Geochemical record of inland migration in a coastal marsh, Chesapeake Bay, Maryland, USA",2017,NA,N
"D Pal, W Hogland",An overview and assessment of the existing technological options for management and resource recovery from beach wrack and dredged sediments: An …,2022,Journal of environmental management,N
"Rozaimi, M; Arina, N; Zainee, NFA; Raynusha, C; Hidayah, N",An uncommon intertidal record of Halophila decipiens Ostenfeld in the vicinity of mangroves,2020,AQUATIC BOTANY,N
"L Yang, CS Yuan",Analysis of carbon sink effects for saline constructed wetlands vegetated with mangroves to treat mariculture wastewater and sewage,2019,Water Science and Technology,N
"P Wicaksono, P Danoedoro, U Nehren…",Analysis of Field Seagrass Percent Cover and Aboveground Carbon STOCK Data for Non-Destructive Aboveground Seagrass Carbon STOCK Mapping …,2021,… Sensing and Spatial …,N
