bibliography_id,publication_type,bibtype,title,author,school,doi,url,year,month,publisher,volume,number,pages,journal,copyright,editor,booktitle,institution,language,day,issue,issn,eprint,article-number
Bezuidenhout_et_al_2011,associated source,Misc,MACROPHYTES AS INDICATORS OF PHYSICO-CHEMICAL FACTORS IN SOUTH AFRICAN ESTUARIES,Chantel Bezuidenhout,NA,NA,NA,2011,NA,NA,NA,NA,NA,Standard Theses,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_and_Rajkaran_2020,associated source,Misc,"The phylogeography, biomass allocation and phenology of Salicornia tegetaria (S. Steffen, Mucina & G. Kadereit) Piirainen & G. Kadereit, an endemic salt marsh species in South Africa","Catherine E. Brown, Anusha Rajkaran",NA,NA,https://etd.uwc.ac.za/xmlui/handle/11394/6391,2020,NA,NA,NA,NA,NA,Standard Theses,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2024_data,primary dataset,misc,Dataset: Accretion rates and carbon sequestration in Oregon salt marshes,"Cheryl A. Brown, T Chris Mochon Collura, and Ted DeWitt",NA,10.25573/serc.25024448,https://smithsonian.figshare.com/articles/dataset/Dataset_Accretion_rates_and_carbon_sequestration_in_Oregon_salt_marshes/25024448,2024,NA,Smithsonian Environmental Research Center,NA,NA,NA,NA,Creative Commons Attribution 4.0 International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bryant_and_Chabreck_1998_article,associated source,Article,Effects of Impoundment on Vertical Accretion of Coastal Marsh,John C. Bryant and Robert H. Chabreck,NA,10.2307/1352840,http://dx.doi.org/10.2307/1352840,1998,sep,Springer Science and Business Media LLC,21,3,416,Estuaries,NA,NA,NA,NA,NA,NA,NA,0160-8347,NA,NA
Bukoski_et_al_2020_krabi_data_biomass,primary dataset,Misc,SWAMP Dataset-Mangrove Biomass Vegetation-Krabi River Estuary-2015,Bukoski Jacob J. and Elwin Angie,NA,10.17528/cifor/data.00218,http://dx.doi.org/10.17528/CIFOR/DATA.00218,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bukoski_et_al_2020_krabi_data_soil,primary dataset,Misc,SWAMP Dataset-Mangrove Soil Carbon-Krabi River Estuary-2015,Bukoski Jacob J. and Elwin Angie,NA,10.17528/cifor/data.00240,http://dx.doi.org/10.17528/CIFOR/DATA.00240,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bukoski_et_al_2020_pak_data_biomass,primary dataset,Misc,SWAMP Dataset-Mangrove Biomass Vegetation-Pak Panang Mangrove-2015,Bukoski Jacob J.,NA,10.17528/cifor/data.00242,http://dx.doi.org/10.17528/CIFOR/DATA.00242,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bukoski_et_al_2020_pak_data_soil,primary dataset,Misc,SWAMP Dataset-Mangrove Soil Carbon-Pak Panang Mangrove-2015,Bukoski Jacob J.,NA,10.17528/cifor/data.00239,http://dx.doi.org/10.17528/CIFOR/DATA.00239,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bukoski_et_al_2020_palian_data_biomass,primary dataset,Misc,SWAMP Dataset-Mangrove Biomass Vegetation-Palian River Estuary-2013,MacKenzie Richard A. and Apwong Maybeleen and Purbopuspito Joko and Bukoski Jacob J.,NA,10.17528/cifor/data.00241,http://dx.doi.org/10.17528/CIFOR/DATA.00241,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bukoski_et_al_2020_palian_data_soil,primary dataset,Misc,SWAMP Dataset-Mangrove Soil Carbon-Palian River Estuary-2013,MacKenzie Richard A. and Apwong Maybeleen and Purbopuspito Joko and Bukoski Jacob J.,NA,10.17528/cifor/data.00238,http://dx.doi.org/10.17528/CIFOR/DATA.00238,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulmer_et_al_2020_article,associated source,Article,Blue Carbon Stocks and Cross-Habitat Subsidies,Richard Hugh Bulmer and Fabrice Stephenson and Hannah F. E. Jones and Michael Townsend and Jenny R. Hillman and Luitgard Schwendenmann and Carolyn J. Lundquist,NA,10.3389/fmars.2020.00380,http://dx.doi.org/10.3389/fmars.2020.00380,2020,jun,Frontiers Media SA,7,NA,NA,Frontiers in Marine Science,NA,NA,NA,NA,NA,NA,NA,2296-7745,NA,NA
Bunzel_et_al_2019_data,primary dataset,Misc,"(Table A1) Organic carbon measurements for sediment sequences TB13-1, GeoHH-GIE, GeoHH-FK and GeoHH-KWK",Dorothea Bunzel and Yvonne Milker and Katharina Müller-Navarra and Helge Wolfgang Arz and Jana Friedrich and Niko Lahajnar and Gerhard Schmiedl,NA,10.1594/PANGAEA.905218,https://doi.pangaea.de/10.1594/PANGAEA.905218,2019,NA,PANGAEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burke_et_al_2022_article,associated source,Article,Dublin’s saltmarshes contain climate-relevant carbon pools,Shannon A. Burke and Jane Manahan and Elke Eichelmann and Grace M. Cott,NA,10.3389/fmars.2022.976457,http://dx.doi.org/10.3389/fmars.2022.976457,2022,dec,Frontiers Media SA,9,NA,NA,Frontiers in Marine Science,NA,NA,NA,NA,NA,NA,NA,2296-7745,NA,NA
Cahoon_et_al_1996_article,associated source,Article,"Marsh Vertical Accretion in a Southern California Estuary, U.S.A.",Donald R. Cahoon and James C. Lynch and Abby N. Powell,NA,10.1006/ecss.1996.0055,http://dx.doi.org/10.1006/ecss.1996.0055,1996,jul,Elsevier BV,43,1,19–32,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA,NA,0272-7714,NA,NA
Camacho_et_al_2014_article,associated source,Article,"Geochemical characteristics of sediments along the margins of an atlantic-mediterranean estuary (the Guadiana, Southeast Portugal): spatial and seasonal variations",Sarita Camacho and Delminda Moura and Simon Connor and Tomasz Boski and Ana Gomes,NA,10.5894/rgci452,http://dx.doi.org/10.5894/rgci452,2014,mar,Associacao Portuguesa dos Recursos Hidricos (APRH),14,1,129–148,Revista de Gestão Costeira Integrada,NA,NA,NA,NA,NA,NA,NA,1646-8872,NA,NA
Chmura_and_Hung_2004_article,associated source,Article,Controls on salt marsh accretion: A test in salt marshes of Eastern Canada,Gail L. Chmura and Grace A. Hung,NA,10.1007/bf02803561,http://dx.doi.org/10.1007/BF02803561,2004,feb,Springer Science and Business Media LLC,27,1,70–81,Estuaries,NA,NA,NA,NA,NA,NA,NA,0160-8347,NA,NA
Christie_et_al_2021_article,associated source,Article,Pollen Geochronology from the Atlantic Coast of the United States during the Last 500 Years,Margaret A. Christie and Christopher E. Bernhardt and Andrew C. Parnell and Timothy A. Shaw and Nicole S. Khan and D. Reide Corbett and Ane Garc\'\ia-Artola and Jennifer Clear and Jennifer S. Walker and Jeffrey P. Donnelly and Tobias R. Hasse and Benjamin P. Horton,NA,10.3390/w13030362,https://doi.org/10.3390/w13030362,2021,jan,{MDPI} {AG},13,3,362,Water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cifuentes_et_al_2023_Panama_data,primary dataset,Misc,"Dataset: Study of total economic valuation of the main services provided by mangroves in the Gulf of Chiriquí, Panama",Miguel Cifuentes-Jara and Marylin Manrow-Villalobos,NA,10.25573/SERC.24294928,https://smithsonian.figshare.com/articles/dataset/Dataset_Study_of_total_economic_valuation_of_the_main_services_provided_by_mangroves_in_the_Gulf_of_Chiriqu_Panama/24294928,2023,NA,Smithsonian Environmental Research Center,NA,NA,NA,NA,Creative Commons Attribution 4.0 International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cifuentes_et_al_2024_Nicoya_data,primary dataset,Misc,"Dataset: Land use dynamics and mitigation potential of the mangroves of the Gulf of Nicoya, Costa Rica",Miguel Cifuentes-Jara and Christian Brenes Pérez and Marilyn Manrow-Villalobos and Danilo Torres,NA,10.25573/SERC.24943866,https://smithsonian.figshare.com/articles/dataset/Dataset_Land_use_dynamics_and_mitigation_potential_of_the_mangroves_of_the_Gulf_of_Nicoya_Costa_Rica/24943866,2024,NA,Smithsonian Environmental Research Center,NA,NA,NA,NA,Creative Commons Attribution 4.0 International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connor_et_al_2001_article,associated source,Article,Carbon accumulation in bay of fundy salt marshes: Implications for restoration of reclaimed marshes,Richard F. Connor and Gail L. Chmura and C. Beth Beecher,NA,10.1029/2000gb001346,http://dx.doi.org/10.1029/2000GB001346,2001,dec,American Geophysical Union (AGU),15,4,943–954,Global Biogeochemical Cycles,NA,NA,NA,NA,NA,NA,NA,1944-9224,NA,NA
Conrad_et_al_2019_article,associated source,Article,Does Regional Development Influence Sedimentary Blue Carbon Stocks? A Case Study From Three Australian Estuaries,Stephen Conrad and Dylan R. Brown and Paula Gomez Alvarez and Bronte Bates and Nizam Ibrahim and Alex Reid and Luciana Silva Monteiro and Daniela A. Silva and Lea T. Mamo and Jacob R. Bowtell and Huang An Lin and Nathaniel L. Tolentino and Christian Joshua Sanders,NA,10.3389/fmars.2018.00518,http://dx.doi.org/10.3389/fmars.2018.00518,2019,jan,Frontiers Media SA,5,NA,NA,Frontiers in Marine Science,NA,NA,NA,NA,NA,NA,NA,2296-7745,NA,NA
Costa_et_al_2022_article,associated source,Article,Sediment depth and accretion shape belowground mangrove carbon stocks across a range of climatic and geologic settings,Matthew T. Costa and Exequiel Ezcurra and Paula Ezcurra and Pelayo Salinas-de-León and Benjamin Turner and Joy Kumagai and James Leichter and Octavio Aburto-Oropeza,NA,10.1002/lno.12241,https://doi.org/10.1002/lno.12241,2022,NA,NA,67,S2,S104-S117,Limnology and Oceanography,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Costa_et_al_2023_data,primary dataset,Misc,Dataset: Sediment depth and accretion shape belowground mangrove carbon stocks across a range of climatic and geologic settings.,Matthew T. Costa and Exequiel Ezcurra and Paula Ezcurra and Pelayo Salinas-de-León and Benjamin L. Turner and James Leichter and Octavio Aburto-Oropeza,NA,10.25573/SERC.21295716,https://smithsonian.figshare.com/articles/dataset/Dataset_Sediment_depth_and_accretion_shape_belowground_mangrove_carbon_stocks_across_a_range_of_climatic_and_geologic_settings_/21295716,2023,NA,Smithsonian Environmental Research Center,NA,NA,NA,NA,Creative Commons Attribution 4.0 International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cott_et_al_2013_article,associated source,Article,Salt Marshes on Substrate Enriched in Organic Matter: The Case of Ombrogenic Atlantic Salt Marshes,Grace M. Cott and Deborah V. Chapman and Marcel A. K. Jansen,NA,10.1007/s12237-012-9579-7,http://dx.doi.org/10.1007/s12237-012-9579-7,2012,dec,Springer Science and Business Media LLC,36,3,595–609,Estuaries and Coasts,NA,NA,NA,NA,NA,NA,NA,1559-2731,NA,NA
Craft_2012,article,Article,Tidal freshwater forest accretion does not keep pace with sea level rise,Christopher Craft,NA,NA,https://doi.org/10.1016/j.ecoleng.2018.03.002,2012,NA,NA,NA,NA,NA,Ecological Engineering,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Craft_2024,primary dataset,Misc,Dataset: Tidal freshwater forest accretion does not keep pace with sea level rise,Christopher Craft,NA,10.25573/serc.24895293,https://doi.org/10.25573/serc.24895293,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Craft_et_al_1993_article,associated source,Article,Vertical Accretion in Microtidal Regularly and Irregularly Flooded Estuarine Marshes,C.B. Craft and E.D. Seneca and S.W. Broome,NA,10.1006/ecss.1993.1062,http://dx.doi.org/10.1006/ecss.1993.1062,1993,oct,Elsevier BV,37,4,371–386,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA,NA,0272-7714,NA,NA
Cuellar-Martinez_et_al_2019_article,associated source,Article,Relevance of carbon burial and storage in two contrasting blue carbon ecosystems of a north-east Pacific coastal lagoon,Tomasa Cuellar-Martinez and Ana Carolina Ruiz-Fernández and Joan-Albert Sanchez-Cabeza and Libia-Hascibe Pérez-Bernal and Jose Sandoval-Gil,NA,10.1016/j.scitotenv.2019.03.388,http://dx.doi.org/10.1016/j.scitotenv.2019.03.388,2019,jul,Elsevier BV,675,NA,581–593,Science of The Total Environment,NA,NA,NA,NA,NA,NA,NA,0048-9697,NA,NA
Cuellar-Martinez_et_al_2020_article,associated source,Article,Temporal records of organic carbon stocks and burial rates in Mexican blue carbon coastal ecosystems throughout the Anthropocene,Tomasa Cuellar-Martinez and Ana Carolina Ruiz-Fernández and Joan-Albert Sanchez-Cabeza and Libia Pérez-Bernal and Perla Guadalupe López-Mendoza and Vladislav Carnero-Bravo and Claudia Maricusa Agraz-Hernández and Brigitta Ine {van Tussenbroek} and Jose Sandoval-Gil and José Gilberto Cardoso-Mohedano and Yosahandy Vázquez-Molina and Giovanni Aldana-Gutiérrez,NA,10.1016/j.gloplacha.2020.103215,http://dx.doi.org/10.1016/j.gloplacha.2020.103215,2020,sep,Elsevier BV,192,NA,103215,Global and Planetary Change,NA,NA,NA,NA,NA,NA,NA,0921-8181,NA,NA
Curtis_et_al_2022_article,associated source,Article,"A Summary of Water-Quality and Salt Marsh Monitoring, Humboldt Bay, California","Jennifer A. Curtis, Karen M. Thorne, Chase M. Freeman, Kevin J. Buffington, and Judith Z. Drexler",NA,10.3133/ofr20221076,https://doi.org/10.3133/ofr20221076,2022,sep,NA,NA,NA,NA,USGS Publications Warehouse,NA,NA,NA,NA,NA,16,NA,NA,NA,NA
Curtis_et_al_2022_data,primary dataset,Misc,"Salt marsh monitoring during water years 2013 to 2019, Humboldt Bay, CA – water levels, surface deposition, elevation change, and carbon storage","Curtis, J.A., Thorne, K.M., Freeman C.M., Buffington, K.J., and Drexler, J.Z.",NA,10.5066/P9QLAL7B,https://doi.org/10.5066/P9QLAL7B,2022,jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA
Dai_et_al_2022,associated source,Article,"Soil Carbon within the Mangrove Landscape in Rufiji River Delta, Tanzania","Zhaohua Dai, Carl C. Trettin, Mwita M. Mangora & Wenwu Tang",NA,https://doi.org/10.1007/s13157-022-01608-9,https://link.springer.com/article/10.1007/s13157-022-01608-9,2022,NA,NA,NA,NA,NA,Wetlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel_et_al_2015_article,associated source,Article,The potential of Indonesian mangrove forests for global climate change mitigation,Daniel Murdiyarso and Joko Purbopuspito and J. Boone Kauffman and Matthew W. Warren and Sigit D. Sasmito and Daniel C. Donato and Solichin Manuri and Haruni Krisnawati and Sartji Taberima and Sofyan Kurnianto,NA,10.1038/nclimate2734,http://dx.doi.org/10.1038/nclimate2734,2015,jul,Springer Science and Business Media LLC,5,12,1089–1092,Nature Climate Change,NA,NA,NA,NA,NA,NA,NA,1758-6798,NA,NA
Darienzo_and_Peterson_1990_article,article,Article,"Episodic tectonic subsidence of Late Holocene salt marshes, northern Oregon Central Cascadia Margin",Mark E. Darienzo and Curt D. Peterson,NA,10.1029/tc009i001p00001,http://dx.doi.org/10.1029/TC009i001p00001,1990,feb,American Geophysical Union (AGU),9,NA,1–22,Tectonics,NA,NA,NA,NA,NA,NA,1,1944-9194,NA,NA
Darienzo_and_Peterson_1990_data,primary dataset,misc,"Dataset: Episodic Tectonic Subsidence of Late Holocene Salt Marshes, Northern Oregon Central Cascadia Margin","Darienzo, Mark E. and Peterson, Curt D.",NA,10.25573/serc.25270099,"https://smithsonian.figshare.com/articles/dataset/Dataset:_Episodic_Tectonic_Subsidence_of_Late_Holocene_Salt_Marshes,_Northern_Oregon_Central_Cascadia_Margin/25270099",2024,NA,Smithsonian Environmental Research Center,NA,NA,NA,NA,Creative Commons Attribution 4.0 International,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drake_et_al_2015,article,Article,Carbon Sequestration in Tidal Salt Marshes of Northeast United States,"Katherine Drake, Holly Halifax, Susan, C. Adamowicz, Christopher Craft",NA,https://doi.org/10.1007/s00267-015-0568-z,https://doi.org/10.1007/s00267-015-0568-z,2015,NA,NA,NA,NA,NA,Environmental Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drake_et_al_2024,primary dataset,Misc,Dataset: Carbon Sequestration in Tidal Salt Marshes of Northeast United States,"Katherine Drake, Holly Halifax, Susan, C. Adamowicz, Christopher Craft",NA,10.25573/serc.24518770,https://doi.org/10.25573/serc.24518770.v1,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Els_2017,associated source,Misc,Carbon storage of Zostera capensis in the Knysna Estuary,Jessica Els,NA,NA,NA,2017,NA,NA,NA,NA,NA,Standard Theses,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Els_2019,associated source,Misc,Carbon and nutrient storage of the Swartkops Estuary salt marsh and seagrass habitats,Jessica Els,NA,NA,NA,2019,NA,NA,NA,NA,NA,Standard Theses,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020_data,primary dataset,Misc,"Sediment Radiochemical Data from Georgia, Massachusetts, and Virginia Coastal Marshes","Everhart,Cheyenne S., Smith, Christopher G., Ellis, Alisha M., Marot, Marci E., Coleman, Daniel J., Guntenspergen, Glenn R., Kirwan, Matthew L.",NA,10.5066/P926MS6T.,https://doi.org/10.5066/P926MS6T.,2020,NA,U.S. Geological Survey data release,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ewers_Lewis_et_al_2020_article,associated source,Article,Variability and Vulnerability of Coastal ‘Blue Carbon’ Stocks: A Case Study from Southeast Australia,Carolyn J. {Ewers Lewis} and Paul E. Carnell and Jonathan Sanderman and Jeffrey A. Baldock and Peter I. Macreadie,NA,10.1007/s10021-017-0150-z,http://dx.doi.org/10.1007/s10021-017-0150-z,2017,apr,Springer Science and Business Media LLC,21,2,263–279,Ecosystems,NA,NA,NA,NA,NA,NA,NA,1435-0629,NA,NA
Ford_et_al_2016_data,primary dataset,Misc,Coastal Biodiversity and Ecosystem Service Sustainability (CBESS) soil organic matter content from three soil depths on saltmarsh sites at Morecambe Bay and Essex,H. Ford and A. Garbutt and M. Skov,NA,10.5285/90457BA1-F291-4158-82DC-425D7CBB1AC5,https://catalogue.ceh.ac.uk/id/90457ba1-f291-4158-82dc-425d7cbb1ac5,2016,NA,NERC Environmental Information Data Centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fourqurean_et_al_2012_article,synthesis source,Article,Seagrass ecosystems as a globally significant carbon stock,James W. Fourqurean and Carlos M. Duarte and Hilary Kennedy and NÃºria Mar {à} and Marianne Holmer and Miguel Angel Mateo and Eugenia T. Apostolaki and Gary A. Kendrick and Dorte Krause-Jensen and Karen J. McGlathery and Oscar Serrano,NA,10.1038/ngeo1477,https://doi.org/10.1038/ngeo1477,2012,may,Springer Nature,5,7,505--509,Nature Geoscience,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2021_synthesis,associated source,Article,Stocks and losses of soil organic carbon from Chinese vegetated coastal habitats,Chuancheng Fu and Yuan Li and Lin Zeng and Haibo Zhang and Chen Tu and Qian Zhou and Kuanxu Xiong and Jiaping Wu and Carlos M. Duarte and Peter Christie and Yongming Luo,NA,10.1111/gcb.15348,http://dx.doi.org/10.1111/gcb.15348,2020,sep,Wiley,27,1,202–214,Global Change Biology,NA,NA,NA,NA,NA,NA,NA,1365-2486,NA,NA
Gallagher_et_al_2021_article,associated source,Article,Inorganic and Black Carbon Hotspots Constrain Blue Carbon Mitigation Services Across Tropical Seagrass and Temperate Tidal Marshes,John Barry Gallagher and Vishnu Prahalad and John Aalders,NA,10.1007/s13157-021-01460-3,http://dx.doi.org/10.1007/s13157-021-01460-3,2021,jun,Springer Science and Business Media LLC,41,5,NA,Wetlands,NA,NA,NA,NA,NA,NA,NA,1943-6246,NA,NA
Gao_et_al_2016_article,associated source,Article,"The effect of biomass variations of Spartina alterniflora on the organic carbon content and composition of a salt marsh in northern Jiangsu Province, China",Jian Hua Gao and Zhen Xing Feng and Lian Chen and Ya Ping Wang and Fenglong Bai and Jun Li,NA,10.1016/j.ecoleng.2016.06.088,http://dx.doi.org/10.1016/j.ecoleng.2016.06.088,2016,oct,Elsevier BV,95,NA,160–170,Ecological Engineering,NA,NA,NA,NA,NA,NA,NA,0925-8574,NA,NA
Geldenhyus_et_al_2016,associated source,Article,Understanding the creek dynamics and environmental characteristics that determine the distribution of mangrove and salt marsh communities at Nahoon Estuary,"Chanel Geldenhuys, Phumlile Cotiyane, Anusha Rajkaran",NA,http://dx.doi.org/10.1016/j.sajb.2016.04.013,http://dx.doi.org/10.1016/j.sajb.2016.04.013,2016,NA,NA,NA,NA,NA,South African Journal of Botany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gillen_et_al_2018_data,primary dataset,Misc,"Shear Stress, Biomass, Bulk Density, Organic Matter on the Bank of the York River, VA 2018","Gillen, M.N., T. Messerschmidt and ML. Kirwan",NA,10.6073/pasta/beed4e91c44eb7297769158f60f898d4,https://www.vcrlter.virginia.edu/cgi-bin/showDataset.cgi?docid=knb-lter-vcr.314,2018,NA,Virginia Coast Reserve Long-Term Ecological Research Project Data Publication,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Githaiga_et_al_2017_data,primary dataset,Misc,"Carbon storage in the seagrass meadows of Gazi Bay, Kenya","Githaiga, Michael N.; Kairo, James G.; Gilpin, Linda; Huxham, Mark",NA,10.1371/journal.pone.0177001,https://doi.org/10.1371/journal.pone.0177001,2017,may,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
Gonzalez-Alcaraz_et_al_2015_article,associated source,Article,Contribution of soil properties to the assessment of a seawater irrigation programme as a management strategy for abandoned solar saltworks,M.N. González-Alcaraz and B. Aránega and H.M. Conesa and M.J. Delgado and J. Álvarez-Rogel,NA,10.1016/j.catena.2014.11.012,http://dx.doi.org/10.1016/j.catena.2014.11.012,2015,mar,Elsevier BV,126,NA,189–200,CATENA,NA,NA,NA,NA,NA,NA,NA,0341-8162,NA,NA
Gorham_et_al_2021_article,associated source,Article,Soil Carbon Stocks Vary Across Geomorphic Settings in Australian Temperate Tidal Marsh Ecosystems,Connor Gorham and Paul Lavery and Jeffrey J. Kelleway and Cristian Salinas and Oscar Serrano,NA,10.1007/s10021-020-00520-9,http://dx.doi.org/10.1007/s10021-020-00520-9,2020,jun,Springer Science and Business Media LLC,24,2,319–334,Ecosystems,NA,NA,NA,NA,NA,NA,NA,1435-0629,NA,NA
Graversen_et_al_2022_article,associated source,Article,Carbon sequestration is not inhibited by livestock grazing in Danish salt marshes,Anna Elizabeth Løvgren Graversen and Gary T. Banta and Pere Masque and Dorte Krause‐Jensen,NA,10.1002/lno.12011,http://dx.doi.org/10.1002/lno.12011,2022,jan,Wiley,67,S2,NA,Limnology and Oceanography,NA,NA,NA,NA,NA,NA,NA,1939-5590,NA,NA
