Source,Site,Core,Habitat_type,Latitude,Longitude,accuracy_flag,Country,Year_collected,U_depth_m,L_depth_m,Method,OC_perc,BD_reported_g_cm3,SOM_perc,Conv_factor,Data_use,Data_contact
"Russell et al, submitted",Acraman Creek,AC_1_C,Supratidal saltmarsh,-32.453199,134.042782,direct from dataset,Australia,2021,0,5,LOI,1.02,0.958249497,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_1_C,Supratidal saltmarsh,-32.453199,134.042782,direct from dataset,Australia,2021,5,10,LOI,0.43,0.737981009,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_1_C,Supratidal saltmarsh,-32.453199,134.042782,direct from dataset,Australia,2021,10,20,LOI,<0.25,1.238231765,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_1_C,Supratidal saltmarsh,-32.453199,134.042782,direct from dataset,Australia,2021,20,30,LOI,<0.25,1.40527914,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_1_C,Supratidal saltmarsh,-32.453199,134.042782,direct from dataset,Australia,2021,30,40,LOI,<0.25,1.475220661,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_1_C,Supratidal saltmarsh,-32.453199,134.042782,direct from dataset,Australia,2021,40,50,LOI,<0.25,1.267445801,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_2_A,Intertidal saltmarsh,-32.450223,134.046973,direct from dataset,Australia,2021,0,5,LOI,18.8,0.152822222,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_2_A,Intertidal saltmarsh,-32.450223,134.046973,direct from dataset,Australia,2021,5,10,LOI,19.4,0.130190931,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_2_A,Intertidal saltmarsh,-32.450223,134.046973,direct from dataset,Australia,2021,10,20,LOI,18.2,0.134683401,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_2_A,Intertidal saltmarsh,-32.450223,134.046973,direct from dataset,Australia,2021,20,30,LOI,5.97,0.343905709,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_2_A,Intertidal saltmarsh,-32.450223,134.046973,direct from dataset,Australia,2021,30,40,LOI,1.37,0.802547114,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_2_A,Intertidal saltmarsh,-32.450223,134.046973,direct from dataset,Australia,2021,40,50,LOI,0.85,0.840720669,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_2_A,Intertidal saltmarsh,-32.450223,134.046973,direct from dataset,Australia,2021,50,62,LOI,0.69,2.291678863,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_2_B,Intertidal saltmarsh,-32.450237,134.04693,direct from dataset,Australia,2021,0,5,LOI,20.8,0.202716298,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_2_B,Intertidal saltmarsh,-32.450237,134.04693,direct from dataset,Australia,2021,5,10,LOI,19.4,0.174336931,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_2_B,Intertidal saltmarsh,-32.450237,134.04693,direct from dataset,Australia,2021,10,20,LOI,16.7,0.176984681,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_2_B,Intertidal saltmarsh,-32.450237,134.04693,direct from dataset,Australia,2021,20,30,LOI,1.67,0.741670527,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_2_B,Intertidal saltmarsh,-32.450237,134.04693,direct from dataset,Australia,2021,30,40,LOI,0.71,0.911364536,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_2_B,Intertidal saltmarsh,-32.450237,134.04693,direct from dataset,Australia,2021,40,50,LOI,<0.25,1.138910166,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_2_C,Intertidal saltmarsh,-32.450265,134.046918,direct from dataset,Australia,2021,0,5,LOI,19.1,0.240302703,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_2_C,Intertidal saltmarsh,-32.450265,134.046918,direct from dataset,Australia,2021,5,10,LOI,13.1,0.209800469,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_2_C,Intertidal saltmarsh,-32.450265,134.046918,direct from dataset,Australia,2021,10,20,LOI,8.32,0.269749167,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_2_C,Intertidal saltmarsh,-32.450265,134.046918,direct from dataset,Australia,2021,20,30,LOI,3.4,0.599482047,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_2_C,Intertidal saltmarsh,-32.450265,134.046918,direct from dataset,Australia,2021,30,40,LOI,0.73,0.9391233,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_2_C,Intertidal saltmarsh,-32.450265,134.046918,direct from dataset,Australia,2021,40,50,LOI,<0.25,1.074693274,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_3_A,Intertidal saltmarsh,-32.45096,134.045897,direct from dataset,Australia,2021,0,5,LOI,0.74,1.272304459,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_3_A,Intertidal saltmarsh,-32.45096,134.045897,direct from dataset,Australia,2021,5,10,LOI,0.36,1.186942111,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_3_A,Intertidal saltmarsh,-32.45096,134.045897,direct from dataset,Australia,2021,10,20,LOI,<0.25,1.330143638,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_3_A,Intertidal saltmarsh,-32.45096,134.045897,direct from dataset,Australia,2021,20,30,LOI,<0.25,1.437802082,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_3_A,Intertidal saltmarsh,-32.45096,134.045897,direct from dataset,Australia,2021,30,40,LOI,<0.25,1.290372873,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_3_A,Intertidal saltmarsh,-32.45096,134.045897,direct from dataset,Australia,2021,40,50,LOI,0.31,1.328875471,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_3_B,Intertidal saltmarsh,-32.450985,134.045866,direct from dataset,Australia,2021,0,5,LOI,0.61,1.188893596,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_3_B,Intertidal saltmarsh,-32.450985,134.045866,direct from dataset,Australia,2021,5,10,LOI,0.35,1.424055821,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_3_B,Intertidal saltmarsh,-32.450985,134.045866,direct from dataset,Australia,2021,10,20,LOI,<0.25,1.349793332,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_3_B,Intertidal saltmarsh,-32.450985,134.045866,direct from dataset,Australia,2021,20,30,LOI,<0.25,1.256634007,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_3_B,Intertidal saltmarsh,-32.450985,134.045866,direct from dataset,Australia,2021,30,40,LOI,<0.25,1.406187808,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_3_B,Intertidal saltmarsh,-32.450985,134.045866,direct from dataset,Australia,2021,40,50,LOI,<0.25,1.296661078,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_3_C,Intertidal saltmarsh,-32.450932,134.045653,direct from dataset,Australia,2021,0,5,LOI,0.52,1.080565334,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_3_C,Intertidal saltmarsh,-32.450932,134.045653,direct from dataset,Australia,2021,5,10,LOI,0.26,1.234493476,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_3_C,Intertidal saltmarsh,-32.450932,134.045653,direct from dataset,Australia,2021,10,20,LOI,<0.25,1.155283826,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_3_C,Intertidal saltmarsh,-32.450932,134.045653,direct from dataset,Australia,2021,20,30,LOI,<0.25,1.216359831,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_3_C,Intertidal saltmarsh,-32.450932,134.045653,direct from dataset,Australia,2021,30,40,LOI,1.24,1.377508898,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_3_C,Intertidal saltmarsh,-32.450932,134.045653,direct from dataset,Australia,2021,40,50,LOI,<0.25,1.307786717,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_4_A,Supratidal saltmarsh,-32.438867,134.061461,direct from dataset,Australia,2021,0,5,LOI,0.87,1.240962377,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_4_A,Supratidal saltmarsh,-32.438867,134.061461,direct from dataset,Australia,2021,5,10,LOI,0.67,1.185731716,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_4_A,Supratidal saltmarsh,-32.438867,134.061461,direct from dataset,Australia,2021,10,20,LOI,<0.25,1.095275426,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_4_A,Supratidal saltmarsh,-32.438867,134.061461,direct from dataset,Australia,2021,20,30,LOI,1.37,1.034955059,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_4_A,Supratidal saltmarsh,-32.438867,134.061461,direct from dataset,Australia,2021,30,40,LOI,1.03,1.081837883,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_4_A,Supratidal saltmarsh,-32.438867,134.061461,direct from dataset,Australia,2021,40,50,LOI,1.43,1.282989149,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_4_B,Supratidal saltmarsh,-32.439129,134.061372,direct from dataset,Australia,2021,0,5,LOI,1.53,1.008513581,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_4_B,Supratidal saltmarsh,-32.439129,134.061372,direct from dataset,Australia,2021,5,10,LOI,0.61,1.706799696,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_4_B,Supratidal saltmarsh,-32.439129,134.061372,direct from dataset,Australia,2021,10,20,LOI,<0.25,1.056946149,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_4_B,Supratidal saltmarsh,-32.439129,134.061372,direct from dataset,Australia,2021,20,30,LOI,<0.25,1.304731431,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_4_B,Supratidal saltmarsh,-32.439129,134.061372,direct from dataset,Australia,2021,30,40,LOI,1.55,1.247740869,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_4_B,Supratidal saltmarsh,-32.439129,134.061372,direct from dataset,Australia,2021,40,50,LOI,<0.25,1.451802705,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_4_C,Supratidal saltmarsh,-32.439165,134.061491,direct from dataset,Australia,2021,0,5,LOI,0.82,0.876944358,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_4_C,Supratidal saltmarsh,-32.439165,134.061491,direct from dataset,Australia,2021,5,10,LOI,<0.25,1.806569076,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_4_C,Supratidal saltmarsh,-32.439165,134.061491,direct from dataset,Australia,2021,10,20,LOI,0.29,1.035093591,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_4_C,Supratidal saltmarsh,-32.439165,134.061491,direct from dataset,Australia,2021,20,30,LOI,<0.25,1.177976245,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_4_C,Supratidal saltmarsh,-32.439165,134.061491,direct from dataset,Australia,2021,30,40,LOI,<0.25,1.217423793,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Acraman Creek,AC_4_C,Supratidal saltmarsh,-32.439165,134.061491,direct from dataset,Australia,2021,40,50,LOI,<0.25,0.42047703,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_1_A,Supratidal saltmarsh,-32.158229,133.391459,direct from dataset,Australia,2021,0,5,LOI,0.74,1.12159894,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_1_A,Supratidal saltmarsh,-32.158229,133.391459,direct from dataset,Australia,2021,5,10,LOI,0.71,1.516890228,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_1_A,Supratidal saltmarsh,-32.158229,133.391459,direct from dataset,Australia,2021,10,20,LOI,0.41,1.430532329,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_1_A,Supratidal saltmarsh,-32.158229,133.391459,direct from dataset,Australia,2021,20,30,LOI,<0.25,1.52039071,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_1_A,Supratidal saltmarsh,-32.158229,133.391459,direct from dataset,Australia,2021,30,40,LOI,<0.25,1.546233492,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_1_A,Supratidal saltmarsh,-32.158229,133.391459,direct from dataset,Australia,2021,40,50,LOI,<0.25,1.72967381,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_1_B,Supratidal saltmarsh,-32.158331,133.391651,direct from dataset,Australia,2021,0,5,LOI,<0.25,1.416181092,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_1_B,Supratidal saltmarsh,-32.158331,133.391651,direct from dataset,Australia,2021,5,10,LOI,0.29,1.767154648,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_1_B,Supratidal saltmarsh,-32.158331,133.391651,direct from dataset,Australia,2021,10,20,LOI,0.25,1.387630374,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_1_B,Supratidal saltmarsh,-32.158331,133.391651,direct from dataset,Australia,2021,20,30,LOI,<0.25,1.394194041,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_1_B,Supratidal saltmarsh,-32.158331,133.391651,direct from dataset,Australia,2021,30,40,LOI,<0.25,1.252322499,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_1_B,Supratidal saltmarsh,-32.158331,133.391651,direct from dataset,Australia,2021,40,50,LOI,<0.25,1.818336248,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_1_C,Supratidal saltmarsh,-32.158582,133.391617,direct from dataset,Australia,2021,0,5,LOI,1.61,0.916095345,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_1_C,Supratidal saltmarsh,-32.158582,133.391617,direct from dataset,Australia,2021,5,10,LOI,1.9,1.262096363,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_1_C,Supratidal saltmarsh,-32.158582,133.391617,direct from dataset,Australia,2021,10,20,LOI,0.94,1.124706214,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_1_C,Supratidal saltmarsh,-32.158582,133.391617,direct from dataset,Australia,2021,20,30,LOI,<0.25,1.373160173,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_1_C,Supratidal saltmarsh,-32.158582,133.391617,direct from dataset,Australia,2021,30,40,LOI,<0.25,1.219771704,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_1_C,Supratidal saltmarsh,-32.158582,133.391617,direct from dataset,Australia,2021,40,50,LOI,0.26,1.498503444,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_2_A,Intertidal saltmarsh,-32.154732,133.401234,direct from dataset,Australia,2021,0,5,LOI,19.5,0.162853665,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_2_A,Intertidal saltmarsh,-32.154732,133.401234,direct from dataset,Australia,2021,5,10,LOI,16.9,0.138471432,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_2_A,Intertidal saltmarsh,-32.154732,133.401234,direct from dataset,Australia,2021,10,20,LOI,4.82,0.416619509,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_2_A,Intertidal saltmarsh,-32.154732,133.401234,direct from dataset,Australia,2021,20,30,LOI,3.08,0.596653978,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_2_A,Intertidal saltmarsh,-32.154732,133.401234,direct from dataset,Australia,2021,30,40,LOI,0.61,1.015423527,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_2_A,Intertidal saltmarsh,-32.154732,133.401234,direct from dataset,Australia,2021,40,50,LOI,<0.25,0.975798468,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_2_B,Intertidal saltmarsh,-32.154662,133.401301,direct from dataset,Australia,2021,0,5,LOI,22.1,0.176850297,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_2_B,Intertidal saltmarsh,-32.154662,133.401301,direct from dataset,Australia,2021,5,10,LOI,19.2,0.180607454,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_2_B,Intertidal saltmarsh,-32.154662,133.401301,direct from dataset,Australia,2021,10,20,LOI,11.4,0.248387243,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_2_B,Intertidal saltmarsh,-32.154662,133.401301,direct from dataset,Australia,2021,20,30,LOI,2.51,0.581469399,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_2_B,Intertidal saltmarsh,-32.154662,133.401301,direct from dataset,Australia,2021,30,40,LOI,1.01,0.806841454,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_2_B,Intertidal saltmarsh,-32.154662,133.401301,direct from dataset,Australia,2021,40,50,LOI,<0.25,0.871920522,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_2_C,Intertidal saltmarsh,-32.154586,133.401028,direct from dataset,Australia,2021,0,5,LOI,2.15,0.824261197,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_2_C,Intertidal saltmarsh,-32.154586,133.401028,direct from dataset,Australia,2021,5,10,LOI,1.39,0.926076566,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_2_C,Intertidal saltmarsh,-32.154586,133.401028,direct from dataset,Australia,2021,10,20,LOI,0.68,1.047054686,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_2_C,Intertidal saltmarsh,-32.154586,133.401028,direct from dataset,Australia,2021,20,30,LOI,0.68,0.941210686,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_2_C,Intertidal saltmarsh,-32.154586,133.401028,direct from dataset,Australia,2021,30,40,LOI,<0.25,1.158474565,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_2_C,Intertidal saltmarsh,-32.154586,133.401028,direct from dataset,Australia,2021,40,50,LOI,<0.25,1.158816434,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_3_A,Intertidal saltmarsh,-32.151575,133.408533,direct from dataset,Australia,2021,0,5,LOI,19.9,0.166373239,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_3_A,Intertidal saltmarsh,-32.151575,133.408533,direct from dataset,Australia,2021,5,10,LOI,17.2,0.180057618,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_3_A,Intertidal saltmarsh,-32.151575,133.408533,direct from dataset,Australia,2021,10,20,LOI,9.94,0.199058274,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_3_A,Intertidal saltmarsh,-32.151575,133.408533,direct from dataset,Australia,2021,20,30,LOI,0.85,0.773313764,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_3_A,Intertidal saltmarsh,-32.151575,133.408533,direct from dataset,Australia,2021,30,40,LOI,0.51,0.880201462,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_3_A,Intertidal saltmarsh,-32.151575,133.408533,direct from dataset,Australia,2021,40,50,LOI,<0.25,0.86844258,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_3_B,Intertidal saltmarsh,-32.151541,133.408471,direct from dataset,Australia,2021,0,5,LOI,14.1,0.180363839,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_3_B,Intertidal saltmarsh,-32.151541,133.408471,direct from dataset,Australia,2021,5,10,LOI,9.15,0.224489077,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_3_B,Intertidal saltmarsh,-32.151541,133.408471,direct from dataset,Australia,2021,10,20,LOI,5.85,0.327675363,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
"Russell et al, submitted",Davenport Creek,DC_3_B,Intertidal saltmarsh,-32.151541,133.408471,direct from dataset,Australia,2021,20,30,LOI,0.48,0.928924033,,,Data paper and model,Alice Jones (alice.jones01@adelaide.edu.au)
