study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,method_id,compaction_notes,cs137_activity,cs137_unit,depth_interval_notes
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI2,4,6,0.16425,0.64,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI2,6,8,0.15393000000000004,0.5700000000000001,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI2,8,10,0.14270000000000002,0.65,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI2,10,11,0.22733,0.64,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI2,11,12,0.1978,0.63,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI2,12,13,0.21221000000000004,0.6,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI2,13,14,0.1893,0.63,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI2,14,15,0.20391000000000004,0.63,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI2,15,16,0.2313,0.64,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI2,16,17,0.19828,0.6,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI2,17,18,0.18316,0.58,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI2,18,19,0.18637,0.56,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI2,19,20,0.17898000000000003,0.62,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI2,20,21,0.22774000000000005,0.58,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI2,21,22,0.18035,0.61,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI2,22,23,0.20191000000000003,0.6,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI2,23,24,0.25665,0.62,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI2,24,25,0.1829,0.6599999999999999,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI2,25,26,0.22971000000000005,0.63,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI2,26,27,0.20259,0.61,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI2,27,28,0.20786,0.58,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,0,2,0.15767,0.61,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,2,4,0.15693000000000004,0.5700000000000001,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,4,6,0.15765,0.5700000000000001,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,6,8,0.17354000000000003,0.48,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,8,10,0.16926000000000002,0.48,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,10,11,0.15171000000000004,0.45,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,11,12,0.22687,0.45,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,12,13,0.20511,0.46,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,13,14,0.20057,0.44,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,14,15,0.16771000000000005,0.42,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,15,16,0.22916,0.35,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,16,17,0.21462,0.44,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,17,18,0.20892,0.37,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,18,19,0.18232,0.44,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,19,20,0.26555,0.38,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,20,21,0.2145,0.44,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,21,22,0.2416,0.51,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,22,23,0.28712000000000004,0.52,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,23,24,0.33043999999999996,0.47,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,24,25,0.30068999999999996,0.45,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,25,26,0.24307,0.4300000000000001,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,26,27,0.20576000000000003,0.4,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,27,28,0.21763,0.4300000000000001,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,28,29,0.2294,0.46,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,29,30,0.18259,0.46,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,30,31,0.27735000000000004,0.5,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,31,32,0.20673,0.51,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI3,32,33,0.23417,0.55,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI4,0,2,0.16326000000000002,0.63,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI4,2,4,0.16555,0.62,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI4,4,6,0.18597,0.6,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI4,6,8,0.14686000000000002,0.56,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI4,8,10,0.15558000000000002,0.5700000000000001,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI4,10,11,0.1602,0.54,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI4,11,12,0.15950000000000003,0.54,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI4,12,13,0.17474000000000003,0.55,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI4,13,14,0.18343,0.55,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI4,14,15,0.18352,0.53,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI4,15,16,0.19161,0.54,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI4,16,17,0.21065,0.58,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI4,17,18,0.23015,0.54,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI4,18,19,0.19014,0.49,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI4,19,20,0.20817,0.48,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI4,20,21,0.21674000000000004,0.52,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI4,21,22,0.24088,0.54,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI4,22,23,0.19207,0.52,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI5,0,2,0.28147000000000005,0.41,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI5,2,4,0.22467,0.42,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI5,4,6,0.18236,0.5,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI5,6,8,0.16583,0.46,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI5,8,10,0.20013,0.4300000000000001,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI5,10,11,0.16540000000000002,0.51,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI5,11,12,0.16581,0.49,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI5,12,13,0.18194,0.49,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI5,13,14,0.18095,0.51,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI5,14,15,0.19464,0.51,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI5,15,16,0.16533,0.52,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI5,16,17,0.16576000000000002,0.54,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI5,17,18,0.19168,0.48,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI5,18,19,0.23501,0.42,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI5,19,20,0.20942,0.47,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI5,20,21,0.23077,0.48,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Ten_Thousand_Islands,TTI5,21,22,0.23525,0.47,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC11,0,2,0.15345086900000002,0.7989177319999999,0.3760413259999999,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC11,2,4,0.14513508600000002,0.7455223879999998,0.341679389,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC11,4,6,0.14130814100000005,0.7068642479999999,0.34169763499999994,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC11,6,8,0.153150009,0.7704699039999999,0.351542962,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC11,8,10,0.185029183,0.7713821139999999,0.35936413700000003,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC11,10,11,0.17478789300000003,0.7625998350000001,0.35667490700000004,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC11,11,12,0.17991455600000003,0.760401338,0.3759088880000001,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC11,12,13,0.192671039,0.7434103689999998,0.363242906,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC11,13,14,0.140200975,0.753648069,0.35556646300000005,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC11,14,15,0.14094710900000004,0.74863388,0.336842472,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC11,15,16,0.158276671,0.670620438,0.321289522,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC11,16,17,0.14065828300000002,0.655715264,0.3104203890000001,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC11,17,18,0.193224622,0.6053811659999999,0.29748205200000005,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC11,18,19,0.17904807800000003,0.5874445489999999,0.30808940900000004,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC11,19,20,0.2199410310000001,0.600569052,0.29053231900000004,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC11,20,21,0.233323305,0.560449763,0.2965125990000001,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC11,21,22,0.18821830400000003,0.5790281330000001,0.29297673400000007,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC11,22,23,0.14371502500000002,0.5952101829999998,0.295261001,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC11,23,24,0.194403995,0.639965334,0.2913774190000001,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC11,24,25,0.175100788,0.6323024049999999,0.311134589,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC11,25,26,0.173079006,0.656654151,0.30453514899999995,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC11,26,27,0.187183344,0.6908833739999999,0.30691039400000003,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC11,27,28,0.19945845100000004,0.647278871,0.323217929,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC11,28,29,0.19406703200000003,0.688577453,0.32292949700000007,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC11,29,30,0.177579878,0.7271618320000001,0.3154536,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC11,30,31,0.20954329400000005,0.7025040199999999,0.31851008000000003,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC12,0,2,0.360129972,0.321002506,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC12,2,4,0.5209098020000001,0.192145085,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC12,4,6,0.47164089300000006,0.24344875100000005,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC12,6,8,0.25825862,0.4228797760000001,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC12,8,10,0.401095132,0.340394251,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC12,10,11,0.482532042,0.26850558700000005,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC12,11,12,0.426523858,0.31330060400000004,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC12,12,13,0.29893495400000003,0.338244767,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC12,13,14,0.25118238200000004,0.42535454200000006,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC12,14,15,0.2779228590000001,0.400536936,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC12,15,16,0.24090498800000004,0.386652013,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC12,16,17,0.27467356600000004,0.369698563,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC12,17,18,0.278163548,0.4721813620000001,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC12,18,19,0.25936578600000004,0.609688196,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC12,19,20,0.300740117,0.32717086800000006,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC12,20,21,0.28969252100000004,0.351445663,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC12,21,22,0.26437210400000005,0.454115076,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC12,22,23,0.30093266700000004,0.369671279,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC12,23,24,0.322594621,0.318809222,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC12,24,25,0.288753836,0.309160623,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC12,25,26,0.28035381200000004,0.30734890100000006,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC13_2,0,2,0.730019857,0.16499892800000002,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC13_2,2,4,0.6930982609999999,0.14677130900000002,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC13_2,4,6,0.7896504,0.122332968,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC13_2,6,8,0.7279740060000001,0.13383809200000002,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC13_2,8,10,0.649220771,0.14923906800000003,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC13_2,10,11,0.817233287,0.14917241,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC13_2,11,12,0.6552018770000001,0.17225038600000003,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC13_2,12,13,0.73357001,0.125992519,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC13_2,13,14,1.0293760149999998,0.08695753799999999,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC13_2,14,15,1.075082737,0.08641726599999999,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC13_2,15,16,0.96410133,0.104004394,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC13_2,16,17,0.923497202,0.11793374900000002,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC13_2,17,18,0.897165894,0.1118444,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC13_2,18,19,0.723942475,0.120952191,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC13_2,19,20,1.077008244,0.12257805,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC13_2,20,21,0.6645405859999999,0.110756972,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC13_2,21,22,0.8458029970000001,0.113627956,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC13_2,22,23,0.8853721639999999,0.119015903,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC13_2,23,24,0.902966484,0.119602303,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC13_2,24,25,0.980420001,0.107575981,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC13_2,25,26,0.942343101,0.11373620800000002,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC13_2,26,27,0.7733317289999999,0.12667289099999998,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC13_2,27,28,0.7998074489999999,0.124586217,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Broad_River,WSC13_2,28,29,1.086972742,0.119262195,NA,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC07,0,2,0.091509718,0.83311415,0.35031050500000005,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC07,2,4,0.102051868,0.764033019,0.366865715,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC07,4,6,0.12403875100000002,0.787329,0.36779098,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC07,6,8,0.11616824100000002,0.7734383089999999,0.374027108,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC07,8,10,0.12376195900000002,0.776935045,0.375101204,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC07,10,11,0.15890246100000005,0.77325053,0.364920138,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC07,11,12,0.14564053200000002,0.776070071,0.3633081,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC07,12,13,0.144292677,0.7676397,0.36227523999999994,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC07,13,14,0.132667429,0.769049347,0.3718662820000001,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC07,14,15,0.15045429900000004,0.7705967049999999,0.369542218,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC07,15,16,0.122341898,0.7599842609999999,0.378964396,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC07,16,17,0.14289668500000002,0.752737073,0.369547773,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC07,17,18,0.123376858,0.7846273899999999,0.368934882,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC07,18,19,0.15452193300000003,0.762928349,0.378094169,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC07,19,20,0.15341476600000004,0.776435519,0.37935060100000006,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC07,20,21,0.12746856,0.78663142,0.377579286,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC07,21,22,0.140586076,0.80191748,0.387642513,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC08A,0,2,0.165124255,0.6977625539999999,0.308704616,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC08A,2,4,0.17073229400000003,0.6387537889999999,0.279591908,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC08A,4,6,0.220843613,0.573429241,0.287632406,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC08A,6,8,0.21673987600000005,0.6564131039999999,0.28409238700000006,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC08A,8,10,0.173175281,0.6341209170000001,0.2920545750000001,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC08A,10,12,0.14706059300000002,0.630605565,0.26920228500000004,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC08A,12,13,0.223190324,0.6224522809999998,0.28165406900000006,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC08A,13,14,0.163956917,0.574427481,0.285651696,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC08A,14,15,0.143690956,0.613902848,0.303771905,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC08A,15,16,0.181238342,0.6721115539999999,0.293048342,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC08A,16,17,0.17421024100000004,0.631251727,0.2934789230000001,single set of methods,NA,NA,NA,NA
Breithaupt_et_al_2017,Harney_River,WSC08A,17,18,0.16446236200000003,0.6802283039999999,0.29864006900000006,single set of methods,NA,NA,NA,NA
