study_id,site_id,core_id,method_id,depth_min,depth_max,fraction_organic_matter,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,ra226_activity,ra226_activity_se,ra226_unit
Stevens_et_al_2024,BAY,BAY_W,single set of methods,36,38,NA,6.11,1.22,disintegrationsPerMinutePerGram,71.12,7.4,86.12,7.28,disintegrationsPerMinutePerGram,0.9,1.33,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_W,single set of methods,38,40,NA,8.65,1.47,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,0.9,1.33,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_W,single set of methods,40,42,0.21,7.23,1.54,disintegrationsPerMinutePerGram,85.43,8.13,100.43,8.02,disintegrationsPerMinutePerGram,0.9,1.33,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_W,single set of methods,42,44,NA,8.4,1.39,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,0.9,1.33,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_W,single set of methods,44,46,NA,8.78,1.38,disintegrationsPerMinutePerGram,79.22,7.6,94.22,7.48,disintegrationsPerMinutePerGram,0.9,1.33,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_W,single set of methods,46,48,0.21,8.42,0.84,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,0.9,1.33,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_W,single set of methods,48,50,NA,9.85,1.55,disintegrationsPerMinutePerGram,69.21,6.93,84.21,6.81,disintegrationsPerMinutePerGram,0.9,1.33,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_M,single set of methods,0,2,0.24,8.03,2.23,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_M,single set of methods,2,4,NA,3.87,2.09,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_M,single set of methods,4,6,NA,1.36,2.15,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_M,single set of methods,6,8,NA,4.38,1.78,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_M,single set of methods,8,10,0.28,3.83,1.39,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_M,single set of methods,10,12,NA,7.44,1.87,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_M,single set of methods,12,14,NA,5.18,1.78,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_M,single set of methods,14,16,NA,6.92,2.17,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_M,single set of methods,16,18,0.33,4.44,2.37,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_M,single set of methods,18,20,NA,8.02,1.68,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_M,single set of methods,20,22,NA,7.61,2.2,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_M,single set of methods,22,24,NA,2.04,3.63,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_M,single set of methods,24,26,NA,7.88,2.7,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_M,single set of methods,26,28,NA,7.76,1.56,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_M,single set of methods,28,30,NA,8.24,2.02,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_M,single set of methods,30,32,0.3,13.15,1.74,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_M,single set of methods,32,34,NA,13.07,2.16,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_M,single set of methods,34,36,NA,11.74,1.65,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_M,single set of methods,36,38,NA,14.61,1.67,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_M,single set of methods,38,40,NA,15.3,1.41,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_M,single set of methods,40,42,0.31,13.88,2.18,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_M,single set of methods,42,44,NA,19.57,2.41,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_M,single set of methods,44,46,NA,14.18,2.81,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_M,single set of methods,46,48,NA,14.5,3.06,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_M,single set of methods,48,50,0.29,23.53,1.33,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_H,single set of methods,0,2,0.33,4.15,1.72,disintegrationsPerMinutePerGram,184.86,12.56,192.36,12.51,disintegrationsPerMinutePerGram,0.45,1.16,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_H,single set of methods,2,4,NA,2.51,1.91,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_H,single set of methods,4,6,NA,9.61,2.64,disintegrationsPerMinutePerGram,134.61,9.47,142.11,9.4,disintegrationsPerMinutePerGram,0.45,1.16,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_H,single set of methods,6,8,NA,7.63,1.98,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_H,single set of methods,8,10,NA,10.02,2.1,disintegrationsPerMinutePerGram,59.54,4.82,67.04,4.67,disintegrationsPerMinutePerGram,0.45,1.16,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_H,single set of methods,10,12,NA,16.07,2.01,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_H,single set of methods,12,14,NA,19.98,2,disintegrationsPerMinutePerGram,57.67,4.84,65.17,4.69,disintegrationsPerMinutePerGram,0.45,1.16,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_H,single set of methods,14,16,NA,18.55,3.13,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_H,single set of methods,16,18,0.12,11.43,1.59,disintegrationsPerMinutePerGram,18.68,2.6,26.18,2.33,disintegrationsPerMinutePerGram,0.45,1.16,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_H,single set of methods,18,20,NA,4.22,2.74,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_H,single set of methods,20,22,NA,0,0,disintegrationsPerMinutePerGram,1.03,1.75,8.53,1.3,disintegrationsPerMinutePerGram,0.45,1.16,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_H,single set of methods,22,24,NA,1.54,0.92,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_H,single set of methods,24,26,0.03,0.31,1.02,disintegrationsPerMinutePerGram,1.04,3.6,8.54,3.41,disintegrationsPerMinutePerGram,0.45,1.16,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_H,single set of methods,26,28,NA,0,0,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_H,single set of methods,28,30,NA,0,0,disintegrationsPerMinutePerGram,-1.33,1.67,6.17,1.19,disintegrationsPerMinutePerGram,0.45,1.16,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_H,single set of methods,30,32,0.03,0.72,0.95,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_H,single set of methods,32,34,NA,0.17,0.87,disintegrationsPerMinutePerGram,-1.62,1.57,5.88,1.06,disintegrationsPerMinutePerGram,0.45,1.16,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_H,single set of methods,34,36,NA,1.27,0.93,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_H,single set of methods,36,38,NA,0,0,disintegrationsPerMinutePerGram,-0.09,1.68,7.41,1.21,disintegrationsPerMinutePerGram,0.45,1.16,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_H,single set of methods,38,40,NA,1.67,0.94,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_H,single set of methods,40,42,0.01,0,0,disintegrationsPerMinutePerGram,-0.4,1.59,7.1,1.08,disintegrationsPerMinutePerGram,0.45,1.16,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_H,single set of methods,42,44,NA,0.7,0.57,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_H,single set of methods,44,46,NA,0.9,0.97,disintegrationsPerMinutePerGram,1.19,1.63,8.69,1.14,disintegrationsPerMinutePerGram,0.45,1.16,disintegrationsPerMinutePerGram
Stevens_et_al_2024,BAY,BAY_H,single set of methods,46,48,NA,0,0,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,BAY,BAY_H,single set of methods,48,50,0.01,0.4,0.79,disintegrationsPerMinutePerGram,-3.32,1.44,4.18,0.84,disintegrationsPerMinutePerGram,0.45,1.16,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_W,single set of methods,0,2,NA,NA,NA,NA,122.29,10.61,140.79,9.36,disintegrationsPerMinutePerGram,1.11,5,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_W,single set of methods,2,4,0.18,NA,NA,NA,128.84,10.97,147.34,9.77,disintegrationsPerMinutePerGram,1.11,5,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_W,single set of methods,4,6,NA,NA,NA,NA,125.79,10.73,144.29,9.49,disintegrationsPerMinutePerGram,1.11,5,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_W,single set of methods,6,8,NA,NA,NA,NA,116.85,10.42,135.35,9.14,disintegrationsPerMinutePerGram,1.11,5,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_W,single set of methods,8,10,0.2,NA,NA,NA,91.3,8.87,109.8,7.33,disintegrationsPerMinutePerGram,1.11,5,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_W,single set of methods,10,12,NA,4.16,1.64,disintegrationsPerMinutePerGram,NA,NA,NA,NA,NA,NA,NA,NA
Stevens_et_al_2024,CB,CB_W,single set of methods,12,14,NA,4.09,1.57,disintegrationsPerMinutePerGram,94.28,9.15,112.78,7.67,disintegrationsPerMinutePerGram,1.11,5,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_W,single set of methods,14,16,NA,7.6,1.68,disintegrationsPerMinutePerGram,123.05,11.48,141.55,10.33,disintegrationsPerMinutePerGram,1.11,5,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_W,single set of methods,16,18,0.21,5,1.52,disintegrationsPerMinutePerGram,119.53,10.76,138.03,9.52,disintegrationsPerMinutePerGram,1.11,5,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_W,single set of methods,18,20,NA,3.64,0.87,disintegrationsPerMinutePerGram,104.78,9.63,123.28,8.23,disintegrationsPerMinutePerGram,1.11,5,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_W,single set of methods,20,22,NA,NA,NA,NA,122.77,11.11,141.27,9.93,disintegrationsPerMinutePerGram,1.11,5,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_W,single set of methods,22,24,NA,NA,NA,NA,108.03,10.05,126.53,8.72,disintegrationsPerMinutePerGram,1.11,5,disintegrationsPerMinutePerGram
Stevens_et_al_2024,CB,CB_W,single set of methods,24,26,NA,NA,NA,NA,96.58,9.21,115.08,7.74,disintegrationsPerMinutePerGram,1.11,5,disintegrationsPerMinutePerGram
