study_id,site_id,core_id,core_latitude,core_longitude
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_1,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_10,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_11,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_12,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_13,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_14,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_15,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_16,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_17,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_18,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_2,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_3,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_4,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_5,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_6,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_7,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_8,-4.22,39.3
Bouillon_et_al_2004,Gazi_bay,Bouillon_et_al_2004_9,-4.22,39.3
Burns_and_Swart_1992,Jimmy_Key,Burns_and_Swart_1992_1,25.0462,-80.6446
Buzzelli_1998,Goodwin_islands,Buzzelli_1998_1,37.21261111111111,-76.60394
Buzzelli_1998,Goodwin_islands,Buzzelli_1998_2,37.21261111111111,-76.60394
Buzzelli_1998,Goodwin_islands,Buzzelli_1998_3,37.21261111111111,-76.60394
Calleja_et_al_2007,Es_Castell,Calleja_et_al_2007_1,39.15266667,2.9305
Calleja_et_al_2007,Sa_Paret,Calleja_et_al_2007_2,39.14683333,2.931
Calleja_et_al_2007,Sta_Maria_,Calleja_et_al_2007_3,39.15116667,2.948666667
Calleja_et_al_2007,Magalluf,Calleja_et_al_2007_4,39.50416667,2.543166667
Calleja_et_al_2007,Pollença,Calleja_et_al_2007_5,39.8965,2.09205
Calleja_et_al_2007,Cala_Millor,Calleja_et_al_2007_6,39.60063333,2.390166667
Calleja_et_al_2007,Porto_Colom,Calleja_et_al_2007_7,39.41753333,2.269716667
Carruthers_et_al_2005,Bahia_Almirante,Carruthers_et_al_2005_1,9.331773,-82.319068
Carruthers_et_al_2005,Laguna_de_Chiriqui_Panama,Carruthers_et_al_2005_2,9.007419,-82.023899
Carruthers_et_al_2005,Outer_Lagoon,Carruthers_et_al_2005_3,9.221818,-82.023482
Cotner_et_al_2004,Baffin_Bay,Cotner_et_al_2004_1,27.344,-97.6416
Cotner_et_al_2004,Baffin_Bay,Cotner_et_al_2004_2,27.2738,-97.607
Cotner_et_al_2004,Baffin_Bay,Cotner_et_al_2004_3,27.25,-97.615
Cotner_et_al_2004,Baffin_Bay,Cotner_et_al_2004_4,27.281,-97.42
Danovaro_1996,NW_Marconi,Danovaro_1996_1,44.2,9.12
Danovaro_1996,NW_Marconi,Danovaro_1996_10,44.2,9.12
Danovaro_1996,NW_Marconi,Danovaro_1996_11,44.2,9.12
Danovaro_1996,NW_Marconi,Danovaro_1996_12,44.2,9.12
Danovaro_1996,NW_Marconi,Danovaro_1996_13,44.2,9.12
Danovaro_1996,NW_Marconi,Danovaro_1996_14,44.2,9.12
Danovaro_1996,NW_Marconi,Danovaro_1996_15,44.2,9.12
Danovaro_1996,NW_Marconi,Danovaro_1996_2,44.2,9.12
Danovaro_1996,NW_Marconi,Danovaro_1996_3,44.2,9.12
Danovaro_1996,NW_Marconi,Danovaro_1996_4,44.2,9.12
Danovaro_1996,NW_Marconi,Danovaro_1996_5,44.2,9.12
Danovaro_1996,NW_Marconi,Danovaro_1996_6,44.2,9.12
Danovaro_1996,NW_Marconi,Danovaro_1996_7,44.2,9.12
Danovaro_1996,NW_Marconi,Danovaro_1996_8,44.2,9.12
Danovaro_1996,NW_Marconi,Danovaro_1996_9,44.2,9.12
Danovaro_and_Fabiano_1995,Marconi_Gulf,Danovaro_and_Fabiano_1995_1,44.3321,9.2353
Danovaro_and_Gambi_2002,NW_Marconi,Danovaro_and_Gambi_2002_1,44.2,9.12
Danovaro_and_Gambi_2002,NW_Marconi,Danovaro_and_Gambi_2002_10,44.2,9.12
Danovaro_and_Gambi_2002,NW_Marconi,Danovaro_and_Gambi_2002_11,44.2,9.12
Danovaro_and_Gambi_2002,NW_Marconi,Danovaro_and_Gambi_2002_12,44.2,9.12
Danovaro_and_Gambi_2002,NW_Marconi,Danovaro_and_Gambi_2002_13,44.2,9.12
Danovaro_and_Gambi_2002,NW_Marconi,Danovaro_and_Gambi_2002_2,44.2,9.12
Danovaro_and_Gambi_2002,NW_Marconi,Danovaro_and_Gambi_2002_3,44.2,9.12
Danovaro_and_Gambi_2002,NW_Marconi,Danovaro_and_Gambi_2002_4,44.2,9.12
Danovaro_and_Gambi_2002,NW_Marconi,Danovaro_and_Gambi_2002_5,44.2,9.12
Danovaro_and_Gambi_2002,NW_Marconi,Danovaro_and_Gambi_2002_6,44.2,9.12
Danovaro_and_Gambi_2002,NW_Marconi,Danovaro_and_Gambi_2002_7,44.2,9.12
Danovaro_and_Gambi_2002,NW_Marconi,Danovaro_and_Gambi_2002_8,44.2,9.12
Danovaro_and_Gambi_2002,NW_Marconi,Danovaro_and_Gambi_2002_9,44.2,9.12
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_1,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_10,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_11,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_12,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_13,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_14,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_15,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_16,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_17,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_18,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_2,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_3,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_4,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_5,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_6,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_7,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_8,44.333,9.233
Danovaro_et_al_1994,Gulf_of_Marconi,Danovaro_et_al_1994_9,44.333,9.233
De_Falco_et_al_2006,Gulf_of_Oristano,De_Falco_et_al_2006_1,39.845,8.519
De_Falco_et_al_2006,Gulf_of_Oristano,De_Falco_et_al_2006_2,39.845,8.519
De_Falco_et_al_2006,Gulf_of_Oristano,De_Falco_et_al_2006_3,39.845,8.519
De_Iongh_et_al_1995,Nang_Bay,De_Iongh_et_al_1995_1,-3.91667,128.8333
De_Iongh_et_al_1995,Nang_Bay,De_Iongh_et_al_1995_2,-3.91667,128.8333
De_Iongh_et_al_1995,Nang_Bay,De_Iongh_et_al_1995_3,-3.91667,128.8333
De_Troch_et_al_2006,Punta_Allen,De_Troch_et_al_2006_1,19.77,-87.48
De_Troch_et_al_2006,Pujada_Bay,De_Troch_et_al_2006_2,6.885,126.23
De_Troch_et_al_2006,Gazi_Bay,De_Troch_et_al_2006_3,-4.639,39.277
De_Troch_et_al_2006,Gazi_Bay,De_Troch_et_al_2006_4,-4.639,39.277
De_Troch_et_al_2006,Gazi_Bay,De_Troch_et_al_2006_5,-4.639,39.277
Devereux_et_al_2011,Santa_Rosa_Sound,Devereux_et_al_2011_1,30.2,-87.1
Erftemeijer_and_Middelburg_1993,Barrang_Lompo,Erftemeijer_and_Middelburg_1993_1,-5.05,119.333
Erftemeijer_and_Middelburg_1993,Gusung_Tallang,Erftemeijer_and_Middelburg_1993_2,-5.07,119.45
Eyre_and_Ferguson_2002,Lake_Macquarie,Eyre_and_Ferguson_2002_1,-33.4,151.35
Eyre_and_Ferguson_2002,Lake_Macquarie,Eyre_and_Ferguson_2002_2,-33.4,151.35
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_1,40.60794,-8.74647
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_10,40.712687,-8.682124
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_11,40.722864,-8.690784
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_12,40.722864,-8.690784
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_13,40.72316,-8.6723
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_14,40.72502,-8.65594
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_15,40.738167,-8.684889
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_16,40.75454,-8.699355
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_17,40.75454,-8.699355
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_18,40.781311,-8.682981
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_19,40.790744,-8.661918
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_2,40.60794,-8.74647
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_20,40.790744,-8.661918
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_21,40.82673,-8.664233
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_3,40.6381,-8.73714
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_4,40.6381,-8.73714
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_5,40.65486,-8.6986
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_6,40.65486,-8.6986
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_7,40.696148,-8.67679
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_8,40.696148,-8.67679
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,Figueiredo_da_Silva_et_al_2009_9,40.712687,-8.682124
Fonseca_et_al_2011,Lake_Conjola,Fonseca_et_al_2011_1,-35.25,150.48333333333332
Fonseca_et_al_2011,Lake_Conjola,Fonseca_et_al_2011_2,-35.25,150.48333333333332
Fonseca_et_al_2011,Port_Hacking,Fonseca_et_al_2011_3,-34.05,151.13333333333333
Fonseca_et_al_2011,Port_Hacking,Fonseca_et_al_2011_4,-34.05,151.13333333333333
Fonseca_et_al_2011,Pittwater,Fonseca_et_al_2011_5,-33.583333333333336,151.26666666666668
Fonseca_et_al_2011,Pittwater,Fonseca_et_al_2011_6,-33.583333333333336,151.26666666666668
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_1,-25.78442,114.08992
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_10,-25.91903,113.97392
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_11,-25.89581,113.997
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_12,-25.87656,114.03211
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_13,-25.86883,114.07194
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_14,-25.85662,114.10688
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_15,-25.98638,113.9259
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_16,-25.93783,113.93635
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_17,-25.88895,113.93395
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_18,-25.87218,113.95502
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_19,-25.90625,113.95463
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_2,-25.80243,114.1184
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_20,-25.95167,114.00587
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_21,-25.87061,114.00569
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_22,-25.97889,114.09544
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_23,-25.95217,114.03541
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_24,-25.93385,114.06549
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_25,-25.95196,114.09554
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_26,-25.92518,114.1248
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_27,-25.92471,114.14544
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_28,-25.87136,114.15512
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_29,-25.88006,114.19559
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_3,-25.83033,114.1376
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_30,-25.87453,114.21507
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_31,-25.90684,114.20526
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_32,-25.89887,114.23445
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_33,-25.91652,114.23516
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_34,-25.93344,114.21532
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_35,-25.97911,114.23478
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_36,-25.96872,114.15514
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_37,-25.96887,114.1142
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_38,-25.96548,114.2235
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_39,-25.95175,114.2332
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_4,-25.86165,114.14813
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_40,-25.97953,114.06838
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_41,-26.00123,114.13318
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_42,-26.00058,113.95447
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_43,-25.85339,114.19316
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_44,-25.79899,114.10449
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_45,-25.81671,114.10447
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_46,-25.8614,114.19426
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_47,-25.85266,114.12431
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_48,-25.78989,114.08436
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_49,-25.83466,114.10501
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_5,-25.92403,114.16412
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_50,-25.88835,114.12879
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_51,-25.89397,114.114
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_52,-25.79944,114.14422
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_53,-25.76505,114.08386
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_54,-25.76446,114.10518
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_55,-25.75374,114.10419
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_56,-25.7451,114.08416
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_57,-25.93453,113.93553
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_58,-25.77174,114.11426
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_59,-25.74388,114.07272
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_6,-25.95637,114.17398
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_60,-25.96872,114.15514
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_61,-25.93783,113.93635
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_62,-25.74388,114.07272
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_63,-25.7451,114.08416
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_64,-25.92981,114.09576
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_65,-25.95637,114.17398
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_66,-25.87061,114.00569
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_67,-25.89397,114.114
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_68,-25.85123,113.93782
Fourqurean_and_Kendrick_unpublished,Western_Australia,Fourqurean_and_Kendrick_unpublished_69,-31.989966666666668,116.91666666666667
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_7,-25.92981,114.09576
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_70,-25.85123,113.93782
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_8,-25.92191,114.05618
Fourqurean_and_Kendrick_unpublished,Shark_Bay,Fourqurean_and_Kendrick_unpublished_9,-25.92351,114.0149
Fourqurean_et_al_2010,Florida_Keys,Fourqurean_et_al_2010_1,25.24429853,-80.29754563
Fourqurean_et_al_2010,Florida_Keys,Fourqurean_et_al_2010_10,24.800938,-80.71614876
Fourqurean_et_al_2010,Florida_Keys,Fourqurean_et_al_2010_11,24.80164694,-80.81031496
Fourqurean_et_al_2010,Florida_Keys,Fourqurean_et_al_2010_12,24.73208743,-80.78355361
Fourqurean_et_al_2010,Florida_Keys,Fourqurean_et_al_2010_13,24.68442098,-80.98130003
