study_id,site_id,core_id,year,month,day,latitude,longitude,position_method,elevation,elevation_datum,elevation_method,salinity_class,salinity_method,vegetation_class,vegetation_method,inundation_class,inundation_method,core_length_flag,habitat
Fell_et_al_2021,GTMNERRSouthern,NM6MW,2018,5,23,29.727088888888886,-81.24034166666667,handheld,0.4939777778,NAVD88,RTK,saline,measurement,scrub shrub,field observation,low,field observation,core depth limited by length of corer,scrub/shrub
Fell_et_al_2021,GTMNERRSouthern,NM1MC,2018,5,23,29.727313888888887,-81.24044444444445,handheld,0.442711111,NAVD88,RTK,NA,NA,scrub shrub,field observation,low,field observation,core depth limited by length of corer,scrub/shrub
Fell_et_al_2021,GTMNERRSouthern,NM2MC,2018,5,23,29.72722222222222,-81.23996666666667,handheld,0.4916555556,NAVD88,RTK,NA,NA,scrub shrub,field observation,low,field observation,core depth limited by length of corer,scrub/shrub
Fell_et_al_2021,GTMNERRSouthern,NM3MC,2018,5,23,29.727105555555553,-81.24000555555556,handheld,0.494111111,NAVD88,RTK,saline,measurement,scrub shrub,field observation,low,field observation,core depth limited by length of corer,scrub/shrub
Fell_et_al_2021,GTMNERRSouthern,NM4MC,2018,5,23,29.72762222222222,-81.23989444444445,handheld,0.491077778,NAVD88,RTK,saline,measurement,scrub shrub,field observation,low,field observation,core depth limited by length of corer,scrub/shrub
Fell_et_al_2021,GTMNERRSouthern,NM5MC,2018,5,23,29.727463888888888,-81.24033055555556,handheld,0.4739888889,NAVD88,RTK,NA,NA,scrub shrub,field observation,low,field observation,core depth limited by length of corer,scrub/shrub
Fell_et_al_2021,GTMNERRSouthern,NM6MC,2018,5,23,29.72714444444444,-81.2403861111111,handheld,0.486111111,NAVD88,RTK,saline,measurement,scrub shrub,field observation,low,field observation,core depth limited by length of corer,scrub/shrub
Fell_et_al_2021,GTMNERRMiddle,GC1GW,2018,5,24,29.8359233389697,-81.2950067263765,handheld,0.59302222,NAVD88,RTK,NA,NA,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRMiddle,GC2GW,2018,5,24,29.8362147531435,-81.2952685737373,handheld,0.62724444,NAVD88,RTK,NA,NA,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRMiddle,GC3GW,2018,5,24,29.8360158531999,-81.2950103185041,handheld,0.5940555556,NAVD88,RTK,NA,NA,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRMiddle,GC4GW,2018,5,24,29.8356762151292,-81.294791969267,handheld,0.578511111,NAVD88,RTK,saline,measurement,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRMiddle,GC5GW,2018,5,24,29.8363357149886,-81.2952038301478,handheld,0.63806667,NAVD88,RTK,NA,NA,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRMiddle,GC6GW,2018,5,24,29.8357122219961,-81.2949989415262,handheld,0.577977778,NAVD88,RTK,NA,NA,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRMiddle,GC1GC,2018,5,24,29.8360414048373,-81.2951397806209,handheld,0.6101222,NAVD88,RTK,NA,NA,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRMiddle,GC2GC,2018,5,24,29.8361680059335,-81.2952703486905,handheld,0.6101625,NAVD88,RTK,NA,NA,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRMiddle,GC3GC,2018,5,24,29.8360556816165,-81.2949550970361,handheld,0.5708556,NAVD88,RTK,NA,NA,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRMiddle,GC4GC,2018,5,24,29.8356912655632,-81.294861694199,handheld,0.5788555556,NAVD88,RTK,saline,measurement,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRMiddle,GC5GC,2018,5,24,29.8363713883048,-81.2952403804175,handheld,0.64087778,NAVD88,RTK,saline,measurement,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRMiddle,GC6GC,2018,5,24,29.8356647218424,-81.2949539524034,handheld,0.580144444,NAVD88,RTK,saline,measurement,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRMiddle,GC1MW,2018,5,24,29.8359092620841,-81.2950997455404,handheld,0.6004111111,NAVD88,RTK,NA,NA,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRMiddle,GC2MW,2018,5,24,29.8360919884264,-81.2952886388623,handheld,0.598977778,NAVD88,RTK,NA,NA,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRMiddle,GC3MW,2018,5,24,29.8360356579636,-81.2948710191838,handheld,0.5698111111,NAVD88,RTK,NA,NA,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRMiddle,GC4MW,2018,5,24,29.8357837562538,-81.2947579412059,handheld,0.5581777778,NAVD88,RTK,saline,measurement,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRMiddle,GC5MW,2018,5,24,29.8363144804085,-81.2952835537983,handheld,0.6525444,NAVD88,RTK,saline,measurement,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRMiddle,GC6MW,2018,5,24,29.8356619119257,-81.2950724886279,handheld,0.5777722222,NAVD88,RTK,saline,measurement,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRMiddle,GC1MC,2018,5,24,29.8359663598718,-81.2949548556527,handheld,0.5870111111,NAVD88,RTK,NA,NA,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRMiddle,GC2MC,2018,5,24,29.8361317093907,-81.2952465798016,handheld,0.6075555556,NAVD88,RTK,NA,NA,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRMiddle,GC3MC,2018,5,24,29.8360075169579,-81.2949050661165,handheld,0.5835555556,NAVD88,RTK,NA,NA,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRMiddle,GC4MC,2018,5,24,29.8357197444561,-81.2947771431118,handheld,0.568111111,NAVD88,RTK,saline,measurement,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRMiddle,GC5MC,2018,5,24,29.8363838551519,-81.2951849423438,handheld,0.6394222222,NAVD88,RTK,saline,measurement,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRMiddle,GC6MC,2018,5,24,29.8356524975,-81.2950066178421,handheld,0.5834,NAVD88,RTK,saline,measurement,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRNorthern,SG1GW,2018,5,25,30.011644444444446,-81.34431111111111,handheld,0.352411,NAVD88,RTK,NA,NA,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRNorthern,SG2GW,2018,5,25,30.011769444444443,-81.34416666666667,handheld,0.4500222,NAVD88,RTK,estuarine,measurement,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRNorthern,SG3GW,2018,5,25,30.011777777777777,-81.34424722222222,handheld,0.4206,NAVD88,RTK,NA,NA,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRNorthern,SG4GW,2018,5,25,30.011702777777778,-81.34424444444444,handheld,0.430822222,NAVD88,RTK,estuarine,measurement,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRNorthern,SG5GW,2018,5,25,30.0112,-81.34402222222222,handheld,0.4423,NAVD88,RTK,NA,NA,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRNorthern,SG6GW,2018,5,25,30.011219444444443,-81.34397777777777,handheld,0.41571111,NAVD88,RTK,estuarine,measurement,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRNorthern,SG1GC,2018,5,25,30.01203611111111,-81.34448611111111,handheld,0.400956,NAVD88,RTK,NA,NA,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRNorthern,SG2GC,2018,5,25,30.011747222222223,-81.34421944444443,handheld,0.421244,NAVD88,RTK,saline,measurement,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRNorthern,SG3GC,2018,5,25,30.011733333333332,-81.34426111111111,handheld,0.3894333333,NAVD88,RTK,NA,NA,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRNorthern,SG4GC,2018,5,25,30.01156111111111,-81.34418055555555,handheld,0.4583777778,NAVD88,RTK,NA,NA,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRNorthern,SG5GC,2018,5,25,30.011219444444443,-81.34405833333332,handheld,0.390056,NAVD88,RTK,NA,NA,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRNorthern,SG6GC,2018,5,25,30.01126111111111,-81.34405555555556,handheld,0.46112222,NAVD88,RTK,estuarine,measurement,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRNorthern,SG1MW,2018,5,25,30.011580555555554,-81.34430833333333,handheld,0.4152777778,NAVD88,RTK,NA,NA,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRNorthern,SG2MW,2018,5,25,30.011730555555555,-81.34410277777778,handheld,0.4285,NAVD88,RTK,estuarine,measurement,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRNorthern,SG3MW,2018,5,25,30.011847222222222,-81.34431944444444,handheld,0.42224,NAVD88,RTK,NA,NA,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRNorthern,SG4MW,2018,5,25,30.01161388888889,-81.34414444444444,handheld,0.449988888,NAVD88,RTK,saline,measurement,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRNorthern,SG5MW,2018,5,25,30.011316666666666,-81.34465,handheld,0.4517,NAVD88,RTK,estuarine,measurement,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRNorthern,SG6MW,2018,5,25,30.011177777777778,-81.34395833333333,handheld,0.4037,NAVD88,RTK,NA,NA,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRNorthern,SG1MC,2018,5,25,30.011980555555557,-81.34446388888888,handheld,0.448655556,NAVD88,RTK,NA,NA,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRNorthern,SG2MC,2018,5,25,30.01168611111111,-81.34411944444444,handheld,0.4319777778,NAVD88,RTK,saline,measurement,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRNorthern,SG3MC,2018,5,25,30.011841666666665,-81.34424999999999,handheld,0.4503,NAVD88,RTK,NA,NA,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRNorthern,SG4MC,2018,5,25,30.011647222222223,-81.34420833333333,handheld,0.43082222222,NAVD88,RTK,saline,measurement,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRNorthern,SG5MC,2018,5,25,30.01125,-81.34409722222222,handheld,0.4423,NAVD88,RTK,NA,NA,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
Fell_et_al_2021,GTMNERRNorthern,SG6MC,2018,5,25,30.011216666666666,-81.343925,handheld,0.415711111,NAVD88,RTK,estuarine,measurement,emergent,field observation,low,field observation,core depth limited by length of corer,marsh
